   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46
           0 6.3745e+006 1.1252e-004 3.2274e-003 2.9327e+005 2.3374e-001 4.9142e-001 1.2159e+003 1.0313e-002 5.6221e+000 3.5306e+002 1.6812e+001 4.1617e+000 8.1853e-001 5.2842e-002 1.5076e-001 5.4079e-002 2.7168e-003 4.2276e-004 2.0414e-004 2.0045e-004 9.5691e-004 8.8346e-004 3.4553e-004 4.5825e-005 7.1019e-007 1.4802e-005 1.6790e-005 1.2575e-005 1.0570e-005 1.1388e-005 1.3068e-005 1.3205e-005 1.0763e-005 6.8293e-006 3.2733e-006 1.1199e-006 2.3946e-007 2.1557e-008 5.2965e-011 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.1364e+006 5.4097e-004 1.2106e-001 4.1860e+006 1.4142e+000 5.2595e+000 3.7511e+005 3.1254e+002 6.1392e+002 1.2612e+004 1.0234e+002 2.3184e+002 8.7623e+002 3.3557e+002 8.0304e+001 7.9502e+000 2.4128e-001 1.4735e+000 6.6360e-001 6.4123e-002 6.0578e-003 2.4389e-002 1.0202e-002 4.2629e-004 9.2956e-004 1.8659e-003 9.2914e-004 8.0492e-005 9.5995e-005 4.3597e-004 5.8297e-004 4.7735e-004 2.8070e-004 1.2326e-004 3.9291e-005 7.9755e-006 5.9491e-007 3.8402e-008 2.2367e-007 1.6721e-007 5.9805e-008 1.1039e-008 8.0483e-010 6.6751e-012 0.0000e+000 0.0000e+000 0.0000e+000
           2 1.2600e+005 8.7945e-002 6.2396e-001 1.8392e+006 1.0297e+000 1.0983e+002 2.5520e+006 9.8928e+002 4.7793e+002 2.4127e+005 3.0534e+004 3.4879e+004 3.3752e+004 2.8804e+003 1.2932e+002 1.2091e+003 9.5021e+002 3.0360e+002 3.4591e+001 4.9848e-001 7.3906e+000 4.6159e+000 7.2528e-001 2.3318e-002 3.3130e-001 2.9558e-001 9.3459e-002 3.6584e-003 8.9191e-003 2.1100e-002 1.5074e-002 4.6521e-003 1.8187e-004 6.0985e-004 1.8146e-003 1.9505e-003 1.3009e-003 5.9715e-004 1.8031e-004 2.6073e-005 8.3087e-009 7.0200e-006 1.1571e-005 9.9154e-006 6.2014e-006 3.1141e-006 1.0570e-006
           3 1.2727e+004 6.2460e+000 3.9327e+001 3.3493e+005 1.4584e+002 5.0202e+002 2.1362e+006 1.0074e+003 1.6842e+004 1.3269e+006 6.6176e+004 7.7415e+002 5.6273e+004 9.4937e+004 7.9948e+004 3.8542e+004 6.0202e+003 1.6036e+001 1.4961e+003 1.6181e+003 6.8303e+002 1.1125e+002 7.1443e-003 1.8644e+001 1.9729e+001 6.9848e+000 4.4584e-001 4.1163e-001 1.2985e+000 1.0873e+000 4.3601e-001 5.8286e-002 5.4912e-003 5.9295e-002 8.1280e-002 5.9101e-002 2.6606e-002 6.2967e-003 1.3302e-004 1.0895e-003 3.0711e-003 3.7132e-003 3.1319e-003 2.1119e-003 1.2121e-003 5.9890e-004 2.0517e-004
           4 1.2180e+003 2.0674e+002 1.0798e+003 5.0621e+004 2.9808e+003 5.5857e+003 5.4124e+005 1.6071e+004 5.8049e+004 1.9513e+006 1.0787e+005 2.0098e+005 4.4326e+005 1.2539e+005 3.3833e+003 3.4402e+004 8.7683e+004 7.4948e+004 3.3539e+004 6.1365e+003 1.3210e-002 1.4919e+003 2.0115e+003 1.1066e+003 2.8222e+002 1.1379e+001 1.7779e+001 4.2591e+001 3.0253e+001 9.7849e+000 6.4648e-001 6.2414e-001 2.3220e+000 2.4827e+000 1.5048e+000 5.3777e-001 7.3552e-002 5.0643e-003 7.4047e-002 1.2291e-001 1.1781e-001 8.2600e-002 4.5706e-002 2.0281e-002 7.1253e-003 1.8933e-003 3.3369e-004
           5 7.6462e-044 5.9510e-026 2.5888e-023 1.3722e-037 5.8145e-021 3.7497e-019 7.6395e-024 2.2291e-017 9.7654e-016 1.4385e-016 4.0610e-014 6.2448e-013 1.6250e-012 2.6371e-011 2.5219e-010 2.8737e-009 2.4027e-008 2.0960e-007 1.8874e-006 1.6454e-005 1.1370e-004 8.5244e-004 6.4774e-003 3.7035e-002 2.3607e-001 1.2870e+000 6.3089e+000 3.0569e+001 1.3466e+002 5.2641e+002 1.9374e+003 6.4895e+003 1.9496e+004 5.3256e+004 1.3064e+005 2.8313e+005 5.3720e+005 8.8019e+005 1.2176e+006 1.3733e+006 1.1939e+006 7.2569e+005 2.4792e+005 2.3499e+004 1.3324e+003 7.4110e+002 2.8000e+002
           6 3.8158e-041 5.9775e-024 2.4668e-021 2.0782e-035 5.1253e-019 3.1249e-017 7.2802e-022 1.7302e-015 7.0263e-014 1.0548e-014 2.6704e-012 3.8212e-011 9.9231e-011 1.4955e-009 1.3562e-008 1.4201e-007 1.1232e-006 9.1913e-006 7.6503e-005 6.1144e-004 3.9607e-003 2.7169e-002 1.8487e-001 9.8232e-001 5.5706e+000 2.7352e+001 1.2105e+002 5.1471e+002 1.9748e+003 6.7408e+003 2.1089e+004 5.8937e+004 1.4529e+005 3.1395e+005 5.8169e+005 8.9772e+005 1.1000e+006 9.7366e+005 4.9261e+005 3.9019e+004 1.7276e+005 8.3376e+005 1.0795e+006 4.7955e+005 1.5433e+004 1.8087e+004 7.5580e+002
           7 1.1080e-037 2.7726e-022 1.0873e-019 1.3036e-033 2.0928e-017 1.2072e-015 3.2082e-020 6.2306e-014 2.3473e-012 3.5880e-013 8.1629e-011 1.0878e-009 2.8165e-009 3.9463e-008 3.3940e-007 3.2704e-006 2.4473e-005 1.8787e-004 1.4466e-003 1.0612e-002 6.4383e-002 4.0433e-001 2.4702e+000 1.2168e+001 6.1533e+001 2.7193e+002 1.0830e+003 4.0405e+003 1.3486e+004 3.9892e+004 1.0540e+005 2.4320e+005 4.8163e+005 7.9774e+005 1.0582e+006 1.0413e+006 6.3492e+005 1.2123e+005 4.8836e+004 4.6293e+005 5.5287e+005 6.8691e+004 3.0280e+005 1.1444e+006 5.1484e+005 1.2059e+004 1.0560e+004
           8 1.1489e-027 7.5779e-022 2.8935e-019 6.9148e-026 5.4866e-017 3.1260e-015 8.6160e-020 1.5889e-013 5.8884e-012 9.0353e-013 2.0083e-010 2.6351e-009 6.8171e-009 9.4007e-008 7.9912e-007 7.5620e-006 5.5901e-005 4.2314e-004 3.2030e-003 2.3062e-002 1.3789e-001 8.4938e-001 5.0693e+000 2.4548e+001 1.2108e+002 5.2275e+002 2.0332e+003 7.3693e+003 2.3845e+004 6.8265e+004 1.7355e+005 3.8313e+005 7.2020e+005 1.1177e+006 1.3603e+006 1.1772e+006 5.6059e+005 3.4200e+004 1.9295e+005 6.9221e+005 4.9649e+005 3.9163e+002 6.4015e+005 1.0045e+006 7.0478e+004 1.5054e+005 6.5247e+003
           9 6.9085e-037 8.1959e-021 3.0592e-018 7.0623e-032 5.4635e-016 2.9835e-014 9.0227e-019 1.4365e-012 5.0247e-011 7.8126e-012 1.6006e-009 1.9884e-008 5.1272e-008 6.6861e-007 5.4540e-006 4.8434e-005 3.4290e-004 2.4698e-003 1.7606e-002 1.1870e-001 6.7386e-001 3.8768e+000 2.1322e+001 9.7104e+001 4.3881e+002 1.7437e+003 6.2271e+003 2.0364e+004 5.8958e+004 1.4974e+005 3.3063e+005 6.1893e+005 9.5233e+005 1.1400e+006 9.5714e+005 4.2846e+005 1.7196e+004 1.8056e+005 5.5657e+005 3.5833e+005 9.9277e+001 3.4365e+005 2.8958e+005 1.1964e+005 1.2291e+006 1.9202e+005 1.3227e+005
          10 1.0104e-035 1.8076e-019 6.4293e-017 2.3436e-030 1.0657e-014 5.5086e-013 1.8949e-017 2.4736e-011 8.0304e-010 1.2691e-010 2.3429e-008 2.7125e-007 6.9578e-007 8.4450e-006 6.5288e-005 5.3449e-004 3.5770e-003 2.4152e-002 1.5933e-001 9.8728e-001 5.2341e+000 2.7563e+001 1.3660e+002 5.7287e+002 2.3135e+003 8.2409e+003 2.6232e+004 7.4863e+004 1.8662e+005 4.0098e+005 7.2536e+005 1.0649e+006 1.1936e+006 8.9983e+005 3.1677e+005 2.7991e+000 2.8382e+005 5.8153e+005 2.5486e+005 1.3707e+004 3.8120e+005 2.1964e+005 6.1003e+004 2.7990e+005 1.7624e+005 1.1336e+006 7.5604e+004
          11 3.4278e-034 3.0057e-018 1.0206e-015 6.0070e-029 1.5722e-013 7.6964e-012 3.0053e-016 3.2251e-010 9.7230e-009 1.5603e-009 2.6005e-007 2.8078e-006 7.1562e-006 8.0924e-005 5.9289e-004 4.4806e-003 2.8340e-002 1.7937e-001 1.0957e+000 6.2464e+000 3.0887e+001 1.4893e+002 6.6643e+002 2.5655e+003 9.2671e+003 2.9520e+004 8.3297e+004 2.0646e+005 4.3912e+005 7.8390e+005 1.1285e+006 1.2275e+006 8.7940e+005 2.7239e+005 3.1482e+003 3.3535e+005 5.8937e+005 2.1697e+005 2.6527e+004 3.8999e+005 2.0312e+005 5.4047e+004 3.2962e+005 4.3520e+001 1.2493e+005 5.1999e+005 1.2101e+005
          12 2.3962e-032 4.0817e-017 1.3255e-014 1.2999e-027 1.9000e-012 8.8122e-011 3.8991e-015 3.4473e-009 9.6553e-008 1.5718e-008 2.3691e-006 2.3869e-005 6.0367e-005 6.3654e-004 4.4186e-003 3.0862e-002 1.8442e-001 1.0940e+000 6.1904e+000 3.2493e+001 1.4964e+002 6.6057e+002 2.6730e+003 9.4115e+003 3.0404e+004 8.6292e+004 2.1433e+005 4.5768e+005 8.1837e+005 1.1808e+006 1.2847e+006 9.1919e+005 2.8273e+005 3.5706e+003 3.5102e+005 6.1389e+005 2.2880e+005 2.3913e+004 3.9167e+005 2.2999e+005 3.2449e+004 3.3453e+005 1.2737e+004 2.6757e+005 2.0242e+004 7.9660e+002 3.9588e+005
          13 6.1994e-029 4.5566e-016 1.4182e-013 4.7591e-026 1.8939e-011 8.3258e-010 4.1673e-014 3.0420e-008 7.9185e-007 1.3062e-007 1.7837e-005 1.6779e-004 4.2055e-004 4.1385e-003 2.7211e-002 1.7587e-001 9.9261e-001 5.5166e+000 2.8928e+001 1.3991e+002 5.9916e+002 2.4210e+003 8.8679e+003 2.8445e+004 8.2082e+004 2.0652e+005 4.4749e+005 8.1302e+005 1.1945e+006 1.3317e+006 9.8922e+005 3.3368e+005 3.1319e+002 3.2676e+005 6.3671e+005 2.7624e+005 1.0185e+004 3.7293e+005 2.8423e+005 8.5306e+003 3.2707e+005 6.4682e+004 1.8396e+005 7.9380e+004 2.1536e+005 6.1825e+004 5.6912e+004
          14 2.7253e-019 3.4572e-015 1.4730e-013 2.4586e-017 2.6723e-011 1.1289e-009 4.7045e-014 4.1208e-008 1.0639e-006 1.7581e-007 2.3770e-005 2.2208e-004 5.5610e-004 5.4355e-003 3.5547e-002 2.2802e-001 1.2796e+000 7.0660e+000 3.6776e+001 1.7645e+002 7.5014e+002 3.0046e+003 1.0898e+004 3.4630e+004 9.8808e+004 2.4558e+005 5.2470e+005 9.3736e+005 1.3484e+006 1.4603e+006 1.0347e+006 3.1013e+005 5.8026e+003 4.0938e+005 6.9722e+005 2.5424e+005 2.7652e+004 4.4013e+005 2.7066e+005 2.4971e+004 3.6994e+005 4.3766e+004 2.3131e+005 5.8840e+004 2.5286e+005 2.8082e+004 2.2033e+004
          15 1.7040e-029 4.3424e-015 1.2985e-012 2.6033e-025 1.6179e-010 6.7455e-009 3.8110e-013 2.3034e-007 5.5763e-006 9.3106e-007 1.1544e-004 1.0147e-003 2.5170e-003 2.3142e-002 1.4412e-001 8.6331e-001 4.6009e+000 2.3956e+001 1.1648e+002 5.1961e+002 2.0661e+003 7.6398e+003 2.5351e+004 7.3785e+004 1.8976e+005 4.2054e+005 7.8591e+005 1.1928e+006 1.3886e+006 1.1027e+006 4.3389e+005 4.3589e+003 2.7128e+005 6.5771e+005 3.6396e+005 2.6446e+001 3.2946e+005 3.6282e+005 9.7893e+002 2.9122e+005 1.5608e+005 8.9632e+004 2.0309e+005 5.9587e+004 8.4773e+004 2.9617e+005 6.8936e+004
          16 9.6571e-029 3.5586e-014 1.0251e-011 3.4625e-024 1.1933e-009 4.7213e-008 3.0053e-012 1.5075e-006 3.3957e-005 5.7322e-006 6.4663e-004 5.3140e-003 1.3027e-002 1.1202e-001 6.6058e-001 3.6724e+000 1.8475e+001 9.0093e+001 4.0631e+002 1.6727e+003 6.1647e+003 2.0844e+004 6.2635e+004 1.6462e+005 3.7569e+005 7.2657e+005 1.1521e+006 1.4181e+006 1.2265e+006 5.7648e+005 3.4153e+004 1.8727e+005 6.4547e+005 4.7782e+005 1.6201e+004 2.4894e+005 4.3880e+005 3.3599e+004 2.1249e+005 2.6474e+005 1.4549e+004 2.7745e+005 1.0435e+002 2.1439e+005 1.5918e+004 1.1878e+004 3.8540e+005
          17 1.2854e-027 2.5654e-013 7.1419e-011 3.7975e-023 7.7811e-009 2.9234e-007 2.0918e-011 8.7354e-006 1.8322e-004 3.1231e-005 3.2131e-003 2.4711e-002 5.9781e-002 4.8138e-001 2.6878e+000 1.3891e+001 6.5948e+001 3.0119e+002 1.2605e+003 4.7920e+003 1.6342e+004 5.0480e+004 1.3724e+005 3.2398e+005 6.5208e+005 1.0869e+006 1.4289e+006 1.3596e+006 7.6780e+005 1.1209e+005 9.3717e+004 5.8931e+005 6.0544e+005 8.4355e+004 1.4397e+005 4.8574e+005 1.2571e+005 1.0791e+005 3.5396e+005 8.8495e+003 2.5232e+005 7.1451e+004 1.6784e+005 3.7686e+004 1.7482e+005 2.6743e+003 7.8659e+004
          18 3.6700e-026 1.6310e-012 4.4047e-010 3.3109e-022 4.4987e-008 1.6061e-006 1.2892e-010 4.4939e-005 8.7823e-004 1.5097e-004 1.4198e-002 1.0226e-001 2.4377e-001 1.8403e+000 9.7272e+000 4.6800e+001 2.0962e+002 8.9630e+002 3.4818e+003 1.2225e+004 3.8497e+004 1.0846e+005 2.6614e+005 5.6053e+005 9.8562e+005 1.3903e+006 1.4614e+006 9.8248e+005 2.5408e+005 1.9643e+004 4.7141e+005 7.0349e+005 2.1837e+005 4.3947e+004 4.6187e+005 2.7102e+005 1.9437e+004 3.6675e+005 9.9470e+004 1.3834e+005 2.1476e+005 4.1698e+004 1.8933e+005 5.6401e+004 5.9632e+004 1.6155e+005 1.5483e+004
          19 1.1764e-022 9.2800e-012 2.4547e-009 1.1826e-020 2.3535e-007 7.9910e-006 7.1782e-010 2.0955e-004 3.8187e-003 6.6112e-004 5.6982e-002 3.8472e-001 9.0233e-001 6.3944e+000 3.1994e+001 1.4353e+002 6.0637e+002 2.4268e+003 8.7517e+003 2.8383e+004 8.2345e+004 2.1113e+005 4.6595e+005 8.6841e+005 1.3163e+006 1.5301e+006 1.2095e+006 4.6942e+005 3.5564e+003 3.1020e+005 7.3914e+005 4.1092e+005 2.3078e+001 3.5648e+005 4.2993e+005 8.7481e+003 2.8114e+005 2.5645e+005 2.3408e+004 3.0645e+005 6.5370e+003 2.3622e+005 8.5375e+003 1.8745e+005 1.6505e+004 2.5989e+004 2.2548e+005
          20 1.7454e-014 1.0031e-008 6.9151e-009 4.4221e-012 4.4095e-007 8.4735e-006 1.5622e-009 2.4327e-004 4.3619e-003 7.5347e-004 6.4899e-002 4.3660e-001 1.0231e+000 7.2249e+000 3.6046e+001 1.6109e+002 6.7844e+002 2.7055e+003 9.7176e+003 3.1381e+004 9.0632e+004 2.3118e+005 5.0721e+005 9.3881e+005 1.4110e+006 1.6214e+006 1.2588e+006 4.6902e+005 1.3037e+003 3.5126e+005 7.8718e+005 4.1214e+005 4.7609e+002 3.9606e+005 4.4087e+005 4.8297e+003 3.1328e+005 2.5550e+005 3.3382e+004 3.2296e+005 3.3175e+003 2.5499e+005 5.0312e+003 1.9821e+005 2.3190e+004 2.3701e+004 1.9390e+005
          21 3.4244e-024 4.7802e-011 1.2308e-008 4.5078e-020 1.1111e-006 3.5903e-005 3.6016e-009 8.8311e-004 1.5018e-002 2.6151e-003 2.0710e-001 1.3119e+000 3.0226e+000 2.0133e+001 9.5338e+001 3.9940e+002 1.5909e+003 5.9573e+003 1.9942e+004 5.9713e+004 1.5918e+005 3.7026e+005 7.3098e+005 1.1925e+006 1.5281e+006 1.4029e+006 7.3966e+005 8.0645e+004 1.3953e+005 6.6959e+005 6.1288e+005 6.1450e+004 1.8978e+005 5.2372e+005 1.1616e+005 1.2800e+005 3.8362e+005 1.4397e+004 2.5269e+005 1.2746e+005 1.1495e+005 1.4836e+005 9.4036e+004 6.6092e+004 1.3929e+005 7.6625e+003 2.5817e+004
          22 7.5946e-024 2.2342e-010 5.6711e-008 3.0015e-019 4.8280e-006 1.4861e-004 1.6609e-008 3.4317e-003 5.4507e-002 9.5327e-003 6.9548e-001 4.1370e+000 9.3490e+000 5.8605e+001 2.6262e+002 1.0288e+003 3.8622e+003 1.3524e+004 4.2010e+004 1.1603e+005 2.8330e+005 5.9525e+005 1.0433e+006 1.4683e+006 1.5443e+006 1.0397e+006 2.6957e+005 2.0849e+004 5.0279e+005 7.5806e+005 2.4364e+005 4.1363e+004 4.9164e+005 3.1603e+005 1.1002e+004 3.8441e+005 1.5173e+005 9.8616e+004 2.9061e+005 3.0369e+003 2.6070e+005 2.4899e+002 2.0760e+005 1.2776e+004 8.7609e+004 1.0869e+005 1.6562e+003
          23 3.2359e-023 9.4546e-010 2.3863e-007 2.0463e-018 1.9202e-005 5.6362e-004 7.0003e-008 1.2230e-002 1.8161e-001 3.1854e-002 2.1470e+000 1.2004e+001 2.6566e+001 1.5694e+002 6.6541e+002 2.4411e+003 8.6323e+003 2.8250e+004 8.1377e+004 2.0702e+005 4.6126e+005 8.7056e+005 1.3407e+006 1.5948e+006 1.3136e+006 5.5727e+005 1.4188e+004 2.7658e+005 7.7054e+005 4.9932e+005 6.4691e+003 3.2390e+005 5.0365e+005 3.7122e+004 2.3611e+005 3.4517e+005 4.7439e+002 3.1546e+005 7.1992e+004 1.7186e+005 1.2053e+005 1.1984e+005 7.3608e+004 1.4600e+005 9.5228e+000 5.7414e+004 1.3804e+005
          24 1.9349e-022 3.6634e-009 9.3167e-007 1.4234e-017 7.1023e-005 1.9897e-003 2.7402e-007 4.0611e-002 5.6422e-001 9.9106e-002 6.1879e+000 3.2547e+001 7.0425e+001 3.9253e+002 1.5743e+003 5.4139e+003 1.8023e+004 5.5071e+004 1.4693e+005 3.4351e+005 6.9509e+005 1.1693e+006 1.5592e+006 1.5201e+006 9.0135e+005 1.5680e+005 7.8572e+004 6.3103e+005 7.2719e+005 1.4324e+005 1.1275e+005 5.5358e+005 2.2825e+005 5.3731e+004 4.2740e+005 8.9431e+004 1.6403e+005 2.6426e+005 1.8345e+004 2.7054e+005 3.9946e+002 2.2089e+005 7.7384e+003 1.3674e+005 8.3004e+004 1.9961e+002 1.3899e+002
          25 4.8393e-021 1.1766e-008 3.3905e-006 3.7774e-016 2.4395e-004 6.5343e-003 9.9559e-007 1.2558e-001 1.6341e+000 2.8701e-001 1.6649e+001 8.2458e+001 1.7418e+002 9.1717e+002 3.4788e+003 1.1227e+004 3.5159e+004 1.0021e+005 2.4728e+005 5.2975e+005 9.6790e+005 1.4367e+006 1.6252e+006 1.2368e+006 4.4230e+005 1.1099e+002 3.8086e+005 8.1541e+005 4.1780e+005 7.0731e+002 4.1187e+005 4.7174e+005 9.5788e+003 3.0682e+005 3.1095e+005 1.0766e+004 3.4509e+005 4.7749e+004 2.0410e+005 1.1272e+005 1.2959e+005 9.0949e+004 1.3985e+005 1.1988e+004 1.3044e+005 5.7182e+004 2.4594e+003
          26 3.8772e-012 1.0044e-001 1.0393e-001 3.4548e-007 6.1827e-002 3.6038e-004 8.3580e-005 1.5256e-001 2.1949e+000 3.5278e-001 1.9034e+001 1.0052e+002 2.0714e+002 1.0867e+003 4.0918e+003 1.3187e+004 4.0848e+004 1.1595e+005 2.8335e+005 6.0218e+005 1.0878e+006 1.5940e+006 1.7703e+006 1.3089e+006 4.3676e+005 8.8294e+002 4.5495e+005 8.9292e+005 4.1591e+005 5.0204e+003 4.8028e+005 4.8845e+005 3.4650e+003 3.6226e+005 3.1213e+005 2.2613e+004 3.8153e+005 3.5593e+004 2.4326e+005 1.0141e+005 1.6147e+005 8.0810e+004 1.6687e+005 6.3320e+003 1.3687e+005 7.1143e+004 7.5486e+001
          27 5.6071e-021 4.3386e-008 1.1329e-005 2.4468e-016 7.8363e-004 2.0065e-002 3.3720e-006 3.6351e-001 4.4345e+000 7.7761e-001 4.2026e+001 1.9613e+002 4.0383e+002 2.0110e+003 7.2110e+003 2.1854e+004 6.4319e+004 1.7073e+005 3.8878e+005 7.6012e+005 1.2445e+006 1.6072e+006 1.4954e+006 8.1348e+005 1.0230e+005 1.2903e+005 7.0384e+005 6.9985e+005 9.6119e+004 1.6613e+005 5.8063e+005 1.8357e+005 8.8689e+004 4.4551e+005 6.3902e+004 2.0024e+005 2.5445e+005 2.7881e+004 2.8172e+005 3.1218e+002 2.3675e+005 1.2658e+003 1.7581e+005 4.4228e+004 3.7391e+004 9.1809e+004 7.7024e+004
          28 5.6555e-020 1.2798e-007 3.5839e-005 1.4527e-015 2.3701e-003 5.8131e-002 1.0753e-005 9.9385e-001 1.1378e+001 1.9888e+000 1.0043e+002 4.4203e+002 8.8574e+002 4.1761e+003 1.4151e+004 4.0295e+004 1.1133e+005 2.7473e+005 5.7570e+005 1.0219e+006 1.4848e+006 1.6360e+006 1.1928e+006 3.8455e+005 2.1570e+003 4.3992e+005 8.3742e+005 3.8058e+005 5.9891e+003 4.5685e+005 4.5919e+005 3.3114e+003 3.4092e+005 3.0184e+005 1.7549e+004 3.6139e+005 4.5241e+004 2.1362e+005 1.2594e+005 1.2128e+005 1.2328e+005 1.1526e+005 4.8699e+004 1.5157e+005 7.9286e+003 3.2614e+004 1.3408e+004
          29 6.3541e-019 3.3732e-007 1.0600e-004 6.4577e-015 6.7285e-003 1.5830e-001 3.2149e-005 2.5571e+000 2.7500e+001 4.7844e+000 2.2640e+002 9.4039e+002 1.8311e+003 8.1819e+003 2.6186e+004 7.0075e+004 1.8150e+005 4.1548e+005 7.9820e+005 1.2777e+006 1.6264e+006 1.4856e+006 7.7898e+005 8.3407e+004 1.5319e+005 7.3748e+005 6.9764e+005 8.3731e+004 1.8685e+005 5.9811e+005 1.7676e+005 9.9167e+004 4.6040e+005 6.3932e+004 2.0718e+005 2.6908e+005 2.3777e+004 2.9821e+005 5.4298e+002 2.4807e+005 1.8152e+003 2.0376e+005 8.4296e+003 1.1279e+005 9.4851e+004 3.0829e+003 1.9599e+004
          30 1.1044e-017 7.4289e-007 2.9641e-004 1.7035e-014 1.8115e-002 4.0938e-001 9.1069e-005 6.2558e+000 6.3265e+001 1.0937e+001 4.8635e+002 1.9075e+003 3.6041e+003 1.5273e+004 4.6136e+004 1.1601e+005 2.8118e+005 5.9536e+005 1.0436e+006 1.4931e+006 1.6351e+006 1.1835e+006 3.7294e+005 3.3622e+003 4.5432e+005 8.5160e+005 3.8537e+005 6.2118e+003 4.6620e+005 4.7442e+005 4.4971e+003 3.4361e+005 3.2169e+005 1.2923e+004 3.7050e+005 6.1924e+004 1.9958e+005 1.6063e+005 9.3655e+004 1.7025e+005 7.5563e+004 1.0945e+005 1.1839e+005 1.0146e+004 1.1802e+005 5.9819e+004 1.8771e+004
          31 1.5774e-015 2.2927e-007 8.0311e-004 5.9516e-013 4.6235e-002 1.0054e+000 2.4446e-004 1.4561e+001 1.3860e+002 2.3774e+001 9.9624e+002 3.6918e+003 6.7584e+003 2.7180e+004 7.7439e+004 1.8288e+005 4.1398e+005 8.0800e+005 1.2845e+006 1.6235e+006 1.4909e+006 7.9168e+005 8.8481e+004 1.4777e+005 7.4050e+005 7.2268e+005 9.7470e+004 1.7445e+005 6.1251e+005 2.0352e+005 8.3774e+004 4.7513e+005 8.7061e+004 1.8574e+005 3.0606e+005 9.8718e+003 3.1355e+005 1.0176e+004 2.4448e+005 2.1769e+004 2.0532e+005 2.9472e+003 1.7136e+005 3.1490e+004 3.6614e+004 8.7025e+004 2.0876e+004
          32 2.0871e-005 1.0383e+004 3.2031e+003 2.2283e-002 5.7281e+001 5.9223e+002 1.1129e-003 7.9238e+002 1.5905e+003 5.6924e+001 6.8432e+002 3.6048e+003 1.2786e+004 3.5488e+004 9.7651e+004 2.2771e+005 5.5572e+005 9.3199e+005 1.6383e+006 1.8042e+006 1.7398e+006 7.5699e+005 6.7483e+004 2.5755e+005 8.9226e+005 7.7303e+005 6.3168e+004 2.8221e+005 6.9206e+005 1.7360e+005 1.6031e+005 5.3643e+005 5.5508e+004 2.7705e+005 3.0307e+005 3.7765e+004 3.5555e+005 5.5414e+002 3.0190e+005 5.7252e+003 2.4990e+005 4.1191e+002 1.8480e+005 6.3039e+004 2.1631e+004 9.2251e+004 3.2687e+004
