   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12
           0 1.2730e+005 1.9789e+003 1.4537e+003 1.9120e+002 1.5425e+001 7.2207e-001 1.0708e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.4471e+005 1.5294e+005 5.8382e+002 3.3456e+003 8.3326e+002 1.2565e+002 1.4688e+001 1.4277e+000 9.4857e-002 3.6042e-002 1.7559e-002 9.2093e-003 5.2824e-003
           2 4.4898e+003 3.1406e+005 1.6274e+005 4.1049e+002 4.3194e+003 1.9967e+003 4.9278e+002 1.0412e+002 1.3478e+001 6.1355e+000 3.5622e+000 2.1424e+000 1.3574e+000
           3 4.1917e+001 1.4996e+004 4.8760e+005 1.4608e+005 6.9936e+003 3.0563e+003 3.2478e+003 1.2300e+003 2.0981e+002 1.0125e+002 6.1925e+001 3.8679e+001 2.5155e+001
           4 1.5263e+001 9.2474e-001 2.5533e+004 6.2021e+005 9.5961e+004 2.4533e+004 1.8854e+002 2.5561e+003 8.3102e+002 4.4561e+002 2.9711e+002 1.9678e+002 1.3300e+002
           5 3.8279e+000 2.0715e+002 3.5651e+002 3.5474e+004 7.0210e+005 3.0023e+004 4.5395e+004 4.3390e+003 2.3701e+001 7.1374e-002 7.8041e+000 1.3723e+001 1.4615e+001
           6 5.2322e-002 5.3744e-002 3.0474e+002 5.6447e+002 6.2095e+004 7.1991e+005 1.8967e+003 3.3825e+004 9.4297e+003 4.7005e+003 2.9056e+003 1.8101e+003 1.1694e+003
           7 5.0011e-001 2.5348e+001 1.7150e+002 5.6684e+000 4.5914e-001 1.2075e+005 5.8284e+005 1.0064e+005 1.3238e+003 8.9718e+001 1.3497e+001 8.5343e+001 1.1981e+002
           8 4.3450e-001 2.4570e+000 1.7705e+001 4.6698e+002 2.5666e+002 3.0682e+003 2.2162e+005 2.2255e+005 9.8702e+004 5.1615e+004 3.2973e+004 2.0930e+004 1.3665e+004
           9 1.4977e-002 6.3442e+000 7.1179e+001 4.8521e+001 4.4527e+002 1.8860e+003 2.7202e+004 2.7964e+005 5.1672e+003 1.5827e+002 3.4066e+002 9.9839e+002 1.2359e+003
          10 6.6107e-001 4.5791e+000 4.4171e+000 4.5762e+001 1.6026e+002 6.6991e+002 1.0649e+004 1.0906e+005 2.4908e+004 2.2281e+004 1.9699e+004 1.4944e+004 1.0797e+004
          11 5.1326e-001 4.2608e-002 9.3794e+000 7.9501e+001 9.1782e-001 1.4966e+002 2.6820e+003 6.0123e+004 5.7262e+004 3.2081e+004 1.9314e+004 1.0978e+004 6.4109e+003
          12 1.8282e-002 2.1560e+000 1.4916e+001 1.9213e+001 4.5412e+001 4.9463e+001 5.7307e+000 2.6244e+004 9.9296e+004 3.5723e+004 1.3160e+004 4.5955e+003 1.6777e+003
          13 9.2358e-002 1.7783e+000 3.7679e+000 1.8013e+000 6.5736e+001 9.6914e+000 2.4924e+002 7.5937e+003 1.5557e+005 2.4572e+004 1.6023e+003 1.4643e+002 1.0112e+003
          14 1.3550e-001 4.7025e-001 1.8528e-001 1.8280e+001 2.1965e+001 4.9129e+001 6.2891e+000 6.5157e+003 3.3187e+005 3.7949e+002 2.6231e+004 2.9501e+004 2.3109e+004
