   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
           0 5.6106e+006 4.8231e+004 1.1317e+002 5.1183e+000 7.7508e-002 1.4571e-003 1.1767e-003 2.0280e-004 2.2034e-004 3.3335e-005 2.2457e-005 2.7923e-009 2.0728e-008 1.1130e-006 4.6461e-007 1.1980e-008 0.0000e+000 0.0000e+000 0.0000e+000
           1 2.2055e+005 4.9613e+006 8.6284e+004 6.3886e+002 3.8851e+001 5.7914e-001 3.7499e-003 1.2992e-005 9.1257e-004 8.4393e-005 3.2771e-005 1.5648e-004 8.3571e-006 1.9899e-005 3.1984e-005 1.8039e-005 6.4825e-006 1.5080e-006 1.9149e-007
           2 6.7603e+003 4.5761e+005 4.2534e+006 1.0830e+005 2.4136e+003 1.9415e+002 4.3408e+000 3.2989e-002 2.6952e-003 1.8437e-002 1.2457e-003 1.0510e-003 9.3175e-005 6.0983e-004 9.5969e-004 3.9375e-004 4.2762e-005 8.0216e-007 9.7606e-006
           3 3.4541e+002 2.1748e+004 7.1482e+005 3.4774e+006 1.0788e+005 7.8512e+003 8.2954e+002 2.7682e+001 2.1711e-001 6.6999e-002 2.3952e-002 2.5092e-002 6.5410e-003 1.4545e-004 5.3507e-005 4.0143e-006 2.2779e-004 6.4574e-004 6.4387e-004
           4 2.2254e+001 1.5608e+003 4.6596e+004 9.9977e+005 2.6284e+006 7.9724e+004 2.4112e+004 3.3017e+003 1.3925e+002 9.3426e-001 8.3004e-001 1.5251e-001 1.6829e-002 1.3092e-004 3.4121e-002 1.3836e-002 5.6542e-004 1.0754e-004 1.3454e-004
           5 2.8206e+000 1.3603e+002 4.4144e+003 8.4175e+004 1.3181e+006 1.7194e+006 2.9078e+004 7.2344e+004 1.2686e+004 6.4342e+002 1.1233e+000 3.2253e+000 4.5938e-001 1.6647e-002 1.2514e-002 9.5063e-003 3.2590e-003 1.7938e-002 1.3925e-002
           6 2.8763e-001 1.5887e+001 5.0941e+002 9.9892e+003 1.4171e+005 1.6599e+006 8.2367e+005 1.5659e+003 2.1573e+005 4.7110e+004 2.7115e+003 1.1350e+000 1.6673e+001 4.8700e-002 1.5099e-006 5.4695e-002 2.1532e-002 5.6960e-003 2.3431e-002
           7 2.3839e-002 2.6393e+000 6.4428e+001 1.5263e+003 2.0013e+004 2.4131e+005 1.9464e+006 1.5967e+005 1.4638e+005 6.2217e+005 1.6308e+005 9.4109e+003 5.6054e+001 5.4368e+001 9.3702e+000 4.2004e-002 5.4753e-001 3.7406e-001 1.1938e-001
           8 2.2632e-002 4.4273e-001 1.2625e+001 2.3429e+002 4.0806e+003 3.7594e+004 4.3814e+005 1.9146e+006 1.9527e+004 7.1431e+005 1.5933e+006 4.8457e+005 2.5250e+004 6.8495e+002 1.0495e+002 4.8331e+001 5.6728e+000 3.5459e-001 1.6655e+000
           9 1.9240e-002 9.6845e-002 2.7558e+000 5.3587e+001 8.6801e+002 9.9665e+003 7.3743e+004 8.1612e+005 1.2790e+006 2.5038e+005 1.6446e+006 3.2470e+006 1.0841e+006 4.0339e+004 4.3932e+003 8.4005e+000 1.4461e+002 6.2531e+001 1.2704e+001
          10 2.5960e-003 3.1435e-002 4.9331e-001 1.5973e+001 2.1930e+002 2.8591e+003 2.0557e+004 1.7027e+005 1.2919e+006 3.9186e+005 2.4586e+005 2.2905e+006 5.1752e+006 1.7926e+006 3.0304e+004 1.4038e+004 4.7244e+002 5.1589e+001 1.4148e+002
          11 2.0376e-003 5.0167e-003 1.1634e-001 4.4938e+000 6.6768e+001 7.8148e+002 7.3908e+003 3.8336e+004 4.1450e+005 1.3644e+006 3.6623e+003 4.6225e+004 2.4025e+006 7.1178e+006 2.4032e+006 2.5293e+003 2.4105e+004 4.7746e+003 4.0481e+002
          12 8.3327e-003 1.4675e-003 8.3134e-002 1.6159e+000 2.2498e+001 2.2098e+002 2.5355e+003 1.4226e+004 8.8721e+004 8.2726e+005 8.1196e+005 1.0558e+005 2.5436e+004 2.1843e+006 9.0131e+006 2.6751e+006 3.1290e+004 1.7022e+004 1.2084e+004
          13 7.1507e-003 1.3117e-002 9.0553e-002 1.1407e+000 8.3838e+000 6.5319e+001 8.0168e+002 6.7624e+003 2.3642e+004 2.4964e+005 1.0769e+006 1.9304e+005 1.9017e+005 2.3395e+005 1.9669e+006 1.1008e+007 2.3339e+006 2.3575e+005 7.1436e+002
          14 2.9742e-003 1.7798e-002 8.4501e-002 1.0402e+000 3.4294e+000 2.0611e+001 2.4215e+002 2.9506e+003 1.1115e+004 5.6793e+004 5.6509e+005 8.0316e+005 6.4543e+001 1.0400e+005 4.7601e+005 1.9714e+006 1.3152e+007 1.2769e+006 5.6705e+005
          15 8.3058e-004 1.0660e-002 7.2496e-002 7.6832e-001 1.3142e+000 7.6800e+000 7.7878e+001 1.0948e+003 6.6816e+003 1.6144e+004 1.8571e+005 7.8843e+005 2.7910e+005 7.8181e+004 8.9837e+003 5.7557e+005 2.4642e+006 1.4971e+007 9.4781e+004
          16 3.1042e-004 2.4733e-003 6.6354e-002 4.0866e-001 3.5866e-001 3.4577e+000 3.1986e+001 3.7492e+002 3.6801e+003 7.9096e+003 5.0554e+004 4.3983e+005 5.8068e+005 1.0203e+004 1.0720e+005 2.1507e+004 4.8399e+005 3.9843e+006 1.4597e+007
          17 2.9947e-004 5.9104e-006 6.3652e-002 1.5647e-001 4.0062e-002 1.6904e+000 1.7724e+001 1.3596e+002 1.7344e+003 5.1621e+003 1.5085e+004 1.8501e+005 5.2791e+005 1.5830e+005 3.6617e+004 3.6304e+004 1.0378e+005 2.2819e+005 7.7848e+006
          18 3.8591e-004 1.3471e-003 5.5132e-002 4.3561e-002 9.9014e-004 8.0415e-001 1.1009e+001 5.5998e+001 7.2578e+002 3.2301e+003 5.8223e+003 6.8726e+004 3.2517e+005 2.3902e+005 3.4214e+001 5.5611e+004 7.5594e+002 1.4386e+005 1.0864e+002
          19 3.1733e-004 1.9425e-003 3.3931e-002 8.8943e-003 1.1405e-002 3.2484e-001 5.6239e+000 2.2399e+001 2.6064e+002 1.5575e+003 2.3943e+003 2.2820e+004 1.4493e+005 1.6456e+005 9.4722e+003 2.5327e+004 5.5984e+003 3.2209e+004 7.9186e+004
