   v'->v''           0           1           2           3           4           5           6           7           8           9          10
           0 7.1143e+006 3.4084e+005 5.9334e+003 3.2616e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 4.0411e+005 5.7308e+006 5.3454e+005 1.9917e+004 1.0746e+002 1.0902e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 9.8618e+003 1.1498e+006 4.6712e+006 7.7605e+005 5.6796e+004 1.6689e+003 3.0358e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 7.2314e+004 7.1397e+003 1.7471e+006 3.9149e+006 1.0261e+006 1.1608e+005 6.9037e+003 1.1686e+002 3.9155e-003 0.0000e+000 0.0000e+000
           4 1.9545e+004 5.3046e+004 1.8234e+003 2.2794e+006 3.1112e+006 1.2184e+006 1.9658e+005 1.9796e+004 1.0691e+003 1.6010e+001 9.9145e-005
           5 4.4547e+003 3.9513e+003 3.3408e+004 2.1478e+004 2.8989e+006 2.2648e+006 1.3623e+006 3.0815e+005 4.8190e+004 5.5379e+003 4.4798e+002
           6 4.3358e+004 1.4403e+004 3.6455e+003 4.1393e+004 6.0137e+004 3.4987e+006 1.4633e+006 1.4443e+006 4.5226e+005 1.0246e+005 2.0088e+004
           7 5.1437e+004 4.7033e+004 4.1799e+003 9.2995e+003 5.2931e+004 1.4797e+005 3.9892e+006 7.3751e+005 1.4016e+006 6.1070e+005 1.9127e+005
           8 1.8092e+004 4.0510e+004 2.1041e+004 2.0165e+002 1.0561e+004 6.3482e+004 3.2159e+005 4.3044e+006 1.8003e+005 1.1416e+006 7.1768e+005
           9 7.1543e+000 9.6845e+003 2.4869e+004 1.1970e+004 2.8305e+000 7.9418e+003 8.6852e+004 6.2559e+005 4.2799e+006 1.3166e+004 6.0181e+005
          10 1.4961e+004 7.4528e+002 1.1523e+004 2.3880e+004 9.1062e+003 9.8086e+001 4.8311e+003 1.4714e+005 1.1186e+006 3.5813e+006 5.2644e+005
          11 3.5914e+004 1.6270e+004 8.7769e+002 2.0196e+004 2.3350e+004 6.1036e+003 6.0421e+002 1.6493e+003 2.9686e+005 1.8247e+006 1.8907e+006
          12 3.8439e+004 3.2352e+004 2.2327e+003 8.6285e+003 2.4919e+004 1.8062e+004 2.6854e+003 2.1621e+003 5.7018e+002 6.6126e+005 2.3859e+006
          13 2.3635e+004 3.2972e+004 1.0726e+004 7.3164e+002 1.5977e+004 2.1774e+004 1.0643e+004 7.1615e+002 5.3006e+003 2.9960e+004 1.4463e+006
          14 7.1868e+003 2.0951e+004 1.6741e+004 1.2448e+003 5.1474e+003 1.6915e+004 1.5142e+004 5.4807e+003 1.8179e+002 1.4558e+004 2.3459e+005
          15 1.3911e+002 7.7910e+003 1.6043e+004 6.4551e+003 1.3402e+002 8.1534e+003 1.4519e+004 1.0027e+004 2.8920e+003 2.4020e+002 6.4968e+004
          16 2.3782e+003 8.9251e+002 1.0981e+004 1.0849e+004 1.5093e+003 1.8559e+003 9.7039e+003 1.1823e+004 6.4480e+003 1.4054e+003 3.4403e+003
          17 7.8876e+003 3.3400e+002 5.5839e+003 1.1973e+004 5.2640e+003 2.4308e+000 4.6612e+003 9.9768e+003 8.5899e+003 3.7863e+003 3.7260e+002
          18 1.1736e+004 2.6005e+003 2.0587e+003 1.0447e+004 8.0370e+003 8.0605e+002 1.5781e+003 6.8474e+003 8.2488e+003 5.3676e+003 1.6289e+003
          19 1.2722e+004 4.8020e+003 4.6779e+002 7.9474e+003 8.9057e+003 2.1851e+003 2.9285e+002 4.1708e+003 6.7815e+003 5.4999e+003 2.8802e+003
          20 1.2145e+004 6.1584e+003 1.8741e+001 5.7562e+003 8.6634e+003 3.2705e+003 4.3917e-001 2.4034e+003 5.2999e+003 5.1090e+003 3.1528e+003
          21 1.0750e+004 6.6699e+003 6.3933e+001 4.0119e+003 7.7880e+003 3.8707e+003 1.2337e+002 1.2894e+003 3.9707e+003 4.4675e+003 3.0874e+003
          22 8.8876e+003 6.4150e+003 2.6046e+002 2.6717e+003 6.5185e+003 3.9453e+003 3.5568e+002 6.2618e+002 2.8258e+003 3.6613e+003 2.8181e+003
          23 6.7973e+003 5.5078e+003 4.1550e+002 1.6831e+003 5.0316e+003 3.5234e+003 5.1793e+002 2.6946e+002 1.8893e+003 2.7765e+003 2.3412e+003
          24 4.6195e+003 4.0735e+003 4.3032e+002 9.7292e+002 3.4416e+003 2.6745e+003 5.1642e+002 1.0129e+002 1.1484e+003 1.8729e+003 1.6891e+003
          25 2.4982e+003 2.3246e+003 2.9416e+002 4.6966e+002 1.8685e+003 1.5499e+003 3.4691e+002 3.2759e+001 5.7466e+002 1.0075e+003 9.4757e+002
          26 8.2275e+002 7.8473e+002 1.0714e+002 1.4634e+002 6.1642e+002 5.2671e+002 1.2549e+002 8.0323e+000 1.8229e+002 3.3099e+002 3.1722e+002
