   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28
           0 3.4694e+006 1.1762e+004 4.7045e+000 8.2867e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 3.0333e+003 3.5015e+006 2.8677e+004 2.2454e+001 6.9096e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 3.5858e+000 8.8445e+003 3.5234e+006 5.2336e+004 7.6595e+001 7.8811e-003 3.3449e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 2.1575e-001 5.6747e+000 1.8854e+004 3.5313e+006 8.4832e+004 2.2342e+002 1.1901e-001 1.0156e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 9.3603e-002 1.3478e+000 1.5984e+000 3.5137e+004 3.5137e+006 1.3057e+005 6.1756e+002 1.4243e+000 2.4060e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 7.6811e-002 7.6607e-001 5.6633e+000 4.4572e-001 6.3407e+004 3.4522e+006 1.9737e+005 1.7340e+003 1.0396e+001 2.6154e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 3.8047e-001 1.6368e+000 2.9489e+000 8.2456e+000 3.3926e+001 1.1342e+005 3.3109e+006 2.9768e+005 5.0680e+003 6.3421e+001 2.5970e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 7.2842e-003 1.2740e+000 3.9648e-001 1.4081e+000 1.0405e+001 3.0085e+002 2.0769e+005 2.9910e+006 4.5142e+005 1.5854e+004 3.8981e+002 2.6893e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 2.3716e-001 2.6629e-001 1.5376e-001 1.9295e-001 4.0883e+000 2.7548e+000 1.5689e+003 4.0863e+005 2.2564e+006 6.5954e+005 5.0637e+004 2.2961e+003 2.5425e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 4.2638e-002 3.3016e-001 8.6493e-002 6.7309e-002 1.0993e+000 1.5290e+001 1.6791e+001 1.0390e+004 8.3206e+005 9.5997e+005 7.2312e+005 1.1904e+005 8.6812e+003 1.1757e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 1.1811e-003 3.7740e-001 8.9908e-001 7.4043e-002 1.0380e-001 6.6336e-001 2.7427e+000 2.0617e+002 9.1440e+004 1.3476e+006 6.0700e+004 4.1017e+005 1.3647e+005 1.3377e+004 1.4648e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
