   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23
           0 3.2120e+006 1.5427e+007 3.1918e+007 3.7432e+007 2.7470e+007 1.3099e+007 4.0656e+006 7.9439e+005 8.9375e+004 4.5686e+003 3.3005e+001 5.3517e+000 1.2228e+000 1.3752e-001 3.5760e-002 2.2195e-003 1.8046e-002 4.9597e-011 8.6939e-003 3.1321e-003 8.6902e-005 1.6581e-003 1.5233e-003 1.8347e-004
           1 9.6618e+006 2.7179e+007 2.3212e+007 3.2054e+006 3.9272e+006 1.8820e+007 2.0298e+007 1.0349e+007 2.8120e+006 3.8694e+005 1.9881e+004 1.7060e+001 8.6624e+001 7.8745e+000 1.3393e-004 1.4898e-002 1.0321e-002 1.9397e-003 3.2276e-003 4.5219e-007 4.2616e-004 1.3394e-004 2.3633e-006 2.3407e-007
           2 1.6527e+007 2.4892e+007 4.0539e+006 5.4057e+006 1.6899e+007 4.5369e+006 2.0084e+006 1.3425e+007 1.3195e+007 5.1755e+006 8.6072e+005 3.9336e+004 3.3381e+002 6.8602e+002 3.6238e+001 3.2755e-001 2.5553e-001 5.3309e-002 1.5254e-003 2.5666e-002 2.2782e-003 1.2804e-003 2.1282e-003 2.6421e-004
           3 2.1296e+007 1.4741e+007 5.7983e+005 1.4621e+007 4.1328e+006 3.9392e+006 1.2382e+007 1.8220e+006 3.3796e+006 1.0495e+007 6.4170e+006 1.2694e+006 3.9006e+004 6.4807e+003 3.3001e+003 8.5774e+001 4.9406e+000 1.2811e-001 1.6601e-002 1.8430e-002 3.0875e-003 1.2562e-004 4.8679e-004 5.9608e-005
           4 2.3096e+007 5.4026e+006 6.7942e+006 9.9130e+006 7.5984e+005 1.1304e+007 1.2474e+006 5.8159e+006 7.6987e+006 1.1978e+004 5.1414e+006 5.8043e+006 1.3237e+006 8.7045e+003 4.1258e+004 1.0713e+004 5.7246e+001 3.9404e+001 4.9395e-002 8.8047e-004 7.3384e-002 1.0313e-001 3.9171e-002 3.1359e-003
           5 2.2358e+007 6.9311e+005 1.1509e+007 2.1801e+006 7.2034e+006 4.8357e+006 2.9441e+006 7.7057e+006 6.0623e+004 7.1722e+006 2.3609e+006 1.1183e+006 3.8360e+006 9.2678e+005 2.4019e+004 1.6079e+005 2.3852e+004 6.8792e+001 1.2646e+002 8.0474e+000 1.1246e+000 1.1315e-001 7.3337e-003 4.5977e-003
           6 3.4970e-040 1.0560e-041 1.8039e-040 3.3455e-041 1.1344e-040 7.4657e-041 4.6978e-041 1.1976e-040 1.1523e-042 1.1267e-040 3.5780e-041 1.8412e-041 6.0383e-041 1.4385e-041 1.1761e-043 3.9147e-044 7.1333e-040 2.5146e-037 3.4375e-034 3.3180e-029 1.2126e-021 4.0915e-011 9.2798e+000 7.0292e+007
           7 2.5273e-040 3.2928e-042 1.3648e-040 1.3477e-041 9.5466e-041 3.6287e-041 5.2138e-041 6.9685e-041 9.3327e-042 8.5098e-041 7.9213e-042 3.3506e-041 4.3975e-041 5.5928e-042 1.1998e-041 6.6910e-040 1.3787e-037 4.0401e-035 4.8239e-032 3.6577e-027 1.0786e-019 2.0453e-009 1.1096e+002 8.1365e+006
           8 2.2036e-038 7.0464e-041 1.2252e-038 5.1720e-040 9.2458e-039 1.8661e-039 6.0710e-039 4.4265e-039 2.1398e-039 6.8496e-039 1.6407e-041 4.5960e-039 2.8637e-039 4.3619e-041 1.1191e-039 7.5980e-038 1.1994e-035 3.0262e-033 3.1484e-030 1.8701e-025 4.4656e-018 4.7660e-008 6.0971e+002 3.7134e+007
           9 3.1190e-036 3.4166e-042 1.7599e-036 1.8498e-038 1.3991e-036 1.2577e-037 1.0439e-036 4.0257e-037 5.2994e-037 7.9587e-037 4.3176e-038 7.9201e-037 2.1007e-037 2.1373e-038 3.7162e-038 5.6430e-036 6.6928e-034 1.4380e-031 1.3005e-028 6.0366e-024 1.1723e-016 7.0625e-007 2.1247e+003 1.1049e+007
          10 1.0176e-033 2.9014e-036 5.7531e-034 2.5838e-039 4.7287e-034 1.2014e-035 3.8649e-034 6.9180e-035 2.4777e-034 1.8633e-034 6.4267e-035 2.6191e-034 1.6799e-035 4.4066e-035 1.2858e-036 3.9455e-034 2.9607e-032 5.2141e-030 4.0739e-027 1.4670e-022 2.3191e-015 7.8290e-006 5.4523e+003 2.8944e+007
          11 1.6033e-021 1.4709e-023 9.0019e-022 5.2540e-024 7.5081e-022 2.0062e-024 6.4661e-022 5.0916e-023 4.7263e-022 1.9945e-022 1.9010e-022 3.7078e-022 3.1753e-025 1.3541e-022 2.5066e-023 2.6652e-023 3.6156e-023 2.5982e-024 5.0082e-025 2.1898e-021 2.9512e-014 6.2647e-005 1.3718e+004 3.3112e+007
          12 1.0311e-030 1.1654e-032 5.7722e-031 5.3230e-033 4.8246e-031 2.9952e-034 4.2000e-031 2.5444e-032 3.1557e-031 1.1382e-031 1.3775e-031 2.2829e-031 2.3384e-034 9.7678e-032 2.0561e-032 8.3883e-034 6.5683e-031 1.4355e-028 9.7259e-026 2.7011e-021 3.4865e-014 6.5830e-005 1.0804e+004 1.2617e+007
          13 1.9672e-030 4.8905e-032 1.0786e-030 4.0118e-032 9.0326e-031 1.0329e-032 8.1904e-031 5.2761e-033 6.8793e-031 9.8964e-032 4.0838e-031 3.1523e-031 4.7617e-032 2.6521e-031 6.1984e-032 1.8258e-031 2.3723e-029 3.2946e-027 1.8984e-024 4.0425e-020 4.2761e-013 4.5113e-004 1.8310e+004 2.4819e+007
          14 4.4425e-029 1.9177e-030 2.3607e-029 1.9831e-030 1.9533e-029 1.1244e-030 1.8107e-029 1.2386e-031 1.6454e-029 5.2855e-031 1.1990e-029 4.1084e-030 3.5134e-030 6.4231e-030 9.1645e-031 6.6445e-030 5.8145e-028 6.3513e-026 3.0982e-023 5.0168e-019 4.3621e-012 2.5617e-003 2.7685e+004 1.3127e+007
          15 2.0709e-027 1.3605e-028 1.0560e-027 1.5838e-028 8.5184e-028 1.2056e-028 7.9354e-028 4.8812e-029 7.6063e-028 1.1908e-031 6.4023e-028 7.5482e-029 3.0225e-028 2.5090e-028 6.8002e-030 1.8216e-028 1.2948e-026 1.0593e-024 4.3151e-022 5.2739e-018 3.7875e-011 1.2386e-002 3.9838e+004 2.1884e+007
          16 2.7695e-025 2.5535e-026 1.3419e-025 3.1793e-026 1.0407e-025 2.8136e-026 9.5834e-026 1.7170e-026 9.4902e-026 4.1239e-027 8.8736e-026 1.2862e-027 5.6831e-026 2.1267e-026 8.9102e-028 4.6228e-027 3.3991e-025 1.6188e-023 5.2650e-021 4.8055e-017 2.8621e-010 5.1953e-002 5.5948e+004 1.3207e+007
          17 3.6883e-013 4.1649e-014 1.7143e-013 5.3389e-014 1.2824e-013 5.0415e-014 1.1594e-013 3.5829e-014 1.1614e-013 1.4560e-014 1.1490e-013 1.3836e-016 8.6145e-014 1.6197e-014 7.1638e-015 3.2952e-017 3.0409e-014 2.0733e-014 3.2850e-016 1.2610e-019 1.4662e-009 1.7603e-001 9.4530e+004 1.9689e+007
          18 4.0042e-023 4.8921e-024 1.8260e-023 6.3286e-024 1.3422e-023 6.1025e-024 1.2009e-023 4.5471e-024 1.2055e-023 2.1162e-024 1.2171e-023 1.2583e-025 9.6614e-024 1.2643e-024 1.1953e-024 5.1638e-026 2.0829e-027 1.5931e-022 5.6505e-020 3.8210e-016 1.8984e-009 1.9142e-001 7.7853e+004 1.9537e+007
          19 6.2215e-023 9.6704e-024 2.6441e-023 1.2765e-023 1.8126e-023 1.2945e-023 1.5454e-023 1.0804e-023 1.5428e-023 6.7254e-024 1.6462e-023 1.9263e-024 1.5373e-023 2.2878e-025 4.5799e-024 1.4090e-024 2.3548e-023 2.2358e-021 5.4763e-019 2.6974e-015 1.1242e-008 6.2840e-001 1.0661e+005 1.2823e+007
          20 7.0588e-022 1.3519e-022 2.7686e-022 1.7980e-022 1.7383e-022 1.8748e-022 1.3792e-022 1.6736e-022 1.3400e-022 1.2215e-022 1.4840e-022 5.7643e-023 1.5785e-022 2.7434e-024 8.0925e-023 2.6664e-023 4.4649e-022 2.5643e-020 4.8054e-018 1.6991e-014 5.9844e-008 1.8566e+000 1.4323e+005 1.7514e+007
          21 1.6966e-020 3.9071e-021 6.0775e-021 5.1873e-021 3.4186e-021 5.4755e-021 2.4455e-021 5.0814e-021 2.2464e-021 4.0780e-021 2.5394e-021 2.4744e-021 3.0255e-021 5.6056e-022 2.3032e-021 4.9330e-022 7.7500e-021 2.8903e-019 3.8812e-017 9.6308e-014 2.8894e-007 4.9727e+000 1.8739e+005 1.2222e+007
          22 1.2256e-018 3.3256e-019 3.9668e-019 4.3758e-019 1.9454e-019 4.6214e-019 1.1983e-019 4.3712e-019 9.9488e-020 3.7119e-019 1.1266e-019 2.6066e-019 1.5021e-019 1.0245e-019 1.5894e-019 1.1139e-020 2.0874e-019 4.1650e-018 2.9731e-016 4.9525e-013 1.2782e-006 1.2229e+001 2.4107e+005 1.5654e+007
          23 2.0353e-007 6.1201e-008 6.1043e-008 7.9759e-008 2.6712e-008 8.3804e-008 1.4259e-008 7.9605e-008 1.0553e-008 6.9192e-008 1.1784e-008 5.1883e-008 1.7204e-008 2.5301e-008 2.2726e-008 1.3177e-010 9.4113e-009 5.5919e-008 2.1149e-008 1.0922e-010 4.3415e-006 2.8238e+001 3.7085e+005 1.8418e+007
          24 8.1408e-017 2.5606e-017 2.3529e-017 3.3196e-017 9.7045e-018 3.4751e-017 4.7720e-018 3.3007e-017 3.2796e-018 2.8901e-017 3.6146e-018 2.2184e-017 5.5564e-018 1.1667e-017 8.1941e-018 7.2182e-021 1.3535e-018 7.2820e-020 1.7304e-015 2.3062e-012 5.1827e-006 2.7611e+001 3.0380e+005 1.1389e+007
          25 7.8115e-017 2.8089e-017 1.9908e-017 3.5705e-017 6.5708e-018 3.6763e-017 2.2330e-018 3.4642e-017 1.0027e-018 3.0673e-017 9.9398e-019 2.4806e-017 2.0270e-018 1.5540e-017 4.7366e-018 1.1630e-018 7.5596e-019 8.1297e-017 1.2481e-014 9.8477e-012 1.9544e-005 5.8173e+001 3.8059e+005 1.3889e+007
          26 5.1366e-016 2.0870e-016 1.1382e-016 2.5900e-016 2.7927e-017 2.6053e-016 4.5920e-018 2.4104e-016 3.0646e-019 2.1240e-016 7.9897e-020 1.7618e-016 1.5295e-018 1.2304e-016 1.2310e-017 2.5913e-017 2.8532e-017 9.6227e-016 7.9720e-014 3.8168e-011 6.8175e-005 1.1391e+002 4.6987e+005 1.0458e+007
          27 7.1984e-015 3.2718e-015 1.3646e-015 3.9497e-015 2.2056e-016 3.8574e-015 2.6854e-018 3.4707e-015 2.9883e-017 3.0007e-015 5.5374e-017 2.4977e-015 2.0879e-017 1.8598e-015 1.8617e-017 6.6824e-016 5.6735e-016 1.0926e-014 5.1037e-013 1.3532e-010 2.2320e-004 2.1049e+002 5.7647e+005 1.2209e+007
          28 2.8406e-013 1.4317e-013 4.5240e-014 1.6756e-013 3.8319e-015 1.5798e-013 8.8133e-016 1.3699e-013 6.5377e-015 1.1463e-013 9.7398e-015 9.3857e-014 7.2654e-015 7.2002e-014 9.4830e-016 3.5775e-014 1.7686e-014 2.0419e-013 3.9429e-012 4.3010e-010 6.8373e-004 3.6698e+002 6.9856e+005 9.4152e+006
          29 5.3696e-002 2.9101e-002 7.3967e-003 3.3208e-002 2.7471e-004 3.0384e-002 6.6869e-004 2.5470e-002 2.4965e-003 2.0605e-002 3.5054e-003 1.6446e-002 2.9935e-003 1.2646e-002 1.0302e-003 7.4044e-003 1.9420e-003 1.4127e-002 3.7798e-002 5.9438e-003 1.2506e-004 7.0952e+002 1.0543e+006 1.2470e+007
          30 2.2639e-011 1.2558e-011 2.9632e-012 1.4205e-011 7.2778e-014 1.2859e-011 3.8245e-013 1.0647e-011 1.2651e-012 8.5021e-012 1.7511e-012 6.7107e-012 1.5356e-012 5.1450e-012 6.1334e-013 3.1460e-012 6.2228e-013 3.7127e-012 1.1627e-013 1.3775e-009 1.9721e-003 6.0792e+002 8.3618e+005 1.0585e+007
          31 9.4179e-012 5.7105e-012 9.8686e-013 6.2258e-012 7.8556e-017 5.3821e-012 3.8722e-013 4.2147e-012 9.4828e-013 3.1622e-012 1.2527e-012 2.3520e-012 1.1695e-012 1.7463e-012 6.5538e-013 1.2164e-012 2.7500e-014 5.3788e-015 3.7879e-011 3.3072e-009 5.3878e-003 9.6555e+002 9.9337e+005 8.3110e+006
          32 3.7343e-011 2.4604e-011 3.0315e-012 2.5786e-011 1.4526e-013 2.1172e-011 2.7956e-012 1.5519e-011 5.7870e-012 1.0741e-011 7.3496e-012 7.3156e-012 7.0216e-012 5.0590e-012 4.6018e-012 3.7828e-012 1.5719e-013 2.1450e-012 2.6821e-010 6.8951e-009 1.3898e-002 1.4687e+003 1.1648e+006 9.0707e+006
          33 3.1862e-010 2.2692e-010 1.9202e-011 2.2802e-010 4.7062e-012 1.7682e-010 3.7286e-011 1.1989e-010 6.8827e-011 7.4817e-011 8.4150e-011 4.4814e-011 8.0473e-011 2.7211e-011 5.7055e-011 2.0628e-011 9.7878e-012 4.5076e-011 1.8529e-009 9.7946e-009 3.4168e-002 2.1648e+003 1.3582e+006 7.1827e+006
          34 6.8101e-009 5.2175e-009 2.8778e-010 5.0148e-009 2.2084e-010 3.6513e-009 1.1320e-009 2.2594e-009 1.9129e-009 1.2330e-009 2.2490e-009 6.0939e-010 2.1204e-009 2.9034e-010 1.5557e-009 2.0548e-010 4.8358e-010 1.1056e-009 1.9238e-008 8.8136e-010 7.9965e-002 3.0980e+003 1.5718e+006 7.6441e+006
          35 3.1260e+003 2.5480e+003 8.9572e+001 2.3483e+003 1.6835e+002 1.6071e+003 6.7322e+002 9.0333e+002 1.0636e+003 4.2125e+002 1.2047e+003 1.5879e+002 1.1098e+003 4.7652e+001 8.1802e+002 2.6117e+001 3.3474e+002 3.9998e+002 2.7352e+003 4.2463e+003 5.9653e+001 3.7556e+003 2.4077e+006 9.0509e+006
          36 3.1282e-006 2.5671e-006 8.5336e-008 2.3545e-006 1.7701e-007 1.5996e-006 6.9176e-007 8.8858e-007 1.0851e-006 4.0594e-007 1.2237e-006 1.4705e-007 1.1238e-006 4.0561e-008 8.2769e-007 2.0905e-008 3.4627e-007 3.8224e-007 2.2868e-006 4.4256e-006 1.7856e-001 4.3170e+003 1.8020e+006 6.0637e+006
          37 1.8530e-007 1.6226e-007 2.8666e-009 1.4168e-007 1.6098e-008 8.9207e-008 5.1938e-008 4.3589e-008 7.6226e-008 1.5578e-008 8.2188e-008 3.1325e-009 7.2722e-008 5.6593e-011 5.2474e-008 4.6894e-011 2.5587e-008 1.1285e-008 4.5007e-009 3.9373e-008 3.8171e-001 5.9117e+003 2.0566e+006 6.3070e+006
          38 4.3749e-007 4.0729e-007 3.0354e-009 3.3780e-007 5.3740e-008 1.9567e-007 1.4970e-007 8.1930e-008 2.0645e-007 2.0375e-008 2.1200e-007 7.2130e-010 1.7885e-007 2.7890e-009 1.2366e-007 5.7135e-009 6.4298e-008 6.4217e-009 4.5598e-008 3.6657e-007 7.8095e-001 7.9485e+003 2.3261e+006 5.0129e+006
          39 2.3142e-006 2.2832e-006 4.0684e-009 1.7946e-006 3.7961e-007 9.4833e-007 9.3829e-007 3.2847e-007 1.2185e-006 4.4570e-008 1.1862e-006 5.7510e-009 9.4380e-007 7.1419e-008 6.1117e-007 1.0132e-007 3.1687e-007 1.2880e-010 7.6712e-007 8.1911e-006 1.5309e+000 1.0531e+004 2.6088e+006 5.0837e+006
