   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32
           0 6.3213e+006 5.9499e+000 7.7524e-002 1.1850e+005 5.8040e+002 2.8676e+002 7.5621e+003 1.2828e+003 1.2607e+001 2.5833e+001 4.0454e+001 1.5118e+001 3.2206e+000 2.0015e-001 7.8437e-003 1.9904e-002 2.1453e-003 1.2331e-003 3.9881e-003 2.7936e-003 8.6788e-004 8.6258e-005 4.2636e-006 3.1592e-005 2.2680e-005 6.6405e-006 7.1511e-007 7.6991e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.0517e+006 2.6465e-001 3.1274e+001 3.9541e+006 1.4691e+004 6.6899e+002 3.9942e+004 3.0737e+004 2.1623e+004 2.6835e+004 7.5197e+003 5.3995e+002 1.7794e+001 1.5145e+002 9.9951e+001 2.6855e+001 2.1350e+000 1.7982e-001 7.9131e-001 4.1996e-001 5.9003e-002 3.6759e-003 4.0003e-002 4.5059e-002 2.5610e-002 8.7550e-003 1.6076e-003 5.7648e-005 4.6534e-005 9.7269e-005 6.0583e-005 2.1726e-005 5.1295e-006
           2 9.4400e+004 1.8319e+002 7.0611e+002 1.7594e+006 4.3058e+003 1.0237e+004 1.5817e+006 4.9211e+005 5.9439e+004 5.9138e+002 3.0517e+004 4.8555e+004 3.5567e+004 1.3056e+004 1.8785e+003 8.2411e-001 2.5847e+002 2.9978e+002 1.3842e+002 2.9223e+001 7.7163e-001 1.9408e+000 3.8825e+000 2.6340e+000 9.3142e-001 1.2759e-001 3.2645e-003 7.2358e-002 1.0842e-001 9.0905e-002 5.6153e-002 2.8121e-002 1.0831e-002
           3 7.9855e+003 5.9478e+003 1.7951e+004 2.4243e+005 4.6401e+004 7.9307e+004 1.6299e+006 3.6773e+005 1.8484e+005 5.3283e+005 3.4732e+005 7.9379e+004 6.7639e+002 2.2117e+004 4.2344e+004 3.2416e+004 1.4301e+004 3.3173e+003 1.5212e+002 1.4571e+002 4.0210e+002 3.3657e+002 1.5981e+002 4.3394e+001 3.7411e+000 7.8678e-001 4.6212e+000 5.6007e+000 4.0999e+000 2.2049e+000 9.2273e-001 3.0445e-001 7.5317e-002
           4 4.2667e-028 9.1158e-016 2.8142e-013 3.2532e-015 2.7884e-011 1.4058e-009 2.4657e-009 3.7450e-008 6.8386e-007 3.7671e-006 4.8750e-005 3.4398e-004 2.9356e-003 2.3994e-002 1.7859e-001 1.3338e+000 7.7651e+000 4.4986e+001 2.3247e+002 1.0758e+003 4.4529e+003 1.6319e+004 5.1845e+004 1.4483e+005 3.4795e+005 7.0588e+005 1.1800e+006 1.5625e+006 1.5337e+006 9.7132e+005 2.7678e+005 3.8938e+003 6.6886e+003
           5 9.1084e-027 5.9393e-014 1.6700e-011 2.0337e-013 1.4933e-009 6.7780e-008 1.1585e-007 1.6556e-006 2.7422e-005 1.4307e-004 1.6176e-003 1.1064e-002 8.5781e-002 6.2881e-001 4.2126e+000 2.7448e+001 1.4400e+002 7.2360e+002 3.2153e+003 1.2611e+004 4.3280e+004 1.2796e+005 3.2019e+005 6.6490e+005 1.1006e+006 1.3570e+006 1.0714e+006 3.3099e+005 2.4734e+004 7.7882e+005 1.2919e+006 3.6926e+005 2.4718e+004
           6 4.3747e-025 1.7782e-012 4.5711e-010 5.8524e-012 3.6993e-008 1.5152e-006 2.5209e-006 3.3963e-005 5.1122e-004 2.5255e-003 2.5123e-002 1.6576e-001 1.1689e+000 7.7017e+000 4.6476e+001 2.6543e+002 1.2501e+003 5.4553e+003 2.0831e+004 6.9044e+004 1.9543e+005 4.6165e+005 8.8438e+005 1.3034e+006 1.3440e+006 7.6661e+005 7.6987e+004 1.8796e+005 6.9300e+005 2.3758e+005 2.7974e+005 1.3732e+006 5.8895e+004
           7 3.1801e-023 3.4383e-011 8.1065e-009 1.0895e-010 5.9492e-007 2.2025e-005 3.5617e-005 4.5307e-004 6.2043e-003 2.8996e-002 2.5530e-001 1.6167e+000 1.0373e+001 6.1505e+001 3.3423e+002 1.6784e+003 7.0615e+003 2.6740e+004 8.7448e+004 2.4326e+005 5.6112e+005 1.0357e+006 1.4466e+006 1.3660e+006 6.5373e+005 2.2892e+004 2.9227e+005 6.8471e+005 1.6265e+005 1.7733e+005 3.5822e+005 2.8602e+005 9.5211e+005
           8 9.2794e-021 4.7361e-010 1.0277e-007 1.4479e-009 6.8530e-006 2.2967e-004 3.6044e-004 4.3353e-003 5.4063e-002 2.3880e-001 1.8717e+000 1.1317e+001 6.6067e+001 3.5290e+002 1.7260e+003 7.6381e+003 2.8555e+004 9.3603e+004 2.6064e+005 6.0168e+005 1.1080e+006 1.5339e+006 1.4231e+006 6.5502e+005 1.6880e+004 3.2029e+005 7.0149e+005 1.7033e+005 1.4950e+005 4.4307e+005 1.9647e+003 1.6400e+005 6.9416e+005
           9 2.5511e-009 5.1757e-007 1.7133e-007 3.4204e-007 3.3305e-005 6.5429e-004 1.0436e-003 1.3293e-002 1.5390e-001 6.7333e-001 5.0174e+000 2.9800e+001 1.6749e+002 8.5890e+002 4.0282e+003 1.6965e+004 6.0434e+004 1.8693e+005 4.8734e+005 1.0405e+006 1.7383e+006 2.1093e+006 1.5870e+006 4.4510e+005 3.1470e+004 7.3119e+005 7.6936e+005 2.1086e+004 4.6323e+005 3.5137e+005 1.2901e+005 9.6197e+004 6.9385e+005
