   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13
           0 5.5547e+006 2.1077e+004 4.5148e+002 5.4658e+000 9.9138e-002 3.8210e-004 7.0546e-004 2.1365e-004 1.2544e-005 7.7224e-006 1.2021e-006 1.9014e-009 0.0000e+000 0.0000e+000
           1 2.1072e+005 4.7509e+006 2.9412e+004 2.6953e+003 6.7883e+001 1.6121e+000 1.5431e-004 9.7760e-003 1.7230e-003 5.0673e-005 6.5020e-005 7.5998e-006 1.2909e-007 3.0548e-007
           2 5.3426e+003 4.7072e+005 3.7932e+006 1.9662e+004 1.1840e+004 5.5978e+002 1.4258e+001 1.6894e-001 1.4583e-001 2.7101e-004 7.4441e-004 7.9176e-006 5.4780e-006 9.0279e-007
           3 3.6271e+002 1.7386e+004 8.1355e+005 2.6366e+006 5.3384e+002 4.8702e+004 3.6816e+003 6.3719e+001 9.1495e+000 9.8489e-001 1.1735e-001 8.5888e-004 7.4677e-007 3.5623e-005
           4 3.2350e+001 1.7333e+003 3.8687e+004 1.2944e+006 1.3055e+006 5.9983e+004 1.9730e+005 1.9866e+004 9.5593e+001 1.1854e+002 9.6723e-001 1.8406e+000 1.1980e+000 2.9826e-001
           5 3.6879e+000 2.3504e+002 4.9632e+003 8.3972e+004 1.9192e+006 1.9029e+005 5.7023e+005 7.3848e+005 8.0508e+004 6.8568e+001 5.9592e+002 1.0593e+002 4.2220e+000 3.2314e-001
           6 9.7057e-001 2.9040e+001 1.0973e+003 1.0357e+004 2.3315e+005 2.2663e+006 1.3879e+005 2.1877e+006 2.1134e+006 1.9622e+005 5.8250e+003 5.7186e+002 6.2183e+002 2.0263e+002
           7 3.2762e-001 7.5255e+000 2.1110e+002 3.7402e+003 2.2410e+004 7.3020e+005 1.4940e+006 7.0809e+005 4.4622e+006 4.0243e+006 2.2145e+005 3.8591e+004 1.0199e+003 6.3938e+001
           8 8.3709e-002 3.3894e+000 4.6601e+001 1.2152e+003 6.5683e+003 8.7754e+004 1.4880e+006 2.7963e+005 6.4102e+005 6.3859e+006 5.8110e+006 8.2928e+004 8.5016e+004 1.7929e+004
           9 1.7673e-002 1.2317e+000 1.5678e+001 3.0629e+002 3.8277e+003 9.4913e+003 4.1074e+005 1.4468e+006 2.2729e+004 2.7330e+005 8.1738e+006 6.9411e+006 2.5457e+004 3.3153e+004
          10 5.9191e-003 2.8149e-001 6.2666e+000 7.6256e+001 1.8377e+003 3.6741e+003 5.5743e+004 9.8567e+005 5.3669e+005 2.7177e+005 6.2560e+004 1.0521e+007 6.4211e+006 6.1824e+005
          11 4.3385e-003 4.9838e-002 2.4221e+000 2.3177e+001 6.5866e+002 3.1811e+003 5.2182e+003 3.3741e+005 9.4059e+005 1.5793e+004 3.1351e+005 2.2189e+004 1.4283e+007 2.7399e+006
          12 3.6695e-003 1.3754e-002 9.3124e-001 8.7704e+000 1.9615e+002 2.3196e+003 9.0661e+002 8.0175e+004 6.4721e+005 2.5971e+005 8.0534e+004 1.4457e+005 1.6032e+005 1.8860e+007
          13 2.1584e-003 6.9226e-003 3.4064e-001 3.3561e+000 5.1851e+001 1.1336e+003 4.5297e+002 1.5773e+004 2.7363e+005 2.6814e+005 7.0122e+002 1.0318e+005 1.9641e+004 2.2271e+006
