   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
           0 2.4077e+007 1.6552e+006 9.2743e+003 7.7501e-002 5.6159e-002 2.1645e-005 1.2126e-004 2.4635e-004 2.3103e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.5258e+006 2.0655e+007 3.2649e+006 2.9732e+004 2.8248e+000 1.8340e-001 4.0941e-006 4.9220e-003 6.9702e-004 1.1193e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 1.0712e+005 2.8369e+006 1.7377e+007 4.7993e+006 6.2309e+004 2.1093e+001 6.3848e-001 1.1783e-002 1.4322e-002 5.8988e-004 4.3147e-005 2.3386e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 8.3952e+003 3.1899e+005 3.8874e+006 1.4317e+007 6.2363e+006 1.0633e+005 1.0579e+002 1.8096e+000 4.4836e-002 3.8606e-002 1.8221e-003 5.5640e-005 1.1204e-004 1.2225e-006 7.8494e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 5.8695e+002 3.6443e+004 6.2233e+005 4.6420e+006 1.1529e+007 7.5563e+006 1.5873e+005 4.3242e+002 3.3477e+000 2.7892e-001 2.0850e-002 5.8037e-004 5.5626e-004 1.3730e-004 1.3659e-005 1.3664e-006 2.6453e-007 1.3189e-007 5.9654e-008
           5 3.8977e+001 3.9449e+003 9.5638e+004 9.8902e+005 5.0844e+006 9.0656e+006 8.7420e+006 2.1225e+005 1.5295e+003 3.9088e+000 9.5471e-001 1.2766e-001 1.2865e-003 1.1215e-003 1.3766e-003 5.6604e-004 1.9661e-004 1.3507e-004 7.6392e-005
           6 3.5846e-002 4.5831e+002 1.4215e+004 1.9437e+005 1.3818e+006 5.2167e+006 6.9697e+006 9.7831e+006 2.5362e+005 4.8039e+003 1.1688e-001 2.9942e+000 7.3439e-001 3.5771e-002 1.8100e-003 5.4663e-004 2.2765e-004 1.7815e-004 1.1097e-004
           7 3.0867e+000 2.1178e+001 2.2064e+003 3.7390e+004 3.3722e+005 1.7586e+006 5.0578e+006 5.2654e+006 1.0679e+007 2.6180e+005 1.3651e+004 5.2747e+001 5.8891e+000 2.9832e+000 5.2627e-001 9.1070e-002 2.3636e-002 1.4087e-002 7.2702e-003
           8 9.6768e-001 2.1066e+000 2.3818e+002 7.3749e+003 7.9997e+004 5.1902e+005 2.0707e+006 4.6439e+006 3.9656e+006 1.1429e+007 2.1004e+005 3.3950e+004 9.4335e+002 3.0955e+000 3.6275e+000 2.0143e+000 7.2818e-001 5.0716e-001 2.8893e-001
           9 5.0651e-002 4.4383e+000 6.9371e+000 1.2866e+003 1.9857e+004 1.4913e+005 7.2620e+005 2.2729e+006 4.0267e+006 3.0824e+006 1.1994e+007 9.1191e+004 6.6868e+004 7.2835e+003 6.7906e+002 8.1936e+001 1.7884e+001 9.6034e+000 4.5883e+000
          10 2.7425e-002 2.9559e+000 1.2565e+000 1.8268e+002 4.7314e+003 4.4311e+004 2.4734e+005 9.3580e+005 2.3319e+006 3.2786e+006 2.6331e+006 1.2206e+007 6.9987e+002 7.8557e+004 2.6065e+004 6.2760e+003 1.8395e+003 1.1648e+003 6.2519e+002
          11 1.6872e-001 3.2235e+000 4.6113e+000 1.8001e+001 1.0658e+003 1.3211e+004 8.5832e+004 3.6785e+005 1.1073e+006 2.2103e+006 2.4691e+006 2.6787e+006 1.1574e+007 3.7065e+005 3.6173e+003 1.0670e+004 4.8631e+003 3.7285e+003 2.2511e+003
          12 3.1549e-001 4.1176e+000 7.5080e+000 1.6849e-002 2.4384e+002 4.0428e+003 3.0694e+004 1.4843e+005 4.9723e+005 1.1968e+006 1.9208e+006 1.6493e+006 3.4740e+006 8.7432e+006 1.7146e+006 2.4867e+005 5.6824e+004 3.1089e+004 1.5009e+004
          13 2.8884e-001 3.9792e+000 9.1045e+000 3.5979e+000 5.2358e+001 1.3024e+003 1.1483e+004 6.1312e+004 2.2670e+005 6.0484e+005 1.1582e+006 1.5021e+006 8.3854e+005 5.3049e+006 2.7541e+006 1.5558e+006 5.4125e+005 3.6763e+005 2.0562e+005
          14 1.7955e-001 2.7895e+000 8.0715e+000 7.2733e+000 7.4828e+000 4.3456e+002 4.5207e+003 2.6159e+004 1.0470e+005 3.0132e+005 6.3584e+005 9.7382e+005 9.8842e+005 1.7757e+005 6.2180e+006 1.6449e+005 9.4082e+001 1.1132e+004 1.5789e+004
          15 8.9238e-002 1.4723e+000 5.2413e+000 6.8147e+000 1.8673e-001 1.4195e+002 1.7841e+003 1.1113e+004 4.6840e+004 1.4221e+005 3.2114e+005 5.2997e+005 6.3856e+005 4.1981e+005 8.3629e+000 1.0927e+006 6.6693e+005 4.9530e+005 2.7938e+005
          16 4.0241e-002 6.5550e-001 2.7009e+000 4.2469e+000 1.5365e-001 4.7627e+001 7.0835e+002 4.6726e+003 2.0287e+004 6.3538e+004 1.4896e+005 2.5689e+005 3.2466e+005 3.0874e+005 2.8498e+002 9.1828e+005 6.4639e+004 2.2299e+004 1.7947e+003
          17 2.3555e-002 3.6796e-001 1.6730e+000 2.9386e+000 4.0784e-001 2.2416e+001 3.8056e+002 2.6149e+003 1.1562e+004 3.6873e+004 8.8232e+004 1.5624e+005 2.0238e+005 2.0335e+005 7.7349e+004 1.0447e+006 3.8001e+006 4.7778e+005 4.2366e+004
          18 1.3524e-002 2.0154e-001 9.8241e-001 1.8548e+000 4.3118e-001 1.0878e+001 2.0482e+002 1.4496e+003 6.4896e+003 2.0937e+004 5.0723e+004 9.1364e+004 1.2027e+005 1.2178e+005 7.9581e+004 1.1292e+004 6.7555e+006 2.2197e+006 1.1197e+006
          19 6.4282e-003 9.2435e-002 4.7000e-001 9.2521e-001 2.7210e-001 4.6389e+000 9.3400e+001 6.7311e+002 3.0356e+003 9.8585e+003 2.4046e+004 4.3730e+004 5.8111e+004 5.8859e+004 4.4934e+004 3.9088e+002 5.3646e+005 1.2458e+007 1.0007e+006
