   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19
           0 9.2791e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 3.9489e+002 1.0006e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 2.2042e+001 6.7395e+002 1.0610e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 7.5176e-001 6.7859e+001 8.1581e+002 1.1127e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 7.0699e-001 2.9312e+000 1.2373e+002 8.6998e+002 1.1501e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 6.8364e-001 4.3835e-001 9.3443e+000 1.9360e+002 8.4234e+002 1.1713e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 6.7660e-001 1.2218e+000 1.0820e+000 2.1644e+001 2.7487e+002 7.3122e+002 1.1725e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 8.3424e-002 1.1170e+000 6.8150e-001 2.7997e+000 3.7118e+001 3.6604e+002 5.5397e+002 1.1499e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 1.5700e+000 8.9482e-002 1.0138e+000 4.8446e-002 7.0794e+000 5.9149e+001 4.6196e+002 3.4208e+002 1.1009e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 1.0062e-001 1.1063e+000 1.3364e-001 3.5384e-001 2.4719e-002 1.2314e+001 8.8619e+001 5.5001e+002 1.4183e+002 1.0238e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 4.2181e-001 1.8130e-002 5.8592e-001 2.1666e-001 9.3600e-001 1.0428e+000 2.0942e+001 1.3002e+002 6.1115e+002 1.4812e+001 9.1826e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 2.9860e-001 6.7720e-001 1.1721e-001 1.2976e-001 1.8149e-001 1.2440e+000 2.8693e+000 3.1708e+001 1.8416e+002 6.2174e+002 3.0389e+001 7.8652e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          12 4.0308e-003 8.8520e-002 4.8032e-001 2.1218e-001 4.3512e-001 2.6609e-002 2.8240e+000 7.2441e+000 5.0344e+001 2.4713e+002 5.5241e+002 2.5008e+002 6.3361e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          13 1.7617e-001 2.0599e-001 5.3748e-003 2.5036e-001 8.2433e-002 1.8004e-001 9.2369e-002 4.2803e+000 1.3038e+001 8.2928e+001 3.1633e+002 3.9470e+002 6.9542e+002 4.6973e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 1.1831e-001 4.8782e-001 2.7655e-001 4.0926e-006 4.2891e-001 2.1893e-002 1.0603e-001 8.2899e-001 7.4021e+000 1.9687e+001 1.2118e+002 3.5864e+002 1.7691e+002 1.2894e+003 3.1005e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          15 2.5846e-003 2.2091e-001 3.9414e-001 1.2371e-001 9.8869e-002 1.4461e-001 9.9893e-004 9.2255e-002 2.5652e+000 1.2782e+001 3.9222e+001 1.7267e+002 3.3516e+002 1.2683e+001 1.8200e+003 1.7207e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          16 4.9107e-002 1.0250e-002 1.5326e-001 1.3971e-001 9.8522e-003 4.2717e-002 1.2255e-001 8.5297e-002 6.9546e-001 7.0192e+000 1.9547e+001 6.5911e+001 2.1332e+002 2.0150e+002 7.2798e+001 1.9518e+003 7.4607e+002 0.0000e+000 0.0000e+000 0.0000e+000
          17 1.3348e-001 2.9443e-002 1.1671e-002 5.4816e-002 7.8283e-002 1.2358e-004 1.2001e-001 1.1631e-001 3.3754e-001 2.4220e+000 1.0099e+001 3.1214e+001 1.0080e+002 1.9770e+002 3.2976e+001 4.1502e+002 1.4439e+003 2.2308e+002 0.0000e+000 0.0000e+000
          18 1.4128e-001 7.7912e-002 4.3874e-003 9.4555e-003 7.2792e-002 1.1953e-002 4.5588e-002 8.4126e-002 2.3569e-001 7.5028e-001 4.4980e+000 1.5562e+001 4.6728e+001 1.1108e+002 7.9596e+001 3.8278e+001 6.4108e+002 6.4407e+002 3.1910e+001 0.0000e+000
          19 7.6301e-002 5.5109e-002 1.0546e-002 6.0424e-004 3.1760e-002 1.0216e-002 1.0249e-002 3.4140e-002 1.1659e-001 2.2652e-001 1.5604e+000 5.9252e+000 1.7496e+001 4.3331e+001 4.5656e+001 4.8696e-001 1.8588e+002 3.2776e+002 9.9207e+001 5.6793e-001
          20 2.0758e-002 1.6127e-002 3.8512e-003 2.7444e-005 7.8431e-003 3.0276e-003 1.8773e-003 8.2762e-003 3.1132e-002 5.2323e-002 3.6815e-001 1.4411e+000 4.2590e+000 1.0643e+001 1.2332e+001 2.8597e-002 3.9458e+001 8.4291e+001 3.3491e+001 1.9844e+000
