   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21
           0 9.7994e+006 8.9121e+005 1.0329e+004 5.7184e+001 2.0353e+002 7.7858e+001 1.4540e+000 1.3021e+001 5.1074e-001 1.4937e+000 5.9338e-001 4.8895e-006 4.1494e-002 1.1133e-002 3.1510e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 9.0589e+005 7.8281e+006 1.6376e+006 1.3809e+004 9.1629e+003 5.1974e+003 5.6661e-001 8.2136e+002 9.3768e+000 1.2807e+002 4.3089e+001 4.0722e-001 8.5694e+000 4.1018e+000 5.6125e-001 1.0286e-002 4.4480e-003 4.2390e-003 1.6034e-003 8.8032e-004 6.0098e-004 3.5202e-004
           2 8.1454e+004 1.6850e+006 5.5731e+006 1.6917e+006 1.4567e+004 9.6165e+004 1.9514e+003 1.1704e+004 2.3361e+001 2.4643e+003 5.1728e+002 5.6722e+001 2.4883e+002 1.1130e+002 1.4142e+001 1.5835e-003 1.4399e+000 1.2413e+000 5.3830e-001 3.2134e-001 2.3481e-001 1.4449e-001
           3 1.0625e+004 1.8471e+005 2.8010e+006 2.4338e+006 7.1154e+005 2.4345e+005 7.6185e+004 3.1597e+004 4.6119e+003 1.0742e+004 6.1586e+002 9.9092e+002 1.3937e+003 4.0269e+002 1.4768e+001 1.7040e+001 3.3882e+001 2.1573e+001 8.7395e+000 5.1077e+000 3.6859e+000 2.2517e+000
           4 7.2332e+002 5.4652e+004 2.1293e+005 4.5743e+006 4.1192e+005 2.8648e+005 1.8969e+005 8.8683e+003 2.3816e+004 1.5794e+003 1.7597e+003 2.2316e+003 4.1134e+002 6.4845e+000 1.3966e+002 1.4333e+002 7.8457e+001 3.1237e+001 1.0512e+001 5.6899e+000 3.8930e+000 2.2963e+000
           5 8.2033e+001 7.9638e+003 6.8786e+004 6.3445e+005 3.7626e+006 1.5898e+005 2.8501e+005 2.3246e+005 7.8040e+003 3.2483e+004 5.9380e+003 7.8552e+002 3.5515e+003 1.8706e+003 3.0247e+002 1.5817e-002 4.3992e+001 4.5914e+001 2.1765e+001 1.3514e+001 1.0157e+001 6.3697e+000
           6 8.5705e+001 3.6383e+001 7.9096e+004 6.9437e+002 2.2300e+006 2.0141e+006 9.4393e+003 1.2425e+005 2.0510e+005 1.4493e+002 1.2937e+004 9.5715e+003 1.0043e+003 2.1228e+002 8.9840e+002 7.5931e+002 3.8361e+002 1.4607e+002 4.8084e+001 2.5765e+001 1.7497e+001 1.0268e+001
           7 2.2755e+001 5.0282e+001 1.4060e+004 1.6700e+004 1.8879e+005 2.1745e+006 1.2863e+006 4.6818e+002 9.2168e+004 2.5681e+005 2.3442e+001 1.0140e+004 1.4646e+004 4.6122e+003 2.4641e+002 1.5873e+002 4.2761e+002 3.0870e+002 1.3214e+002 7.9079e+001 5.8027e+001 3.5845e+001
           8 3.9950e+000 5.9050e+002 3.4731e+003 1.2196e+005 1.8505e+004 8.1393e+005 2.1452e+006 5.7461e+005 3.6159e+004 3.8744e+004 2.5073e+005 1.4644e+002 2.7338e+003 8.9523e+003 5.0087e+003 1.4884e+003 2.8175e+002 3.6917e+001 4.9479e+000 1.4420e+000 5.3363e-001 1.7954e-001
           9 2.0284e+001 1.0469e+003 9.7141e+003 8.6744e+004 9.9860e+003 9.2482e+004 1.2779e+006 1.3715e+006 2.2861e+005 5.1881e+004 4.1612e+003 3.2204e+005 4.2834e+002 1.1740e+002 4.4734e+003 4.6994e+003 2.6922e+003 1.1560e+003 4.0654e+002 2.2462e+002 1.5600e+002 9.2960e+001
          10 6.1555e+000 2.1196e+002 1.0430e+003 4.6875e+003 2.2402e+004 2.2124e+002 3.3331e+005 1.2887e+006 8.7126e+005 7.6491e+004 8.5244e+004 3.1027e+003 4.8730e+005 1.2994e+004 5.6424e+003 2.1891e+003 2.5121e+003 1.4617e+003 5.9594e+002 3.5128e+002 2.5542e+002 1.5692e+002
          11 3.0405e-001 3.7990e+001 1.5337e+003 1.1509e+004 8.0050e+004 5.0845e+003 2.5648e+004 6.6192e+005 9.9630e+005 3.5398e+005 2.7103e+003 1.0962e+005 7.0243e+004 9.3045e+005 2.4124e+005 1.3212e+005 3.5778e+004 1.8836e+003 1.0919e+002 3.0726e+000 3.4667e+000 9.0587e+000
          12 4.0450e-002 2.9009e+000 7.3539e+001 4.8641e+002 2.2271e+003 9.8049e+001 1.7442e+002 1.3166e+004 2.4522e+004 1.1002e+004 4.9909e+002 1.8622e+003 6.2388e+000 4.5268e+002 1.5543e+005 1.2552e+006 6.9780e+006 1.0817e+007 1.8060e+003 4.8618e+004 5.5454e+004 3.8049e+004
          13 1.8776e-001 1.1652e+001 2.5131e+002 1.5594e+003 5.7925e+003 1.7230e+002 9.3443e+001 2.7751e+004 6.0158e+004 3.1360e+004 2.5526e+003 2.9854e+003 1.7450e+003 1.4619e+004 4.1281e+005 1.2614e+006 8.6981e+005 5.2138e+006 8.6755e+006 1.4481e+006 4.3282e+005 1.4068e+005
          14 1.9273e-001 1.1369e+001 2.3071e+002 1.3908e+003 4.7138e+003 1.0735e+002 1.6598e+001 2.0395e+004 4.7879e+004 2.6884e+004 2.7396e+003 1.7890e+003 2.5592e+003 1.5504e+004 2.6419e+005 4.2074e+005 1.6533e+004 5.7323e+005 7.1912e+006 4.3752e+006 4.4168e+005 4.3029e+005
