   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14
           0 4.8488e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.4696e+003 1.8457e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 1.3519e+002 2.1676e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 5.9347e+001 7.8908e+002 2.9007e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 6.5140e+001 3.2085e+002 5.0341e+001 7.7320e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 1.6614e+002 2.0509e+003 5.9317e+003 1.3152e+003 8.9739e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 9.1122e+001 1.1790e+003 3.0751e+003 1.2646e+003 8.2946e+002 8.6150e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 2.7889e+001 4.7450e+002 2.7420e+003 3.8127e+003 3.3371e+002 9.4587e+002 6.2623e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 1.5131e+002 2.7076e+003 1.1894e+004 1.2385e+004 9.8907e+002 1.4067e+001 3.3219e+003 9.5772e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 1.5776e+002 2.9926e+003 1.1607e+004 1.0046e+004 2.7696e+002 4.6976e+002 7.8469e+002 6.2030e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 4.7216e+001 9.0822e+002 2.5323e+003 1.0790e+003 2.0821e+002 4.4643e+002 1.9530e+002 1.9518e+003 3.0776e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 7.4579e-001 2.3606e+001 6.4822e+002 2.3693e+003 1.6757e+003 3.1625e+000 1.9137e-001 1.7579e+002 4.9048e+003 2.3680e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          12 5.3299e+001 1.1690e+003 7.3054e+003 1.1765e+004 2.6710e+003 5.9672e+002 1.8810e+002 5.3123e+000 1.3495e+003 3.2569e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          13 1.1573e+002 2.4515e+003 1.2943e+004 1.7378e+004 2.2267e+003 1.9244e+003 4.4895e+002 7.3052e+000 1.2015e+002 4.1727e+003 7.2762e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 1.2834e+002 2.6362e+003 1.2865e+004 1.5546e+004 1.2041e+003 2.5824e+003 4.1577e+002 5.4455e+001 5.0536e+000 2.0329e+003 1.4479e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          15 9.9672e+001 1.9845e+003 9.2029e+003 1.0239e+004 4.6298e+002 2.2207e+003 2.2939e+002 1.0459e+002 1.9911e+000 6.5281e+002 2.0748e+003 3.3523e-002 0.0000e+000 0.0000e+000 0.0000e+000
          16 6.1550e+001 1.1923e+003 5.3354e+003 5.5510e+003 1.3993e+002 1.4449e+003 9.3665e+001 1.0575e+002 3.4852e+000 1.8482e+002 1.5114e+003 5.1333e+001 0.0000e+000 0.0000e+000 0.0000e+000
          17 3.6425e+001 6.9117e+002 3.0184e+003 2.9859e+003 4.1621e+001 8.7741e+002 3.7203e+001 8.1997e+001 3.9149e+000 6.0355e+001 9.2708e+002 1.0676e+002 4.9510e-001 0.0000e+000 0.0000e+000
          18 2.2188e+001 4.1473e+002 1.7808e+003 1.6972e+003 1.3098e+001 5.4178e+002 1.5903e+001 5.8569e+001 3.4043e+000 2.3704e+001 5.6504e+002 1.1397e+002 7.6457e-001 2.4593e-002 0.0000e+000
          19 1.1480e+001 2.1247e+002 9.0244e+002 8.3878e+002 3.8177e+000 2.8232e+002 6.2542e+000 3.3216e+001 2.1396e+000 9.1374e+000 2.9024e+002 7.8420e+001 5.3453e-001 1.3979e-001 6.1971e-008
