   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56
           0 2.1227e+007 2.3392e-005 2.6234e-003 5.0044e+006 2.7005e-004 3.0675e-001 3.2172e+005 3.0637e-001 7.7859e-001 4.2182e+003 6.1840e+000 1.3694e+001 3.9115e+001 9.1173e-001 6.7103e+000 5.1490e+000 4.5157e-001 5.4755e-003 7.7436e-002 3.5578e-002 3.6452e-003 4.3166e-005 3.0359e-004 4.4369e-005 3.5596e-006 1.0259e-005 1.7717e-006 1.0516e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 5.5640e+006 1.9088e-003 5.7571e-002 1.0778e+007 4.0020e-001 1.5090e+001 7.7681e+006 1.8854e-001 4.3278e+002 8.1022e+005 3.8692e+002 2.3103e+001 5.6279e+003 1.2185e+003 1.3222e+003 4.4711e+002 2.2719e-001 3.9462e+001 3.4451e+001 7.1658e+000 4.2920e-002 6.1879e-001 5.5923e-001 1.2182e-001 7.3085e-004 1.0189e-002 8.7219e-003 1.8961e-003 5.8986e-005 9.6560e-006 1.1474e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 1.0130e+006 4.3253e-002 7.2230e-001 7.8129e+006 8.6524e+000 8.7813e+001 4.3680e+006 3.1713e+002 8.6270e+003 8.7599e+006 1.0718e+002 7.1869e+004 1.0394e+006 5.1765e+004 1.1240e+004 6.3321e+002 6.9790e+003 5.6729e+003 1.5434e+003 2.8763e+001 1.0296e+002 1.3005e+002 4.0753e+001 1.6636e+000 1.8466e+000 3.1233e+000 1.1806e+000 9.1607e-002 1.9860e-002 5.6176e-002 2.4490e-002 3.1296e-003 2.3979e-005 2.1324e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 1.6514e+005 4.6843e-001 8.0639e+000 2.4690e+006 6.6629e+001 3.4061e+002 7.5247e+006 2.6934e+003 1.6011e+004 1.2426e+006 4.2320e+004 9.2941e+005 7.5699e+006 5.6983e+004 1.8557e+005 5.5047e+005 2.2935e+005 4.5744e+004 7.7622e-001 1.0147e+004 9.9702e+003 3.1262e+003 1.3640e+002 1.5968e+002 3.0344e+002 1.3691e+002 1.5956e+001 1.2932e+000 8.3161e+000 5.8059e+000 1.4340e+000 4.3285e-002 6.3306e-002 8.7130e-002 2.7416e-002 2.1224e-003 2.2269e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 2.5677e+004 7.8044e-001 3.1208e+001 5.9942e+005 3.3317e+002 2.0465e+003 3.7377e+006 7.0835e+003 1.4245e+004 5.6724e+006 1.4318e+005 4.6711e+005 1.6900e+005 8.2056e+005 3.3197e+006 2.5458e+006 1.4466e+005 1.1126e+005 3.4886e+005 2.1221e+005 4.2513e+004 4.2549e+000 1.0401e+004 1.1331e+004 4.1230e+003 3.1511e+002 1.3068e+002 4.1946e+002 2.7127e+002 6.4635e+001 8.9593e-001 7.3291e+000 1.1187e+001 5.6365e+000 1.1686e+000 2.9314e-002 4.1507e-002 4.3745e-002 7.2947e-003 5.4617e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 4.1891e+003 2.9451e+001 2.9887e-001 1.3153e+005 4.2006e+002 3.8842e+003 1.2837e+006 1.7796e+004 6.5834e+004 4.2489e+006 5.1840e+004 4.4516e+003 3.4837e+006 8.9762e+005 2.4134e+005 4.4427e+005 1.7415e+006 1.7445e+006 5.7681e+005 2.9586e+003 1.3943e+005 2.1859e+005 1.1113e+005 1.7194e+004 5.8984e+002 8.9497e+003 8.8724e+003 3.3987e+003 3.4059e+002 6.9356e+001 3.4999e+002 2.9581e+002 1.0846e+002 1.2267e+001 1.0237e+000 7.7750e+000 7.0609e+000 2.9037e+000 5.4443e-001 1.8210e-002 6.2159e-003 3.4859e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 7.1947e+002 2.4017e+003 3.0004e+003 2.8325e+004 7.7937e+002 6.7762e+002 3.7938e+005 8.7191e+003 2.0053e+004 1.9839e+006 8.2299e+004 3.8920e+005 2.8834e+006 2.7794e+005 1.3092e+006 1.5356e+006 9.8603e+004 3.6920e+005 1.4214e+006 1.3086e+006 4.8159e+005 2.3425e+004 5.7911e+004 1.4948e+005 1.1047e+005 3.4041e+004 1.4669e+003 2.9261e+003 7.1785e+003 5.1837e+003 1.6776e+003 1.2092e+002 6.8666e+001 2.4504e+002 2.1068e+002 8.8938e+001 1.5965e+001 1.4062e-002 3.1088e+000 4.3566e+000 2.4960e+000 7.5410e-001 1.0229e-001 2.0499e-003 2.0519e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 1.1842e+002 5.2032e+004 5.2766e+004 6.9040e+003 3.0849e+004 9.6564e+003 1.0720e+005 8.5647e+002 2.4090e+002 7.5879e+005 4.6845e+003 1.7984e+005 2.0128e+006 1.2576e+005 6.0329e+005 1.7780e+006 1.5011e+006 7.3816e+005 8.6460e+003 4.5189e+005 1.1019e+006 9.4780e+005 3.3810e+005 1.5929e+004 4.0047e+004 1.0992e+005 8.9999e+004 3.3850e+004 3.4809e+003 8.7859e+002 4.8075e+003 4.8291e+003 2.3198e+003 4.8238e+002 1.5279e+000 1.0583e+002 1.8222e+002 1.3002e+002 5.1263e+001 9.2534e+000 3.0463e-002 1.5454e+000 2.3795e+000 1.4999e+000 5.2457e-001 9.5022e-002 5.6290e-003 6.1300e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 1.9747e+001 5.3778e+005 2.0186e+005 1.2552e+003 7.6785e+004 1.4985e+004 3.1342e+004 2.9155e+003 2.4918e+003 2.7097e+005 1.0484e+003 2.2435e+004 1.0358e+006 2.0689e+005 4.8033e+005 8.4516e+005 9.2976e+005 1.3497e+006 1.0331e+006 1.8100e+005 7.3409e+004 6.0537e+005 8.4716e+005 5.2894e+005 1.3515e+005 3.2484e+002 4.3473e+004 8.0332e+004 5.8720e+004 2.1162e+004 2.1276e+003 5.9353e+002 3.2851e+003 3.5396e+003 1.9316e+003 5.3277e+002 2.6888e+001 3.7291e+001 1.1482e+002 1.0975e+002 5.9493e+001 1.8927e+001 2.4377e+000 4.0299e-002 9.6475e-001 1.1559e+000 6.6618e-001 2.2352e-001 3.9845e-002 2.3189e-003 7.6116e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 4.2956e+000 2.1396e+006 1.3605e+004 3.4769e+002 3.1354e+003 4.9165e+004 9.4413e+003 4.3076e+003 1.0166e+004 9.1622e+004 2.2745e+002 4.7958e+003 4.1337e+005 1.2388e+005 3.5878e+005 4.5349e+005 3.6279e+005 6.8045e+005 1.0257e+006 7.4644e+005 1.8889e+005 1.3335e+004 3.1202e+005 5.4311e+005 4.1967e+005 1.5440e+005 1.1238e+004 1.2193e+004 4.5908e+004 4.6879e+004 2.4479e+004 5.9159e+003 7.9692e+001 1.0889e+003 2.3280e+003 1.9525e+003 9.2183e+002 2.1740e+002 4.8937e+000 2.8979e+001 6.9487e+001 6.4288e+001 3.6089e+001 1.2795e+001 2.2810e+000 1.7040e-002 3.1657e-001 5.5135e-001 3.9698e-001 1.6937e-001 4.3158e-002 5.2089e-003 9.3623e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 6.5505e-001 1.8695e+005 1.0975e+006 1.9570e+002 3.7426e+005 3.5470e+005 1.3638e+003 3.1050e+005 1.6386e+005 1.9366e+004 1.5127e+005 1.1168e+005 2.4693e+004 1.6308e+005 9.4302e+003 2.4021e+005 1.1276e+004 2.3858e+005 1.3075e+005 3.4439e+005 7.4579e+004 3.3762e+004 4.1294e+004 7.4080e+004 1.5680e+005 6.4312e+004 2.9971e+004 9.5463e-002 3.3454e+003 1.4116e+004 8.5668e+003 5.5352e+003 6.9944e+002 1.2147e+001 3.9353e+002 4.8006e+002 4.8394e+002 1.8152e+002 5.3840e+001 5.2211e-001 5.6290e+000 1.6401e+001 1.4785e+001 8.8153e+000 3.4604e+000 7.2226e-001 3.2037e-002 3.6612e-002 1.0500e-001 8.9836e-002 4.5236e-002 1.4806e-002 2.8012e-003 1.9891e-004 9.6373e-008 0.0000e+000 0.0000e+000
          11 4.5291e-001 2.0846e+005 5.7571e+005 1.4389e+002 4.3761e+004 2.3512e+004 9.5680e+002 1.1355e+003 1.5603e+004 9.7944e+003 2.4234e+004 3.1235e+004 9.6064e+004 1.2584e+004 2.1194e+005 4.5906e+003 2.2513e+005 3.4980e+003 4.0740e+005 4.2401e+004 3.0183e+005 3.5892e+003 7.2500e+003 1.7805e+005 2.9495e+004 1.5023e+005 2.0374e+003 1.5633e+004 1.6210e+004 8.2886e+002 2.0144e+004 6.2518e+002 4.3278e+003 4.1606e+002 4.6274e+001 1.2261e+003 6.1875e+001 4.9164e+002 1.8121e+000 3.9946e+001 2.1856e+001 1.3087e+000 2.4018e+001 3.5122e+000 6.1367e+000 3.5382e-001 2.7750e-001 4.5710e-002 3.6523e-002 8.7396e-002 4.0005e-002 1.6632e-002 4.1710e-003 4.6283e-004 1.0067e-005 0.0000e+000 0.0000e+000
          12 3.0704e-001 1.6739e+005 2.1859e+005 9.4502e+001 7.5539e+003 1.2654e+004 6.5468e+002 4.9202e+004 9.5183e+004 5.5174e+003 8.1215e+004 5.7812e+004 8.1562e+004 1.7217e+004 1.4292e+005 9.4362e+003 1.0509e+005 2.4266e+004 1.5812e+005 1.2316e+005 8.7970e+004 3.5131e+004 1.4234e+004 1.4356e+004 1.3839e+005 1.5325e+004 7.1405e+004 5.6929e+003 7.1799e+003 3.5424e+004 6.6248e+002 2.4981e+004 2.7689e+003 7.1619e+003 5.5324e+003 1.5459e+003 4.0393e+003 6.3808e+002 1.4786e+003 4.7748e+002 3.3415e+002 2.9373e+002 6.2686e+001 1.1183e+002 1.5049e+001 2.4657e+001 5.0310e+000 2.9149e+000 1.5088e+000 1.3688e-001 2.5893e-001 2.9814e-004 1.5871e-002 2.0041e-004 7.4002e-005 1.5323e-008 0.0000e+000
          13 2.1226e-001 1.1516e+005 6.8441e+004 5.9848e+001 5.2558e+004 4.1880e+004 4.5238e+002 7.5054e+004 8.4739e+004 3.6821e+003 5.0602e+004 2.1831e+004 4.4940e+004 5.3596e+002 5.0433e+004 3.4461e+004 2.3254e+004 6.3802e+004 4.5682e+004 1.7395e+005 2.6584e+004 6.9947e+004 2.1436e+004 2.4913e+003 1.1052e+005 1.4836e+004 4.3327e+004 3.0360e-002 7.5910e+001 5.1633e+003 5.7823e+003 1.1412e+003 4.4682e+003 1.0977e+003 1.9576e+003 4.4693e+003 1.5725e+003 4.2515e+003 1.8793e+003 2.4642e+003 1.7743e+003 1.2005e+003 1.1433e+003 5.6014e+002 5.1486e+002 2.3908e+002 1.6803e+002 8.2877e+001 3.9568e+001 1.9733e+001 5.9885e+000 2.5188e+000 4.0766e-001 9.3884e-002 3.4613e-003 4.8661e-005 0.0000e+000
          14 1.4718e-001 7.4386e+004 1.8010e+004 3.7488e+001 7.4722e+004 4.4715e+004 3.1167e+002 6.1007e+004 4.9488e+004 2.6304e+003 1.9834e+004 3.5901e+003 2.2386e+004 2.9531e+003 1.4954e+004 4.8791e+004 3.9769e+003 7.1329e+004 1.8086e+004 1.4779e+005 1.7337e+004 5.4462e+004 8.5656e+003 4.6648e+003 5.4825e+004 2.6600e+004 1.5024e+004 4.9384e+003 2.4144e+003 4.6615e+000 1.2963e+004 7.3946e+001 7.5671e+003 1.7799e+003 1.8445e+003 2.4146e+003 2.6678e+002 8.9925e+002 1.3534e+001 2.6185e+001 2.4513e+001 1.4290e+002 1.5212e+002 3.6116e+002 2.7459e+002 3.5744e+002 2.6856e+002 2.2720e+002 1.6107e+002 9.7096e+001 5.7185e+001 2.4103e+001 9.4922e+000 2.1593e+000 3.1037e-001 8.9788e-003 0.0000e+000
