   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23
           0 1.1225e+003 1.0167e+003 1.1068e+003 2.9191e+002 2.0152e+003 2.5477e+004 7.6086e+004 9.0449e+004 4.0159e+004 4.2922e+003 1.5305e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 7.0505e+006 3.4277e+005 6.8505e+003 1.0797e+002 3.2728e-001 3.9545e-005 2.2357e+001 7.8642e+001 7.0979e+001 1.7318e+001 4.9141e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 8.4775e+004 2.9550e+005 1.5101e+005 4.9419e+004 6.3119e+003 2.8690e+003 8.0571e+003 8.9053e+002 4.0405e+004 5.5942e+004 1.4224e+004 2.8169e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 5.4873e+005 4.5976e+006 6.1195e+005 1.6546e+004 3.5065e+001 9.3318e+001 2.2694e+003 7.7550e+002 2.7387e+003 1.1186e+004 5.6591e+003 3.4064e+002 1.5631e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 3.4552e+004 1.1071e+006 4.5747e+005 4.1486e+005 7.0716e+004 2.3513e+003 1.0938e+003 1.2264e+004 6.8783e+003 7.6743e+003 3.8775e+004 1.5707e+004 4.7225e+002 9.3142e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 1.3822e+004 7.9693e+005 2.3973e+006 3.0406e+005 4.8763e+003 9.6696e+003 9.4676e+001 1.1039e+003 1.3098e+004 3.4306e+003 1.3622e+004 3.0817e+004 5.8667e+003 2.4550e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 2.1824e+003 1.4796e+005 1.8858e+006 2.3529e+005 3.0415e+005 1.6039e+004 4.2369e+001 1.3738e+003 7.9663e+001 1.5840e+004 4.5212e+003 1.8391e+004 3.2939e+004 3.8801e+003 1.3487e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 5.8689e+002 3.0711e+004 9.3667e+005 1.6474e+006 1.2084e+005 4.7118e+004 1.4760e+004 8.5276e+002 4.5459e+003 2.1365e+002 1.4927e+004 4.0873e+003 1.9927e+004 2.6869e+004 1.8249e+003 1.8132e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 1.2790e+002 6.4098e+003 2.3963e+005 1.8523e+006 1.7373e+005 2.0834e+005 1.1730e+002 2.4013e+003 2.4585e+002 6.6757e+003 1.6022e+003 1.4261e+004 4.4697e+003 2.1159e+004 2.3260e+004 9.4747e+002 4.5096e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 2.1153e+001 1.9805e+003 4.6852e+004 1.0248e+006 1.1247e+006 4.7011e+004 7.1343e+004 8.3255e+003 1.4941e+002 3.2113e+002 5.8414e+003 4.0850e+003 1.1887e+004 5.2984e+003 1.9379e+004 1.9175e+004 5.1612e+002 2.8078e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
