   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34
           0 1.0359e+006 1.0641e+006 6.0823e+004 1.6326e+004 2.6281e+004 4.5767e+003 1.7129e+002 1.5799e+003 8.8624e+002 1.1020e+002 6.0294e+000 4.0492e+001 2.3653e+001 4.5878e+000 1.7896e-001 6.7213e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 2.0250e+006 8.9006e+005 8.2980e+005 4.6160e+004 1.0767e+004 1.9952e+004 4.7363e+003 1.0910e+000 9.5065e+002 8.0830e+002 1.9000e+002 1.4424e+000 2.0550e+001 2.3441e+001 8.4455e+000 1.1083e+000 1.8322e-002 3.7115e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 4.3978e+005 1.6493e+006 5.5165e+005 7.7560e+005 7.7728e+004 2.3738e+003 1.7337e+004 8.3520e+003 7.4333e+002 2.0140e+002 7.1174e+002 4.4405e+002 1.0113e+002 1.7713e+000 8.1089e+000 1.1817e+001 5.4589e+000 1.0898e+000 6.4642e-002 7.1363e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 3.3117e+003 4.4829e+005 1.4860e+006 4.6503e+005 7.6440e+005 9.6762e+004 5.5137e+002 1.7461e+004 1.1809e+004 2.1119e+003 1.2936e+001 6.4989e+002 6.6747e+002 2.6954e+002 3.9577e+001 1.3943e-001 9.6254e+000 1.0059e+001 4.4776e+000 1.0065e+000 8.8496e-002 6.5471e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.3786e+005 3.2536e+003 6.3468e+005 1.3944e+006 3.7670e+005 6.9350e+005 1.0077e+005 3.0360e+000 1.3521e+004 1.2035e+004 3.3491e+003 9.3189e+001 3.0159e+002 5.9056e+002 3.7968e+002 1.1980e+002 1.2690e+001 7.7399e-001 6.6506e+000 6.4487e+000 3.1514e+000 9.0811e-001 1.3885e-001 6.7716e-003 7.8735e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 9.3076e+004 6.7196e+004 5.3259e+004 7.4076e+005 1.2005e+006 2.8813e+005 6.3415e+005 1.1119e+005 1.3185e+003 9.0438e+003 1.2001e+004 5.0878e+003 6.6820e+002 3.3693e+001 3.8975e+002 4.2871e+002 2.3241e+002 7.0653e+001 8.5053e+000 1.5457e-001 3.2527e+000 3.9579e+000 2.5050e+000 1.0668e+000 3.1860e-001 6.4382e-002 7.2994e-003 2.2167e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 4.4808e+003 7.6873e+004 2.4856e+004 1.0937e+005 7.5774e+005 1.0275e+006 2.3824e+005 6.0041e+005 1.1963e+005 3.8902e+003 6.1177e+003 1.1748e+004 6.6906e+003 1.6136e+003 3.5613e+001 1.8215e+002 3.9630e+002 3.2826e+002 1.6410e+002 5.1709e+001 8.0431e+000 1.3169e-002 1.4692e+000 2.5642e+000 2.1940e+000 1.3584e+000 6.8796e-001 3.0598e-001 1.2665e-001 5.1142e-002 2.0927e-002 8.9980e-003 4.2106e-003 2.1084e-003 1.0737e-003
           7 1.9807e+004 1.5995e+004 8.5064e+004 7.7673e+003 1.7128e+005 7.8298e+005 9.0208e+005 2.0055e+005 5.5863e+005 1.2044e+005 6.7630e+003 3.7009e+003 1.0520e+004 7.5664e+003 2.6163e+003 2.9702e+002 2.9660e+001 2.6375e+002 3.3428e+002 2.3848e+002 1.1794e+002 4.1405e+001 9.0618e+000 5.9933e-001 2.2190e-001 1.0396e+000 1.3188e+000 1.1297e+000 7.9777e-001 4.9875e-001 2.8392e-001 1.5221e-001 8.1437e-002 4.4090e-002 2.3463e-002
           8 4.8206e+004 2.2379e+003 5.2657e+004 8.0140e+004 1.3992e+002 2.5335e+005 7.8860e+005 7.7245e+005 1.6367e+005 5.1522e+005 1.1880e+005 1.0228e+004 1.6888e+003 8.5069e+003 7.7240e+003 3.5676e+003 8.1444e+002 2.0788e+001 9.3061e+001 2.3979e+002 2.4900e+002 1.7473e+002 9.4013e+001 4.0752e+001 1.4011e+001 3.5768e+000 5.1119e-001 2.2654e-003 7.5641e-002 1.4688e-001 1.3757e-001 9.4816e-002 5.7822e-002 3.3579e-002 1.8557e-002
           9 3.0149e+004 2.2948e+004 6.2720e+003 7.5785e+004 4.7566e+004 1.4059e+004 3.2144e+005 7.5497e+005 6.4894e+005 1.3381e+005 4.7903e+005 1.1701e+005 1.4288e+004 4.3569e+002 6.4156e+003 7.4673e+003 4.4302e+003 1.5493e+003 2.4094e+002 1.0593e+000 1.0485e+002 1.9031e+002 1.8806e+002 1.3969e+002 8.6343e+001 4.7183e+001 2.3469e+001 1.0927e+001 4.9005e+000 2.1626e+000 9.5526e-001 4.3349e-001 2.0974e-001 1.0711e-001 5.5150e-002
