   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50
           0 7.8955e-001 2.3719e-011 1.9881e-009 1.9583e-001 1.0887e-011 1.4602e-007 1.4354e-002 3.9638e-007 1.4739e-007 2.2542e-004 4.2822e-006 4.1792e-006 2.7575e-006 1.1784e-007 6.3888e-007 3.8253e-007 4.0226e-008 6.8703e-010 6.0608e-009 2.7406e-009 6.6825e-010 4.3903e-010 6.4429e-010 5.5949e-010 1.4862e-010 4.9399e-012 1.2037e-010 1.0345e-010 4.5342e-012 5.2802e-011 1.5318e-010 1.0911e-010 4.8205e-012 8.4558e-011 3.9253e-010 7.0412e-010 7.7731e-010 5.7998e-010 2.7677e-010 5.7847e-011 1.0818e-012 6.1748e-011 1.4648e-010 1.8838e-010 1.7329e-010 1.2387e-010 7.0457e-011 3.1385e-011 1.0361e-011 2.2004e-012 2.1238e-013
           1 1.7319e-001 3.4892e-009 7.3773e-008 4.5159e-001 4.1508e-007 9.2810e-006 3.3507e-001 7.5061e-008 1.4832e-004 3.9121e-002 2.7886e-004 6.4838e-006 2.0071e-004 1.8050e-004 1.0942e-004 2.6481e-005 1.1656e-008 3.3393e-006 3.1398e-006 8.0346e-007 6.1630e-009 1.1733e-007 1.5707e-007 5.9548e-008 2.4997e-009 7.1100e-009 1.6500e-008 1.0157e-008 1.6395e-009 2.4261e-010 2.0992e-009 2.1239e-009 6.1651e-010 1.8557e-011 8.3908e-010 1.7499e-009 1.7135e-009 9.3680e-010 2.1347e-010 1.9959e-012 1.8758e-010 4.1720e-010 4.6610e-010 3.4080e-010 1.6514e-010 4.2988e-011 9.1963e-013 9.8466e-012 2.9912e-011 3.7687e-011 2.8025e-011
           2 3.0659e-002 1.9511e-007 2.1993e-006 2.5167e-001 1.6004e-005 9.7401e-005 2.2626e-001 2.5068e-004 3.6408e-003 4.2785e-001 3.7506e-004 7.8790e-003 4.1454e-002 7.7473e-003 1.0453e-003 4.5233e-005 5.0138e-004 3.6963e-004 9.2609e-005 9.6652e-007 1.0414e-005 1.3068e-005 4.5691e-006 2.0597e-007 3.4248e-007 7.5012e-007 4.2467e-007 7.1285e-008 3.7192e-009 5.6771e-008 7.2610e-008 4.2265e-008 1.0784e-008 5.1817e-011 3.7173e-009 8.8068e-009 9.1007e-009 5.6138e-009 1.8523e-009 8.4120e-011 3.9077e-010 1.5812e-009 2.4487e-009 2.4821e-009 1.8495e-009 1.0178e-009 3.7435e-010 5.8339e-011 2.5404e-012 5.4363e-011 7.9636e-011
           3 5.3392e-003 7.4494e-006 5.8617e-005 7.5306e-002 2.5490e-004 8.1407e-004 2.4801e-001 3.2012e-003 1.1613e-002 1.1557e-001 1.6096e-002 1.4229e-001 3.2019e-001 1.1390e-002 7.9941e-003 2.5221e-002 1.2877e-002 2.0890e-003 2.0020e-005 6.9192e-004 6.2726e-004 1.9102e-004 6.6001e-006 1.6491e-005 3.2622e-005 1.7906e-005 3.0317e-006 1.0496e-007 1.9313e-006 2.3056e-006 1.1482e-006 1.9208e-007 1.1264e-008 1.8789e-007 2.8449e-007 2.1443e-007 9.0721e-008 1.3931e-008 1.4740e-009 2.0775e-008 3.7930e-008 3.9273e-008 2.8326e-008 1.4484e-008 4.5211e-009 3.4313e-010 4.0446e-010 2.1405e-009 3.5907e-009 3.8539e-009 2.7570e-009
           4 9.8952e-004 1.6347e-004 9.2732e-004 1.9016e-002 3.0100e-003 7.5262e-003 1.1746e-001 1.4601e-002 2.3070e-002 1.6809e-001 8.2214e-002 1.4071e-001 2.1531e-002 8.6798e-002 1.7906e-001 9.3918e-002 4.0332e-003 7.7352e-003 1.6875e-002 9.1253e-003 1.4324e-003 4.2991e-005 7.0519e-004 6.9085e-004 2.5203e-004 1.8550e-005 1.2679e-005 4.3932e-005 3.6304e-005 1.2999e-005 9.1876e-007 9.6109e-007 3.6493e-006 3.8368e-006 2.1033e-006 5.3032e-007 2.8932e-009 1.8237e-007 4.5095e-007 5.0118e-007 3.5945e-007 1.7279e-007 4.6214e-008 1.4035e-009 9.2787e-009 3.2694e-008 4.8791e-008 5.1141e-008 4.3150e-008 3.0457e-008 1.6703e-008
           5 2.0468e-004 2.5678e-003 9.6318e-003 4.4958e-003 2.1891e-002 3.8320e-002 3.8638e-002 5.7783e-002 8.0065e-002 1.3386e-001 4.6553e-002 3.7786e-003 1.6789e-001 1.2468e-001 1.1834e-002 4.0808e-002 1.0830e-001 7.0117e-002 1.2903e-002 7.4333e-004 9.4023e-003 9.6364e-003 3.7709e-003 3.2692e-004 1.5158e-004 6.0556e-004 5.2009e-004 1.9500e-004 1.7900e-005 7.9163e-006 3.7325e-005 3.9027e-005 2.0256e-005 4.5427e-006 1.1039e-009 1.8226e-006 3.7781e-006 3.6064e-006 2.1237e-006 7.2926e-007 7.1023e-008 3.9916e-008 2.5267e-007 4.1825e-007 4.3915e-007 3.4986e-007 2.2451e-007 1.1719e-007 4.8861e-008 1.5418e-008 3.3653e-009
           6 4.7314e-005 2.7529e-002 5.9262e-002 1.5325e-003 8.4300e-002 9.2789e-002 1.2773e-002 7.9976e-002 4.8357e-002 6.6632e-002 3.4047e-002 1.2810e-002 2.5271e-002 4.6451e-002 1.2509e-001 8.2077e-002 3.6587e-004 4.1018e-002 8.0881e-002 4.9937e-002 9.4935e-003 2.3849e-004 6.0092e-003 7.4939e-003 3.8298e-003 7.1935e-004 5.0048e-006 3.3651e-004 4.8109e-004 2.9850e-004 8.6853e-005 3.2438e-006 1.1035e-005 3.1644e-005 3.1734e-005 1.8014e-005 5.4113e-006 2.6614e-007 6.8843e-007 2.5426e-006 3.3432e-006 2.7812e-006 1.6242e-006 6.3347e-007 1.1505e-007 9.5924e-010 8.3424e-008 1.8977e-007 2.3839e-007 2.1726e-007 1.4074e-007
           7 1.2322e-005 1.8899e-001 1.4561e-001 1.9489e-004 9.8712e-002 3.8389e-002 4.4116e-003 5.5633e-003 1.3832e-003 1.6822e-002 2.5409e-002 6.2775e-002 3.2556e-002 1.8676e-004 1.4986e-002 1.0067e-001 9.5335e-002 1.9616e-002 5.2765e-003 4.5312e-002 5.3533e-002 2.5832e-002 3.4680e-003 6.3160e-004 4.6536e-003 5.2145e-003 2.6905e-003 5.6472e-004 1.6963e-008 2.0658e-004 3.5588e-004 2.6886e-004 1.0984e-004 1.6383e-005 1.1304e-006 1.6833e-005 2.6383e-005 2.1940e-005 1.1554e-005 3.4479e-006 2.0439e-007 3.6800e-007 1.5792e-006 2.3511e-006 2.3129e-006 1.7401e-006 1.0475e-006 5.0233e-007 1.8382e-007 4.5842e-008 6.1459e-009
           8 3.5159e-006 5.6622e-001 1.6274e-004 9.3986e-005 3.1078e-004 4.3089e-002 1.3562e-003 2.7849e-002 3.4182e-002 5.7776e-003 3.7523e-003 5.8226e-003 4.7778e-002 1.5047e-003 2.8457e-004 1.6870e-002 6.2991e-002 6.5549e-002 2.0633e-002 6.3523e-004 2.2239e-002 3.5024e-002 2.2547e-002 5.6665e-003 1.1118e-005 1.8324e-003 3.4276e-003 2.5713e-003 9.7547e-004 1.1362e-004 2.3958e-005 1.7494e-004 2.2257e-004 1.4868e-004 5.6929e-005 7.9593e-006 8.4492e-007 1.0365e-005 1.6690e-005 1.4852e-005 8.9331e-006 3.5821e-006 6.9300e-007 2.0046e-009 4.5331e-007 1.0813e-006 1.3825e-006 1.2962e-006 9.9091e-007 6.4015e-007 3.2727e-007
           9 4.5999e-007 2.0798e-002 2.3547e-001 4.9428e-005 7.0739e-002 9.3815e-002 1.2953e-004 1.2515e-001 3.9608e-002 4.2441e-003 9.8370e-002 4.2955e-002 1.9971e-003 5.9356e-002 2.5489e-002 3.5095e-002 4.2061e-003 6.5430e-002 6.7821e-004 2.0373e-002 1.8235e-002 1.1018e-004 2.3594e-002 8.6262e-005 5.8323e-003 2.6833e-003 2.6140e-004 3.1930e-003 2.6015e-005 1.0207e-003 1.7324e-004 9.5300e-005 2.5422e-004 1.4357e-006 1.1978e-004 1.3886e-006 1.8728e-005 7.3058e-006 4.3500e-008 7.8281e-006 1.2231e-006 2.6719e-006 8.2932e-007 1.2473e-007 4.0115e-008 4.6349e-008 1.9098e-007 1.8023e-007 1.7406e-007 1.7180e-007 1.1752e-007
