   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50
           0 9.3556e-001 7.2947e-015 2.1240e-010 6.4121e-002 1.8697e-009 9.0419e-012 2.9838e-004 3.8755e-008 1.1365e-007 8.1626e-006 1.4821e-009 8.4513e-008 2.3467e-007 1.1386e-008 8.6539e-010 1.7269e-009 7.6689e-011 1.7568e-009 1.1947e-009 1.1329e-011 4.2247e-010 4.2595e-010 8.6088e-014 6.4413e-010 1.7076e-009 1.6515e-009 6.5362e-010 1.5834e-011 2.3705e-010 7.1301e-010 8.0469e-010 5.0381e-010 1.6607e-010 1.3885e-011 4.8028e-012 1.3970e-011 1.8244e-012 1.2314e-011 8.1335e-011 1.8367e-010 2.5702e-010 2.5676e-010 1.8737e-010 9.2590e-011 2.1265e-011 2.7860e-013 2.6081e-011 7.4305e-011 1.1571e-010 1.2749e-010 9.5472e-011
           1 5.9141e-002 1.8186e-010 9.9314e-009 8.1953e-001 7.3033e-010 1.1254e-006 1.2071e-001 4.3620e-006 2.3212e-007 3.7458e-004 1.7034e-005 4.1711e-005 7.3183e-005 2.9916e-006 1.3475e-007 8.4023e-007 3.8936e-007 6.4235e-008 1.2994e-009 1.5420e-009 1.2790e-009 9.1352e-011 2.0518e-010 8.0607e-010 9.5137e-010 4.8701e-010 2.5714e-011 2.0691e-010 8.8140e-010 1.3083e-009 1.0777e-009 4.9268e-010 7.7623e-011 7.6125e-012 8.9223e-011 1.0687e-010 4.1562e-011 3.9677e-015 4.5938e-011 1.3834e-010 1.9452e-010 1.7339e-010 9.9527e-011 2.8553e-011 9.7315e-014 1.7799e-011 5.8585e-011 9.4277e-011 1.0777e-010 9.5695e-011 6.1678e-011
           2 4.7900e-003 4.7604e-009 8.1157e-008 1.0121e-001 1.2338e-006 2.1299e-005 7.2962e-001 1.5544e-008 5.4005e-004 1.6098e-001 1.4938e-003 5.0994e-004 1.2627e-005 2.4704e-004 3.5592e-004 1.8762e-004 2.3972e-005 1.7188e-008 3.2137e-006 2.2827e-006 3.9249e-007 3.5985e-009 1.1093e-007 8.1016e-008 1.0799e-008 3.2014e-009 1.6339e-008 1.2436e-008 2.1770e-009 5.0706e-010 4.4115e-009 5.7393e-009 3.2801e-009 6.4672e-010 2.8583e-011 6.5145e-010 1.0158e-009 6.9413e-010 1.8948e-010 2.7621e-013 1.5210e-010 3.7423e-010 4.4541e-010 3.4442e-010 1.7767e-010 5.1080e-011 2.0083e-012 8.8614e-012 3.2058e-011 4.3898e-011 3.4601e-011
           3 4.4599e-004 1.5800e-007 1.9395e-006 1.3107e-002 1.2852e-005 6.0586e-005 1.2082e-001 5.5491e-004 6.0436e-003 6.8571e-001 3.9026e-004 2.0812e-002 1.1627e-001 2.6692e-002 7.1226e-003 4.2908e-004 3.5567e-004 7.1398e-004 3.7072e-004 6.4074e-005 1.8352e-008 8.7388e-006 7.8560e-006 1.8799e-006 1.6147e-009 4.1176e-007 5.0317e-007 1.8904e-007 7.9980e-009 2.5802e-008 6.9116e-008 5.7806e-008 2.1707e-008 1.3765e-009 2.8255e-009 1.1251e-008 1.4483e-008 1.0931e-008 5.0714e-009 1.0561e-009 5.4974e-012 7.7415e-010 1.7607e-009 2.0769e-009 1.6892e-009 1.0023e-009 4.1133e-010 8.7813e-011 3.6187e-013 2.5604e-011 4.7891e-011
           4 5.1877e-005 3.4605e-006 3.1681e-005 1.6084e-003 1.6108e-004 6.2330e-004 2.4372e-002 1.8107e-003 4.2880e-003 9.3054e-002 3.8541e-002 2.1936e-001 4.6776e-001 1.3223e-002 2.0747e-002 6.2474e-002 3.8412e-002 1.0706e-002 6.5354e-004 3.7968e-004 9.8443e-004 5.8380e-004 1.2852e-004 1.0302e-006 1.6517e-005 2.2315e-005 9.2692e-006 7.8305e-007 4.5760e-007 1.7517e-006 1.5013e-006 5.3699e-007 2.9270e-008 6.4621e-008 2.1745e-007 2.3290e-007 1.3534e-007 3.8448e-008 7.1855e-010 1.0716e-008 3.2703e-008 4.2967e-008 3.7708e-008 2.4452e-008 1.1565e-008 3.4215e-009 2.6582e-010 2.3664e-010 1.2538e-009 1.9303e-009 1.6343e-009
           5 7.4072e-006 5.5450e-005 3.8482e-004 2.3937e-004 1.4853e-003 4.2518e-003 3.1791e-003 1.0412e-002 2.4199e-002 4.2692e-002 2.9237e-002 2.3732e-002 6.2634e-002 2.2979e-001 3.1005e-001 1.4818e-001 4.3894e-003 1.9720e-002 4.3953e-002 2.9741e-002 8.6594e-003 4.9430e-004 3.8900e-004 1.0708e-003 7.3209e-004 2.0871e-004 8.6162e-006 1.5820e-005 3.7817e-005 2.6205e-005 7.4719e-006 1.5146e-007 1.4055e-006 3.3413e-006 2.9612e-006 1.3944e-006 2.6007e-007 6.0827e-009 2.2449e-007 4.2960e-007 4.3152e-007 2.8853e-007 1.2808e-007 2.8903e-008 4.9420e-011 1.2927e-008 3.5483e-008 4.9061e-008 4.9293e-008 3.9403e-008 2.3547e-008
           6 1.1263e-006 6.5434e-004 3.4282e-003 5.5588e-005 9.9669e-003 2.1358e-002 8.0945e-004 3.7264e-002 5.4592e-002 3.4826e-003 7.6822e-002 8.0287e-002 4.6323e-003 1.0961e-002 1.1312e-002 1.7182e-001 2.5072e-001 1.5014e-001 2.9706e-002 1.3491e-003 2.4167e-002 3.1217e-002 1.7916e-002 4.7164e-003 1.6196e-004 4.1308e-004 9.5886e-004 7.0777e-004 2.4914e-004 2.4366e-005 6.7471e-006 3.6757e-005 3.9047e-005 2.0419e-005 4.6563e-006 3.4591e-009 1.7873e-006 3.8046e-006 3.7089e-006 2.2459e-006 8.1206e-007 9.6677e-008 2.6753e-008 2.2875e-007 4.0443e-007 4.4348e-007 3.7107e-007 2.5444e-007 1.4773e-007 7.3158e-008 2.9332e-008
           7 2.5269e-007 5.9559e-003 2.1511e-002 1.8371e-007 4.3874e-002 6.5622e-002 1.1244e-004 7.7851e-002 7.3203e-002 7.3036e-004 4.5345e-002 3.5049e-003 4.2238e-002 1.3328e-002 8.5342e-004 6.6731e-004 2.3851e-002 1.2936e-001 2.0392e-001 1.4021e-001 3.8753e-002 2.3051e-004 1.1929e-002 2.4457e-002 1.9906e-002 8.7117e-003 1.6510e-003 6.7949e-009 4.9558e-004 8.0122e-004 5.6266e-004 2.1131e-004 2.7843e-005 2.4604e-006 2.7651e-005 3.8247e-005 2.7548e-005 1.1626e-005 2.0452e-006 4.4699e-008 1.6976e-006 3.3413e-006 3.5585e-006 2.6574e-006 1.4621e-006 5.5844e-007 1.0881e-007 1.6251e-011 4.4967e-008 1.0102e-007 9.6776e-008
           8 7.8437e-008 3.7807e-002 8.3451e-002 3.4911e-005 1.0423e-001 9.0748e-002 2.3538e-005 5.4242e-002 1.6572e-002 1.9148e-003 1.7829e-004 1.1298e-002 5.5424e-004 2.9280e-002 3.8020e-002 2.8901e-003 3.8429e-003 5.5922e-006 3.2626e-002 1.2226e-001 1.6317e-001 1.1192e-001 3.5532e-002 1.0602e-003 6.6585e-003 1.8153e-002 1.8021e-002 1.0138e-002 3.1336e-003 2.6143e-004 1.1586e-004 5.5759e-004 6.3724e-004 4.0130e-004 1.4661e-004 1.9867e-005 1.6472e-006 2.1221e-005 3.3088e-005 2.8391e-005 1.6137e-005 5.7476e-006 7.6705e-007 1.0318e-007 1.2464e-006 2.3409e-006 2.6867e-006 2.3617e-006 1.7255e-006 1.0735e-006 5.3142e-007
           9 2.2488e-008 1.5078e-001 1.5624e-001 1.8289e-005 8.0501e-002 1.6315e-002 2.3059e-005 5.6411e-004 1.8955e-002 9.2483e-006 3.7050e-002 2.2750e-002 4.5214e-003 9.2202e-003 5.2416e-003 3.2493e-002 9.9046e-003 5.1170e-004 2.1416e-003 3.6336e-003 4.9113e-002 1.1600e-001 1.3004e-001 8.0400e-002 2.3654e-002 5.4283e-004 5.1895e-003 1.4102e-002 1.4861e-002 9.3376e-003 3.5667e-003 5.8845e-004 5.3265e-006 3.1187e-004 5.2919e-004 4.5273e-004 2.4708e-004 8.1344e-005 8.8817e-006 2.1778e-006 1.6958e-005 2.6537e-005 2.4929e-005 1.6915e-005 8.5077e-006 2.9147e-006 4.5140e-007 1.0205e-008 3.4920e-007 6.6145e-007 5.9622e-007
