   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30
           0 9.9718e-001 2.6628e-003 1.3633e-004 1.9601e-005 1.4467e-007 9.7701e-007 6.4874e-007 2.2056e-007 8.0144e-010 4.3147e-008 3.9267e-008 1.6391e-008 5.7840e-009 5.5740e-010 1.0928e-009 4.9740e-009 5.6111e-009 2.9960e-009 7.7522e-010 4.6098e-011 2.2659e-011 7.9693e-011 8.5570e-011 6.9230e-011 5.2657e-011 3.9307e-011 2.7422e-011 1.6837e-011 9.2509e-012 4.9192e-012 2.5434e-012
           1 2.5456e-003 9.9088e-001 6.3833e-003 1.5774e-004 2.8937e-005 6.9245e-007 8.2810e-007 8.3922e-007 4.6420e-007 2.7549e-008 1.5482e-008 2.7590e-008 2.8075e-008 2.3095e-008 7.1264e-009 6.7986e-012 3.3187e-009 4.6166e-009 2.8696e-009 1.3337e-009 6.8527e-010 4.7645e-010 3.8093e-010 2.8375e-010 1.7814e-010 9.3488e-011 4.2455e-011 1.7737e-011 7.4493e-012 3.3723e-012 1.5939e-012
           2 2.2892e-004 6.0024e-003 9.8328e-001 1.0291e-002 1.4564e-004 4.1350e-005 2.8085e-006 3.8520e-007 7.7820e-007 8.8820e-007 1.5621e-007 4.8373e-010 3.6947e-009 1.9702e-008 4.4287e-008 3.0827e-008 5.2174e-009 1.1878e-010 1.5915e-009 1.2209e-009 6.2247e-010 5.2940e-010 7.5624e-010 1.0667e-009 1.1978e-009 1.0634e-009 7.6705e-010 4.6115e-010 2.4677e-010 1.2887e-010 6.5931e-011
           3 4.2872e-005 3.7231e-004 9.5672e-003 9.7460e-001 1.5235e-002 1.2190e-004 5.2775e-005 5.8057e-006 3.8912e-008 7.7436e-007 1.1450e-006 3.4679e-007 6.4299e-008 5.6625e-009 1.3012e-008 4.8207e-008 3.7142e-008 1.3321e-008 3.8387e-009 1.5858e-009 7.2445e-010 9.8222e-011 1.0035e-010 7.0528e-010 1.2814e-009 1.4112e-009 1.1411e-009 7.3077e-010 4.0437e-010 2.1486e-010 1.1091e-010
           4 2.6577e-006 7.1396e-005 5.0253e-004 1.4072e-002 9.6377e-001 2.1427e-002 8.5792e-005 5.9605e-005 9.4768e-006 4.5887e-008 4.5620e-007 1.3350e-006 5.3944e-007 1.8172e-007 6.6825e-008 1.2064e-010 3.0066e-008 3.8419e-008 1.9547e-008 9.5268e-009 7.3570e-009 6.6285e-009 4.6029e-009 2.1168e-009 5.5879e-010 4.6849e-011 6.4566e-012 3.4111e-011 3.3834e-011 2.2894e-011 1.3231e-011
           5 3.9510e-008 7.9561e-006 1.0552e-004 6.8076e-004 1.9677e-002 9.5048e-001 2.8922e-002 4.7069e-005 6.3338e-005 1.3285e-005 5.7490e-007 2.3173e-007 1.1200e-006 7.0270e-007 4.0845e-007 1.7345e-007 1.7749e-008 2.3834e-009 1.0958e-008 1.3291e-008 1.5975e-008 1.8081e-008 1.6259e-008 1.1451e-008 6.5963e-009 3.3091e-009 1.5277e-009 6.7555e-010 3.0105e-010 1.4222e-010 6.8990e-011
           6 8.2084e-007 8.3490e-008 1.8135e-005 1.4098e-004 9.1573e-004 2.6397e-002 9.3444e-001 3.7981e-002 1.5916e-005 6.4139e-005 1.7299e-005 1.5533e-006 1.9234e-008 9.1935e-007 7.4003e-007 5.7714e-007 3.5480e-007 9.3266e-008 7.3394e-009 3.1521e-011 1.8334e-009 6.0754e-009 1.2038e-008 1.5619e-008 1.4671e-008 1.0961e-008 6.9165e-009 3.8092e-009 1.9395e-009 9.8658e-010 4.9788e-010
           7 3.2736e-007 6.3093e-007 1.4019e-006 3.1352e-005 1.7349e-004 1.2402e-003 3.4412e-002 9.1516e-001 4.8890e-002 3.7380e-007 6.2111e-005 2.0922e-005 2.8692e-006 7.3623e-008 6.5354e-007 6.4622e-007 6.4545e-007 5.5722e-007 2.3177e-007 5.2566e-008 1.1901e-008 3.8871e-009 4.8479e-010 4.9800e-010 3.2151e-009 5.2509e-009 5.0568e-009 3.5157e-009 2.0216e-009 1.0940e-009 5.6981e-010
           8 2.9027e-008 4.5446e-007 2.5002e-007 4.4564e-006 4.6538e-005 2.0979e-004 1.7136e-003 4.3883e-002 8.9217e-001 6.1868e-002 1.1162e-005 5.7891e-005 2.3583e-005 4.6425e-006 4.0853e-007 2.7861e-007 4.7001e-007 6.5717e-007 6.6629e-007 3.6424e-007 1.4726e-007 6.8947e-008 3.8378e-008 1.9042e-008 6.7586e-009 1.4676e-009 1.3050e-010 6.6262e-013 1.9446e-011 2.1263e-011 1.4611e-011
           9 1.7360e-011 1.6982e-007 4.8647e-007 1.1884e-009 8.8195e-006 6.1510e-005 2.5592e-004 2.4017e-003 5.4858e-002 8.6509e-001 7.7172e-002 6.2717e-005 5.1906e-005 2.5356e-005 6.6531e-006 1.0312e-006 3.4665e-008 2.5527e-007 5.6081e-007 6.7221e-007 4.5707e-007 2.5921e-007 1.5953e-007 1.0485e-007 6.4874e-008 3.6034e-008 1.8192e-008 8.5761e-009 3.9735e-009 1.9182e-009 9.4134e-010
