   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32
           0 9.5849e-001 5.8320e-007 4.5460e-007 4.1296e-002 1.4812e-004 1.3604e-005 2.8265e-005 2.7998e-007 7.8721e-006 9.6648e-006 1.8666e-006 1.4607e-008 7.8589e-008 7.7856e-008 2.0642e-008 1.0068e-009 6.0070e-010 1.5155e-009 9.6364e-010 2.2037e-010 4.5746e-012 2.6059e-010 6.3102e-010 7.9597e-010 6.6471e-010 3.7035e-010 1.1237e-010 3.4057e-012 2.9656e-011 1.0732e-010 1.5965e-010 1.5514e-010 9.5572e-011
           1 3.8076e-002 3.9579e-006 6.5725e-005 8.8756e-001 2.0542e-003 2.6916e-004 5.2647e-002 1.5952e-002 2.4042e-003 8.4072e-004 7.6461e-006 5.3696e-005 5.4470e-005 1.5548e-005 5.1540e-007 7.7247e-007 1.3373e-006 5.8805e-007 5.8833e-008 1.7340e-008 8.3644e-008 7.7597e-008 3.2369e-008 3.7766e-009 1.2581e-009 8.9996e-009 1.3882e-008 1.2903e-008 8.7056e-009 4.4603e-009 1.6834e-009 4.1794e-010 5.2447e-011
           2 3.0977e-003 6.0205e-005 4.5436e-004 5.5906e-002 4.4283e-003 2.1354e-002 7.2847e-001 1.1766e-001 3.6110e-004 2.7829e-002 2.7765e-002 1.0067e-002 2.1182e-003 5.1991e-005 1.1200e-004 1.6791e-004 7.3991e-005 9.8274e-006 5.3886e-007 5.9259e-006 6.2572e-006 2.9752e-006 5.4931e-007 5.3998e-009 3.2902e-007 5.8789e-007 5.3955e-007 3.3020e-007 1.3672e-007 3.1448e-008 8.3806e-010 3.8294e-009 7.6905e-009
           3 2.7894e-004 9.7779e-004 4.8186e-003 1.1697e-002 1.2523e-002 3.0396e-002 2.9711e-003 1.2686e-001 2.7243e-001 3.9200e-001 9.0461e-002 8.3857e-005 1.5949e-002 2.2674e-002 1.1917e-002 3.0503e-003 1.8668e-004 8.9694e-005 2.8279e-004 2.1389e-004 7.6165e-005 8.1159e-006 1.7013e-006 1.1571e-005 1.4727e-005 1.0526e-005 4.8500e-006 1.2525e-006 5.0279e-008 1.5407e-007 5.3299e-007 6.8185e-007 4.7776e-007
           4 4.4494e-005 1.1184e-002 3.3651e-002 1.4322e-004 6.2659e-002 8.9639e-002 4.6164e-002 4.0038e-002 2.3120e-002 4.7024e-002 2.4161e-001 2.3161e-001 1.1569e-001 1.7980e-002 9.1414e-004 1.1884e-002 1.4335e-002 8.4455e-003 2.7374e-003 3.3099e-004 1.5353e-005 2.0406e-004 2.5935e-004 1.7119e-004 6.8042e-005 1.2591e-005 3.7096e-009 5.4226e-006 1.1550e-005 1.2862e-005 1.0397e-005 6.6713e-006 3.1165e-006
           5 8.3124e-006 8.1296e-002 1.2609e-001 1.1223e-003 1.1828e-001 7.3315e-002 1.0595e-003 3.8897e-002 6.8432e-004 8.5861e-003 6.4949e-004 6.2535e-002 1.7303e-001 1.7818e-001 8.7478e-002 1.8916e-002 5.4818e-005 5.0686e-003 9.7666e-003 8.2923e-003 4.3788e-003 1.4397e-003 2.0343e-004 3.3324e-006 1.0910e-004 1.7672e-004 1.5550e-004 9.6027e-005 4.3484e-005 1.3439e-005 1.9919e-006 8.2209e-010 3.7780e-007
           6 1.5447e-006 2.9899e-001 1.3751e-001 2.1303e-005 2.5393e-002 1.0092e-003 7.6981e-003 1.7875e-002 4.4353e-002 7.1838e-003 9.7740e-003 5.1527e-003 1.1563e-002 8.7008e-002 1.3925e-001 1.1478e-001 5.5716e-002 1.2889e-002 1.1495e-004 2.9205e-003 6.6296e-003 6.6262e-003 4.3317e-003 1.9859e-003 5.8778e-004 6.7811e-005 6.2666e-006 7.1522e-005 1.1541e-004 1.1265e-004 8.3603e-005 5.0488e-005 2.2661e-005
           7 4.6115e-007 4.1916e-001 2.3799e-003 1.6351e-004 6.0234e-002 6.5506e-002 7.0088e-004 2.1428e-002 7.8776e-004 2.8732e-002 4.4335e-003 5.7695e-003 7.1167e-003 1.9283e-003 4.2693e-002 9.7736e-002 1.0970e-001 7.4765e-002 3.0960e-002 5.8834e-003 1.2688e-006 2.4641e-003 5.0308e-003 5.1794e-003 3.7095e-003 2.0032e-003 8.0734e-004 2.1285e-004 1.8954e-005 5.1746e-006 3.3920e-005 4.8223e-005 3.4942e-005
           8 2.3294e-007 1.7825e-001 3.4673e-001 2.5433e-005 2.4692e-002 3.2677e-003 1.2657e-002 2.4005e-002 2.6095e-002 1.7950e-003 2.8130e-002 5.8656e-003 2.7836e-003 7.1426e-003 2.8262e-005 2.0950e-002 6.6984e-002 9.2803e-002 7.8419e-002 4.4194e-002 1.5661e-002 2.2237e-003 1.3206e-004 2.2408e-003 3.9604e-003 4.0623e-003 3.0957e-003 1.8926e-003 9.4548e-004 3.7930e-004 1.1394e-004 2.1568e-005 1.6210e-006
           9 1.2928e-007 7.2966e-003 3.2687e-001 1.1331e-003 2.5965e-001 2.6605e-002 8.0227e-004 7.2016e-003 1.6664e-002 1.0501e-002 7.7644e-003 2.4547e-002 4.9696e-003 2.3744e-003 6.8008e-003 1.7844e-004 1.1386e-002 4.6084e-002 7.3213e-002 7.1610e-002 4.8797e-002 2.3275e-002 6.7425e-003 5.0957e-004 3.9976e-004 2.0324e-003 3.0888e-003 3.0992e-003 2.4450e-003 1.6241e-003 9.3461e-004 4.6888e-004 1.8480e-004
