   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
           0 2.9087e-001 3.0785e-001 2.0371e-001 1.0850e-001 5.1035e-002 2.2305e-002 9.3449e-003 3.8184e-003 1.5366e-003 6.1405e-004 2.4616e-004 1.0002e-004 4.1398e-005 1.7401e-005 7.3752e-006 3.1441e-006 1.3617e-006 6.1322e-007 2.9456e-007 1.5219e-007 8.2840e-008 4.5503e-008 2.4054e-008 1.1782e-008 5.2367e-009 2.1243e-009 8.3129e-010 3.5950e-010 2.0592e-010 1.6424e-010 1.5634e-010 1.4673e-010 1.1985e-010 7.7969e-011 3.5398e-011 7.2558e-012 2.4708e-013 1.0423e-011 2.7052e-011 3.8491e-011 3.6510e-011 1.9786e-011 6.4107e-012
           1 1.7524e-005 5.1729e-004 5.7216e-003 3.3807e-002 1.1583e-001 2.3885e-001 2.9561e-001 2.1268e-001 8.2067e-002 1.4166e-002 6.2632e-004 2.5579e-006 1.8510e-006 7.1754e-008 6.8482e-009 5.4888e-008 1.0762e-008 2.6727e-010 4.3984e-009 4.8789e-009 9.0876e-010 3.5215e-009 3.5218e-010 1.8423e-009 3.4746e-010 1.0418e-009 8.8332e-010 1.5866e-010 1.2993e-009 3.6197e-010 1.6647e-010 7.6791e-010 3.0783e-010 1.1620e-011 3.1106e-010 3.1799e-010 6.0649e-011 1.8115e-011 1.4653e-010 1.9769e-010 1.3755e-010 5.5091e-011 1.5544e-011
           2 1.4226e-004 2.5864e-003 1.9967e-002 7.7299e-002 1.4303e-001 9.8936e-002 1.0923e-003 1.0777e-001 2.8017e-001 2.0972e-001 5.5937e-002 3.5325e-003 7.4380e-006 1.1793e-005 7.8945e-007 4.1436e-009 1.0146e-007 5.0264e-009 3.6335e-009 6.8136e-011 6.5287e-009 1.0188e-009 2.5277e-009 6.6531e-010 7.0130e-010 6.4219e-010 6.9236e-010 3.2267e-010 1.4501e-009 1.8522e-010 3.5313e-010 6.3583e-010 5.7565e-011 1.2731e-010 2.3121e-010 2.5786e-011 7.0841e-011 2.5975e-010 2.4675e-010 1.0607e-010 1.9398e-011 9.7655e-013 1.4158e-014
           3 4.0784e-001 1.4174e-002 5.4507e-002 1.4736e-001 1.4564e-001 1.0376e-001 6.3493e-002 3.2400e-002 1.5935e-002 8.6123e-003 3.1204e-003 1.8112e-003 7.3704e-004 3.2517e-004 1.6124e-004 6.9780e-005 3.2651e-005 1.6502e-005 7.4571e-006 3.4375e-006 1.9013e-006 1.0373e-006 4.7117e-007 2.1413e-007 1.3043e-007 9.1730e-008 5.1807e-008 2.0479e-008 7.1312e-009 4.1798e-009 4.5055e-009 4.5957e-009 3.0353e-009 1.0862e-009 1.4363e-010 6.5146e-016 3.4360e-012 7.6496e-012 7.7518e-011 1.6074e-010 1.6786e-010 9.0776e-011 2.9081e-011
           4 2.9082e-004 8.2657e-003 4.2268e-002 9.7740e-002 9.1406e-002 3.2845e-003 5.7576e-002 9.3963e-002 1.0765e-004 1.7345e-001 2.9814e-001 1.2248e-001 1.0819e-002 1.2864e-005 3.9188e-005 2.6564e-006 6.6530e-008 3.5686e-007 3.1217e-010 1.6874e-008 1.9127e-010 5.8077e-009 5.3977e-009 3.3360e-009 1.6953e-009 4.0451e-010 1.5170e-009 3.3338e-010 1.3384e-009 1.6343e-009 9.2118e-012 1.2666e-009 7.9643e-010 4.1215e-017 3.2062e-010 1.9312e-010 6.2862e-012 2.7171e-010 4.2049e-010 2.5977e-010 8.0561e-011 1.3431e-011 2.2032e-012
           5 2.5826e-003 2.3086e-002 6.3206e-002 9.0701e-002 2.7667e-002 2.0339e-002 6.7014e-002 2.6170e-003 7.7371e-002 4.1504e-002 5.4836e-002 3.0987e-001 1.9595e-001 2.3107e-002 1.7543e-005 9.2755e-005 7.2060e-006 2.4442e-007 8.8734e-007 7.2524e-008 5.4761e-008 3.4343e-011 9.6306e-010 9.1220e-009 1.1698e-009 1.4549e-009 8.1835e-011 1.7223e-009 8.9984e-012 1.5446e-009 2.2263e-010 7.8283e-010 1.4039e-009 1.9484e-010 9.9621e-011 1.7368e-010 3.7216e-014 2.1561e-010 4.0761e-010 2.7992e-010 9.5923e-011 1.8239e-011 3.3247e-012
           6 2.4319e-001 2.2266e-001 8.1438e-002 5.1141e-003 2.3253e-002 1.1431e-001 9.8258e-002 5.5316e-002 6.1397e-002 4.9020e-002 8.7374e-003 2.4869e-003 2.9866e-002 7.4420e-004 2.9378e-003 7.5454e-004 2.5340e-004 1.2936e-004 6.8557e-005 3.9631e-005 1.8822e-005 1.0091e-005 5.4889e-006 2.5909e-006 1.4246e-006 9.1128e-007 4.9077e-007 2.3588e-007 1.4650e-007 1.1247e-007 7.2301e-008 3.4247e-008 1.5646e-008 1.0876e-008 1.0594e-008 9.2445e-009 5.7986e-009 2.5490e-009 8.6069e-010 2.8603e-010 1.2286e-010 5.2293e-011 1.6288e-011
           7 1.4046e-003 1.3922e-002 1.4054e-001 4.5214e-002 5.1972e-004 2.4127e-002 4.7036e-002 5.0221e-002 2.3957e-002 4.1624e-003 1.0152e-001 7.5779e-003 2.3698e-001 2.6836e-001 3.4034e-002 8.5913e-006 3.4468e-004 6.2566e-005 4.4467e-006 4.1140e-007 5.8857e-007 4.5065e-007 5.0509e-007 2.7252e-007 1.0620e-007 8.3426e-008 5.2212e-008 1.7753e-008 1.0660e-008 1.2936e-008 8.6947e-009 2.1319e-009 3.1439e-010 4.1270e-010 9.5388e-010 8.3771e-010 2.2796e-010 1.3944e-012 2.3610e-011 1.2895e-011 6.7880e-016 3.0867e-012 1.8600e-012
           8 6.8419e-003 1.0645e-001 1.4361e-001 3.5013e-004 1.4714e-002 2.1512e-002 7.2731e-004 8.2052e-002 6.8188e-003 2.4086e-002 3.9204e-003 9.3715e-002 1.1777e-005 1.8311e-001 2.7704e-001 3.4567e-002 4.6869e-006 4.1718e-004 1.1335e-004 1.3579e-005 1.3328e-006 1.2443e-006 6.8709e-007 8.8473e-007 6.3309e-007 2.2539e-007 1.6339e-007 1.3607e-007 4.8694e-008 1.5323e-008 1.9453e-008 2.3977e-008 1.1192e-008 1.7135e-009 3.5908e-010 1.2597e-009 2.9481e-009 2.7683e-009 1.1797e-009 2.0327e-010 3.5401e-012 3.7646e-012 2.5818e-012
           9 3.6720e-002 2.3924e-001 2.7715e-002 1.6473e-001 1.1132e-003 7.4907e-003 5.5501e-004 3.2307e-002 1.2003e-001 4.5949e-002 1.4172e-004 7.8126e-003 7.7046e-002 2.0948e-002 9.8336e-002 1.1765e-001 1.5425e-003 1.5267e-008 2.8137e-004 2.2478e-004 1.0019e-004 3.7471e-005 1.8796e-005 8.8553e-006 5.4331e-006 3.5120e-006 1.8008e-006 1.0410e-006 7.2750e-007 4.2273e-007 2.0773e-007 1.3197e-007 1.1232e-007 8.4524e-008 4.7061e-008 2.2956e-008 1.4178e-008 1.2294e-008 1.1254e-008 8.6639e-009 5.1744e-009 2.0754e-009 5.9793e-010
