   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11
           0 9.3615e-001 5.9777e-002 3.7792e-003 2.6908e-004 2.2750e-005 3.0116e-006 5.1151e-007 4.4787e-008 2.9771e-008 1.5686e-008 8.6709e-009 4.5752e-009
           1 6.2734e-002 8.0144e-001 1.2036e-001 1.3671e-002 1.5572e-003 1.9060e-004 3.0747e-005 3.0091e-006 2.0835e-006 1.1423e-006 6.5008e-007 3.4984e-007
           2 1.1146e-003 1.3513e-001 6.5651e-001 1.6998e-001 3.0285e-002 5.4654e-003 1.0175e-003 9.8790e-005 6.7886e-005 3.6932e-005 2.0899e-005 1.1204e-005
           3 7.0062e-007 3.6447e-003 2.1146e-001 5.0662e-001 2.0701e-001 5.0484e-002 1.2378e-002 1.4111e-003 1.0036e-003 5.6218e-004 3.2437e-004 1.7605e-004
           4 4.3010e-007 3.9136e-008 7.8520e-003 2.8931e-001 3.2953e-001 2.3588e-001 7.4988e-002 9.2267e-003 6.6595e-003 3.7768e-003 2.1973e-003 1.1989e-003
           5 4.4246e-010 2.2535e-007 1.4567e-005 1.9427e-002 3.7232e-001 1.2400e-001 1.9292e-001 3.3570e-002 2.5569e-002 1.5115e-002 9.0230e-003 5.0008e-003
           6 3.0128e-009 1.2181e-006 1.4800e-005 5.8762e-004 5.3531e-002 4.1155e-001 1.1782e-004 1.1557e-002 1.2222e-002 9.1228e-003 6.2508e-003 3.7593e-003
           7 1.9489e-008 6.7337e-009 4.1027e-006 1.3465e-004 4.8807e-003 1.3631e-001 2.5415e-001 4.0070e-002 2.6782e-002 1.3690e-002 7.2680e-003 3.7023e-003
           8 2.0241e-009 2.4944e-007 1.3458e-006 3.7308e-006 8.0117e-004 2.8936e-002 2.4871e-001 2.1165e-004 6.4808e-004 1.9224e-003 2.1172e-003 1.5899e-003
           9 8.9973e-009 1.2974e-008 2.1546e-008 1.4174e-006 3.3271e-005 6.3306e-003 1.3118e-001 2.4539e-002 2.8981e-002 2.1581e-002 1.4262e-002 8.2796e-003
          10 2.0374e-011 8.6290e-009 8.6333e-008 6.8818e-007 3.5331e-007 7.7128e-004 5.7823e-002 7.2210e-002 5.6157e-002 2.9933e-002 1.5690e-002 7.7891e-003
          11 2.4267e-009 4.3322e-009 1.0484e-007 4.0139e-008 1.7669e-006 9.4080e-005 1.9414e-002 1.2043e-001 6.0321e-002 1.9827e-002 6.6718e-003 2.2639e-003
          12 1.0736e-009 1.6728e-009 4.1767e-008 9.9222e-008 4.5239e-007 1.4471e-005 6.0183e-003 1.8520e-001 3.2113e-002 1.2372e-003 3.0763e-004 1.0101e-003
