   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17
           0 9.9928e-001 7.2434e-004 3.4880e-007 1.1476e-009 1.4433e-009 1.5969e-008 8.0481e-011 2.1529e-012 2.3018e-010 5.0184e-012 4.4198e-010 9.0882e-010 5.1323e-010 7.8286e-011 4.4493e-012 5.1861e-011 5.4612e-011 1.8986e-011
           1 7.2407e-004 9.9730e-001 1.9722e-003 1.8815e-006 2.8615e-007 6.9625e-008 1.7648e-009 1.2212e-011 4.4671e-010 6.3483e-009 4.5416e-009 1.5982e-011 2.2994e-009 3.8226e-009 2.3447e-009 7.7408e-010 1.5059e-010 1.8006e-011
           2 3.4638e-007 1.9709e-003 9.9363e-001 4.3959e-003 3.8985e-007 2.0823e-006 7.0419e-008 2.2392e-008 9.2341e-008 1.8213e-008 1.0204e-008 3.2242e-008 1.3551e-008 4.9848e-010 1.2615e-009 2.6214e-009 1.8056e-009 5.2798e-010
           3 1.9882e-010 2.2375e-006 4.3567e-003 9.8509e-001 1.0547e-002 7.6903e-008 8.8021e-008 2.2778e-006 5.2530e-007 4.0548e-008 2.4434e-007 1.1437e-007 9.2892e-009 3.8801e-009 1.5270e-008 1.5269e-008 8.9128e-009 2.5295e-009
           4 5.1370e-009 2.9900e-007 3.4109e-005 1.0242e-002 9.6493e-001 2.4726e-002 5.1339e-005 7.6368e-006 1.1163e-007 2.2463e-006 1.7872e-006 1.9408e-007 4.6307e-008 2.1769e-007 2.1327e-007 1.2431e-007 5.1152e-008 1.2001e-008
           5 1.3514e-009 7.1431e-008 5.4586e-006 2.5327e-004 2.3668e-002 9.2498e-001 5.0293e-002 7.8723e-004 1.3269e-007 5.5466e-006 1.3950e-006 4.5341e-008 1.0193e-006 1.3084e-006 7.3932e-007 2.2374e-007 3.5273e-008 2.9456e-009
           6 2.3188e-008 1.4452e-008 5.5771e-008 1.4569e-005 8.3216e-004 4.7978e-002 8.4559e-001 1.0159e-001 3.9309e-003 5.2968e-005 2.3852e-008 1.2838e-007 5.9181e-007 6.1921e-007 1.4292e-007 2.3900e-009 5.9727e-008 3.3960e-008
           7 1.1533e-009 7.0158e-008 3.6402e-007 1.2381e-006 9.9285e-006 2.2140e-003 9.3587e-002 6.7655e-001 2.0659e-001 2.0358e-002 6.8825e-004 2.8633e-007 7.5118e-007 8.9513e-009 2.6978e-008 1.6809e-009 1.6818e-008 8.0532e-009
           8 8.1043e-009 9.0529e-011 2.7789e-008 4.2123e-007 2.3689e-006 8.1937e-005 9.4828e-003 1.8296e-001 4.2313e-001 3.1123e-001 6.6282e-002 6.5867e-003 2.4351e-004 4.1416e-008 2.3073e-006 4.1514e-007 1.4218e-008 1.1719e-010
           9 3.7258e-011 5.2376e-009 1.3942e-008 3.7606e-007 1.3624e-006 9.5927e-006 9.3550e-004 3.4103e-002 2.7574e-001 1.8919e-001 3.3312e-001 1.3413e-001 2.8687e-002 3.7752e-003 2.8778e-004 5.9231e-006 9.5377e-007 8.1575e-007
          10 1.8130e-009 1.4937e-010 4.6248e-009 8.4930e-009 2.7481e-007 3.4807e-006 4.9067e-005 3.8789e-003 8.0177e-002 3.2147e-001 4.8200e-002 2.6571e-001 1.8521e-001 6.9768e-002 1.9280e-002 4.5701e-003 1.0202e-003 1.7828e-004
          11 9.8261e-012 9.3485e-011 1.0900e-009 1.3022e-007 1.4078e-006 2.3727e-006 7.9785e-007 1.0251e-004 1.0261e-002 1.3812e-001 3.1594e-001 6.7656e-004 1.5432e-001 1.8249e-001 1.0758e-001 4.7327e-002 1.7387e-002 4.0252e-003
          12 1.0460e-009 1.3319e-009 2.9494e-009 7.7066e-008 6.8002e-008 1.4429e-007 2.2874e-006 9.1075e-006 1.4327e-004 1.9371e-002 2.0415e-001 2.7250e-001 1.7837e-002 5.2887e-002 1.1999e-001 1.0068e-001 5.4042e-002 1.4908e-002
          13 8.5797e-010 1.8904e-009 8.3566e-009 4.0618e-011 1.6422e-007 9.8469e-007 1.2556e-006 6.8522e-007 2.5095e-005 1.6278e-004 3.1402e-002 2.7233e-001 2.0177e-001 6.2346e-002 2.7385e-003 3.8456e-002 4.1527e-002 1.4707e-002
          14 2.1351e-011 1.8049e-010 2.7700e-009 2.1216e-008 1.9108e-007 6.1928e-007 7.0599e-009 1.6565e-006 9.8419e-007 3.9496e-005 1.3929e-004 4.7866e-002 3.4075e-001 1.1703e-001 9.7232e-002 1.1641e-002 1.7801e-004 9.7932e-004
          15 2.7969e-010 2.8519e-010 1.6278e-011 1.6221e-008 5.9887e-008 6.7079e-008 2.9620e-007 1.0542e-006 3.5859e-007 6.4808e-006 3.9372e-005 1.2873e-004 7.0944e-002 4.0289e-001 3.7610e-002 8.8217e-002 3.6807e-002 7.4976e-003
          16 5.9935e-010 8.0227e-010 1.1414e-009 3.7582e-009 5.0764e-009 4.1374e-008 4.1683e-007 8.7153e-009 1.7924e-006 1.2217e-007 1.4914e-005 2.5848e-005 2.0040e-004 1.0816e-001 4.3689e-001 4.5125e-007 2.8420e-002 1.2723e-002
