   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27
           0 9.8977e-001 1.0166e-002 5.2265e-005 6.1489e-006 4.3177e-006 2.8890e-007 1.7747e-008 3.9963e-010 1.0548e-008 1.0331e-009 3.1174e-009 2.2112e-009 1.4292e-010 1.8975e-009 8.8375e-010 3.6463e-012 5.3375e-010 6.5528e-010 2.5383e-010 1.3857e-011 2.7054e-011 8.9111e-011 1.0187e-010 7.7845e-011 4.7272e-011 2.4570e-011 1.1290e-011 4.4236e-012
           1 9.8491e-003 9.2017e-001 6.5709e-002 4.2496e-003 1.6426e-006 1.5641e-005 1.0151e-005 1.7414e-008 4.4252e-007 1.5310e-008 1.4306e-007 1.2374e-008 1.5990e-008 2.3222e-008 4.4817e-009 2.5162e-010 3.1415e-009 3.6120e-009 2.0274e-009 5.8404e-010 2.5997e-011 7.7557e-011 2.9053e-010 4.2481e-010 4.3620e-010 3.6363e-010 2.5373e-010 1.3655e-010
           2 2.7274e-004 5.4695e-002 5.1983e-001 3.9409e-001 3.0993e-002 5.2015e-005 4.1600e-006 5.0977e-005 1.2753e-005 1.2104e-006 2.3909e-006 1.8217e-008 5.2410e-007 3.8729e-007 1.5246e-008 6.4170e-008 1.1919e-007 5.5887e-008 4.8705e-009 3.6081e-009 1.5638e-008 1.8790e-008 1.4279e-008 8.3722e-009 4.0778e-009 1.7026e-009 6.1838e-010 1.9319e-010
           3 8.5236e-005 1.0209e-002 2.4535e-001 1.6922e-001 4.6901e-001 1.0350e-001 2.3263e-003 1.9372e-004 1.0132e-006 8.2680e-005 1.6232e-005 2.4443e-006 7.1039e-006 1.0315e-006 4.1174e-007 1.3744e-006 6.8151e-007 5.0125e-008 5.1732e-008 1.8010e-007 1.8354e-007 1.1387e-007 4.9901e-008 1.5211e-008 2.4267e-009 2.9434e-012 5.1227e-010 7.5549e-010
           4 1.7986e-005 4.0146e-003 1.2413e-001 2.5782e-001 6.6629e-002 3.6857e-001 1.6421e-001 1.4257e-002 3.1916e-005 1.7608e-004 1.5657e-005 8.5720e-005 1.9311e-005 1.3436e-006 9.4427e-006 4.4216e-006 1.5267e-007 5.9613e-007 1.3130e-006 9.9348e-007 4.1349e-007 8.4270e-008 5.4439e-010 2.1012e-008 5.3615e-008 6.6635e-008 5.8177e-008 3.5513e-008
           5 1.0291e-006 7.0970e-004 4.1432e-002 1.4398e-001 2.5719e-001 4.3430e-002 2.9695e-001 1.8321e-001 3.2056e-002 5.7325e-004 2.7712e-004 4.9711e-005 3.4050e-005 6.7751e-005 1.6511e-005 1.4806e-007 6.0913e-006 6.0703e-006 2.2241e-006 1.7627e-007 1.2436e-007 5.7165e-007 7.6597e-007 6.8402e-007 4.9276e-007 3.0848e-007 1.7108e-007 7.8424e-008
           6 3.5358e-007 9.2247e-007 2.7971e-003 2.9453e-002 1.5345e-001 2.9906e-001 3.1594e-002 2.3929e-001 1.8946e-001 5.0878e-002 3.5779e-003 7.1353e-005 2.1314e-004 4.1458e-006 4.2809e-005 5.4200e-005 1.7292e-005 3.7443e-007 2.5862e-006 5.5698e-006 4.6055e-006 2.3323e-006 7.6195e-007 1.2354e-007 8.0965e-014 3.9722e-008 7.5503e-008 6.2356e-008
           7 2.8318e-007 3.0358e-005 4.3977e-004 2.5288e-005 2.0970e-002 1.7003e-001 3.2672e-001 2.7067e-002 1.9525e-001 1.8218e-001 6.7059e-002 9.6613e-003 1.0943e-004 2.2855e-004 1.0522e-004 2.2445e-008 3.5546e-005 4.4419e-005 2.1632e-005 4.2088e-006 1.6301e-010 1.5083e-006 2.9820e-006 3.1377e-006 2.5071e-006 1.7020e-006 1.0099e-006 4.8675e-007
           8 7.2769e-009 1.3035e-007 1.6290e-004 1.0063e-003 6.2482e-004 1.1832e-002 1.6875e-001 3.6465e-001 2.4801e-002 1.6018e-001 1.6914e-001 7.9244e-002 1.7903e-002 1.2839e-003 4.8906e-005 1.9892e-004 5.4236e-005 1.5537e-007 2.3548e-005 3.5838e-005 2.6039e-005 1.2162e-005 3.7126e-006 5.5212e-007 6.8070e-010 1.9922e-007 3.5686e-007 2.8779e-007
           9 2.0808e-008 3.1853e-006 6.7653e-005 6.1810e-006 8.0450e-004 2.6836e-003 4.5509e-003 1.6493e-001 3.9823e-001 2.4323e-002 1.3268e-001 1.5347e-001 8.6377e-002 2.7152e-002 4.2108e-003 8.6098e-005 1.1907e-004 1.4542e-004 4.3062e-005 6.6760e-007 8.5564e-006 2.0662e-005 2.2298e-005 1.7424e-005 1.1404e-005 6.6506e-006 3.5070e-006 1.5577e-006
