   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
           0 1.0951e-001 2.9729e-001 3.2717e-001 1.8977e-001 6.2912e-002 1.2012e-002 1.2506e-003 6.0399e-005 7.8147e-007 6.1703e-009 1.4165e-008 1.5827e-008 5.2701e-009 1.0738e-009 3.0138e-009 7.3447e-010 5.8359e-010 1.1798e-009 3.1616e-010 1.4934e-012 2.8662e-011
           1 1.9064e-001 1.5646e-001 4.8560e-006 1.6004e-001 2.7721e-001 1.6396e-001 4.5369e-002 6.0261e-003 3.2875e-004 3.8187e-006 2.4055e-008 6.5298e-009 4.8036e-009 4.8601e-009 3.0243e-010 1.5135e-009 9.8919e-011 8.4319e-010 2.5235e-010 8.7836e-014 3.1245e-011
           2 1.9957e-001 1.7916e-002 1.0081e-001 9.7341e-002 1.0755e-002 2.1259e-001 2.4533e-001 9.8377e-002 1.6342e-002 9.6705e-004 7.8003e-006 2.6580e-007 1.5610e-008 8.8773e-009 1.1247e-008 1.5943e-010 4.2134e-009 4.9266e-011 1.0947e-009 1.0387e-009 3.3596e-010
           3 1.6502e-001 6.8413e-003 1.1224e-001 7.2021e-004 1.2790e-001 2.2397e-002 9.6200e-002 2.7283e-001 1.6092e-001 3.2864e-002 2.0076e-003 6.9731e-006 1.3276e-006 2.7071e-011 1.2685e-009 9.1593e-010 2.5869e-010 9.3016e-011 2.4481e-011 4.1842e-011 1.0487e-011
           4 1.1967e-001 4.7096e-002 4.2732e-002 5.8888e-002 4.1802e-002 5.5752e-002 8.9482e-002 1.7518e-002 2.4802e-001 2.2133e-001 5.4510e-002 3.2030e-003 1.6657e-007 4.4472e-006 5.1934e-008 1.9992e-011 9.8311e-009 5.5366e-011 1.2417e-009 4.1000e-010 1.4905e-011
           5 8.0267e-002 7.8303e-002 2.4704e-003 8.1523e-002 1.4513e-003 8.6451e-002 3.0468e-003 1.1709e-001 1.0261e-003 1.9346e-001 2.7217e-001 7.8759e-002 3.9794e-003 2.4798e-005 8.2705e-006 6.9514e-007 2.9999e-008 1.6746e-008 8.2434e-009 3.8054e-011 3.6335e-010
           6 5.1387e-002 8.6394e-002 6.3586e-003 4.7942e-002 3.9158e-002 2.0680e-002 6.5937e-002 1.2006e-002 9.2422e-002 2.5897e-002 1.3388e-001 3.1211e-001 1.0202e-001 3.6118e-003 1.9649e-004 4.8092e-006 3.3402e-006 4.4428e-007 4.7713e-009 4.1182e-009 2.4974e-009
           7 3.2026e-002 7.8292e-002 2.7582e-002 1.2460e-002 6.0396e-002 1.4915e-003 5.7318e-002 2.0854e-002 4.8234e-002 4.7486e-002 6.0925e-002 8.5438e-002 3.4525e-001 1.1973e-001 1.8323e-003 6.4670e-004 3.6010e-006 4.0941e-006 2.6570e-006 6.4333e-007 1.0832e-007
           8 1.9683e-002 6.3477e-002 4.5424e-002 4.3881e-005 4.5775e-002 2.6399e-002 1.1983e-002 5.8149e-002 1.1111e-004 7.0656e-002 1.3093e-002 8.5351e-002 5.3926e-002 3.7875e-001 1.2586e-001 4.2840e-005 1.1593e-003 1.2174e-004 1.5695e-006 1.3716e-006 1.3448e-006
           9 1.2037e-002 4.8102e-002 5.3293e-002 5.9028e-003 2.0557e-002 4.4491e-002 9.3555e-004 3.9424e-002 3.0108e-002 1.1085e-002 6.6113e-002 2.5937e-004 9.2878e-002 3.8474e-002 4.1969e-001 1.1266e-001 2.5691e-003 8.2017e-004 4.7076e-004 1.0317e-004 1.7016e-005
          10 7.3712e-003 3.4950e-002 5.2542e-002 1.8021e-002 4.1060e-003 4.0531e-002 1.6829e-002 8.5918e-003 4.6568e-002 5.1886e-003 3.3198e-002 4.4684e-002 4.0381e-003 8.6477e-002 3.7242e-002 4.7039e-001 7.3515e-002 1.4656e-002 4.9161e-005 2.9596e-004 2.0968e-004
          11 4.5416e-003 2.4747e-002 4.6715e-002 2.8300e-002 4.9524e-005 2.5075e-002 3.1446e-002 2.4651e-004 2.9131e-002 3.0006e-002 9.2728e-004 4.6288e-002 2.1839e-002 1.4199e-002 7.1548e-002 5.3770e-002 5.1739e-001 1.8635e-002 2.7978e-002 5.5308e-003 6.5098e-004
          12 2.8242e-003 1.7261e-002 3.8884e-002 3.3807e-002 3.9457e-003 1.0503e-002 3.3353e-002 9.2748e-003 7.7620e-003 3.6357e-002 9.0616e-003 1.2400e-002 4.4236e-002 6.7977e-003 2.2997e-002 5.1301e-002 1.0446e-001 5.0811e-001 5.8993e-003 1.2378e-002 9.0854e-003
          13 1.7756e-003 1.1943e-002 3.0970e-002 3.4734e-002 1.0395e-002 2.2277e-003 2.5802e-002 2.0049e-002 2.4430e-005 2.3324e-002 2.5322e-002 6.3824e-005 2.5538e-002 3.2252e-002 6.9973e-004 2.7604e-002 2.6548e-002 2.1667e-001 3.5228e-001 9.3163e-002 7.3378e-003
          14 1.1319e-003 8.2507e-003 2.3979e-002 3.2518e-002 1.5936e-002 4.1509e-008 1.5700e-002 2.4481e-002 3.5750e-003 8.4014e-003 2.8006e-002 8.9396e-003 4.5136e-003 3.0743e-002 1.8518e-002 2.1568e-004 2.9086e-002 3.6471e-003 3.8709e-001 6.9562e-002 9.2795e-002
          15 7.3281e-004 5.7167e-003 1.8242e-002 2.8649e-002 1.9236e-002 1.3702e-003 7.5190e-003 2.2575e-002 1.0193e-002 9.1583e-004 1.9795e-002 1.8843e-002 3.6970e-004 1.3833e-002 2.7074e-002 8.4041e-003 1.4706e-003 3.2449e-002 1.2706e-002 4.3446e-001 4.0725e-002
          16 4.7725e-004 3.9417e-003 1.3582e-002 2.3936e-002 2.0019e-002 3.9287e-003 2.5804e-003 1.7246e-002 1.4459e-002 3.7710e-004 9.7769e-003 2.0569e-002 6.0878e-003 2.2419e-003 1.9296e-002 1.8516e-002 2.7952e-003 1.6536e-003 5.3340e-002 1.2069e-001 9.9159e-002
          17 3.1349e-004 2.7145e-003 9.9562e-003 1.9210e-002 1.8842e-002 6.0812e-003 4.5622e-004 1.1522e-002 1.5135e-002 2.7971e-003 3.2381e-003 1.6225e-002 1.1368e-002 1.0955e-004 8.4713e-003 1.8106e-002 1.0127e-002 5.3661e-004 1.2366e-004 1.4073e-001 1.6413e-001
