   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
           0 3.8887e-002 1.6431e-001 2.9049e-001 2.7937e-001 1.5899e-001 5.4872e-002 1.1502e-002 1.4400e-003 9.3888e-005 1.5845e-006 3.3219e-010 8.1907e-009 4.5974e-008 2.2751e-009 1.7007e-009 1.7454e-009 2.5515e-010 1.3452e-009 2.7134e-009 1.5396e-009 4.6776e-010
           1 9.3645e-002 1.8877e-001 7.4382e-002 8.8141e-003 1.6989e-001 2.5428e-001 1.5450e-001 4.7560e-002 7.6539e-003 5.7227e-004 1.1297e-005 2.3216e-009 5.2282e-009 1.6475e-008 1.1236e-009 1.1226e-009 1.3496e-009 3.6348e-010 1.9149e-009 1.2881e-009 4.2700e-010
           2 1.3394e-001 1.0677e-001 1.8219e-003 1.1822e-001 6.2864e-002 1.7164e-002 1.9710e-001 2.3322e-001 1.0552e-001 2.1557e-002 1.7815e-003 2.9490e-005 2.1901e-007 2.7489e-008 8.2147e-009 7.9623e-010 2.9814e-009 3.4687e-009 1.8079e-011 6.2507e-010 6.0136e-010
           3 1.4581e-001 2.8905e-002 5.4926e-002 6.8521e-002 1.1242e-002 1.1823e-001 1.7144e-002 8.2355e-002 2.5216e-001 1.7256e-001 4.4193e-002 3.8639e-003 3.9051e-005 2.3665e-006 4.0337e-008 1.4936e-009 5.2107e-009 1.3720e-009 7.8578e-009 2.9547e-009 3.4554e-010
           4 1.3567e-001 4.7167e-004 8.3480e-002 4.1197e-003 7.5191e-002 2.1502e-002 5.9238e-002 8.3959e-002 9.4597e-003 2.1342e-001 2.3314e-001 7.3906e-002 6.4058e-003 1.6076e-005 1.0509e-005 3.6649e-008 1.1803e-008 1.3093e-008 2.1835e-013 2.4324e-009 1.7067e-009
           5 1.1447e-001 8.7939e-003 6.2950e-002 1.1683e-002 5.9144e-002 1.0509e-002 7.3685e-002 3.5875e-003 1.0902e-001 5.6327e-003 1.4743e-001 2.7812e-001 1.0674e-001 8.2387e-003 1.0995e-005 2.3641e-005 1.7588e-006 5.6374e-009 2.9107e-008 1.2366e-008 1.9924e-009
           6 9.0387e-002 2.9522e-002 2.8279e-002 4.2257e-002 1.3236e-002 5.2415e-002 9.0636e-003 6.3733e-002 1.2859e-002 7.7586e-002 4.0968e-002 8.5157e-002 3.0866e-001 1.3778e-001 7.7806e-003 2.8177e-004 1.7468e-005 9.3928e-006 1.3530e-006 7.0200e-008 9.5278e-012
           7 6.8259e-002 4.7085e-002 5.6569e-003 5.3359e-002 4.9427e-004 5.0238e-002 8.1061e-003 4.6977e-002 1.9450e-002 5.0625e-002 3.0882e-002 7.6843e-002 4.2316e-002 3.3328e-001 1.6100e-001 4.2309e-003 1.1775e-003 6.7705e-006 9.9609e-006 6.8713e-006 2.1835e-006
           8 5.0076e-002 5.6206e-002 7.2943e-005 4.2635e-002 1.5313e-002 2.0424e-002 3.6833e-002 5.0740e-003 5.3976e-002 6.1051e-006 6.8497e-002 3.5877e-003 9.3271e-002 1.9946e-002 3.6376e-001 1.6764e-001 1.8080e-004 2.1846e-003 3.1476e-004 1.4312e-005 4.7509e-009
           9 3.6068e-002 5.7476e-002 5.6175e-003 2.4111e-002 3.1764e-002 1.6021e-003 4.1743e-002 5.0269e-003 3.2280e-002 2.6733e-002 1.5007e-002 5.5966e-002 1.7519e-003 8.9934e-002 1.2109e-002 4.1132e-001 1.4399e-001 4.8866e-003 1.0340e-003 9.4117e-004 2.9457e-004
          10 2.5694e-002 5.3479e-002 1.5020e-002 9.0347e-003 3.6834e-002 2.5317e-003 2.4824e-002 2.4633e-002 4.1356e-003 4.2571e-002 2.9356e-003 3.7672e-002 3.0373e-002 1.3413e-002 7.5143e-002 1.5100e-002 4.7891e-001 7.8557e-002 2.6014e-002 1.2330e-003 7.6618e-006
          11 1.8201e-002 4.6781e-002 2.3476e-002 1.3686e-003 3.1356e-002 1.2907e-002 7.3317e-003 3.2941e-002 2.1587e-003 2.4554e-002 2.6013e-002 2.8514e-003 4.5716e-002 1.0002e-002 2.5510e-002 5.5758e-002 3.7454e-002 5.3384e-001 6.0979e-003 3.1724e-002 1.1529e-002
          12 1.2871e-002 3.9238e-002 2.8922e-002 1.6762e-004 2.1262e-002 2.1956e-002 1.7286e-004 2.5918e-002 1.4555e-002 4.6816e-003 3.3138e-002 5.7182e-003 1.7241e-002 3.7373e-002 1.0695e-003 3.1910e-002 3.3683e-002 1.0925e-001 4.6838e-001 4.4435e-002 1.6960e-005
          13 9.1104e-003 3.1959e-002 3.1108e-002 2.7476e-003 1.1609e-002 2.5206e-002 2.1496e-003 1.3523e-002 2.3409e-002 3.0728e-004 2.0513e-002 2.1515e-002 2.6521e-004 2.8650e-002 2.2608e-002 3.0734e-004 3.2867e-002 1.0102e-002 2.6830e-001 1.7363e-001 1.1740e-001
          14 6.4642e-003 2.5480e-002 3.0632e-002 6.5932e-003 4.8292e-003 2.3179e-002 7.7371e-003 4.1613e-003 2.3088e-002 6.4837e-003 6.2487e-003 2.5498e-002 5.6538e-003 7.8874e-003 2.9335e-002 1.0422e-002 2.1517e-003 3.3951e-002 2.8771e-003 4.0306e-001 9.4734e-003
          15 4.5948e-003 1.9961e-002 2.8299e-002 1.0024e-002 1.2325e-003 1.8287e-002 1.2527e-002 2.8192e-004 1.6902e-002 1.3372e-002 2.2663e-004 1.7966e-002 1.5472e-002 1.2148e-005 1.6822e-002 2.2081e-002 3.5301e-003 2.5831e-003 4.9569e-002 8.3719e-002 1.3157e-001
          16 3.2608e-003 1.5359e-002 2.4808e-002 1.2169e-002 4.6570e-005 1.2788e-002 1.4648e-002 4.4020e-004 9.7327e-003 1.6039e-002 1.2215e-003 8.3550e-003 1.8339e-002 3.5293e-003 4.4058e-003 1.9316e-002 1.3124e-002 7.9781e-004 4.5569e-004 1.2619e-001 1.4435e-001
          17 2.3006e-003 1.1579e-002 2.0734e-002 1.2770e-002 2.0440e-004 8.0850e-003 1.4160e-002 2.1805e-003 4.4297e-003 1.4593e-002 4.4205e-003 2.3193e-003 1.4817e-002 8.6468e-003 8.2525e-005 1.0298e-002 1.5482e-002 6.3658e-003 2.7983e-005 8.6444e-003 2.9573e-001
          18 1.6178e-003 8.5896e-003 1.6672e-002 1.2094e-002 8.0027e-004 4.7337e-003 1.2118e-002 3.7374e-003 1.5360e-003 1.1250e-002 6.6295e-003 1.8081e-004 9.5005e-003 1.0567e-002 9.3005e-004 3.5819e-003 1.1640e-002 9.4065e-003 2.6998e-003 1.4414e-003 1.4864e-001
          19 1.1466e-003 6.3509e-003 1.3120e-002 1.0726e-002 1.3209e-003 2.6491e-003 9.6707e-003 4.5020e-003 3.4862e-004 7.9092e-003 7.2096e-003 1.0643e-004 5.2810e-003 9.7316e-003 2.7596e-003 6.8114e-004 6.9345e-003 8.8300e-003 4.6447e-003 1.7506e-003 5.5894e-002
          20 8.4813e-004 4.8588e-003 1.0541e-002 9.4288e-003 1.6688e-003 1.4853e-003 7.6686e-003 4.7332e-003 1.9247e-005 5.4620e-003 6.9345e-003 6.4492e-004 2.7358e-003 8.0544e-003 3.9945e-003 5.4914e-006 3.6862e-003 7.0151e-003 5.1671e-003 1.8967e-003 1.8972e-002
          21 6.4173e-004 3.7789e-003 8.5278e-003 8.1812e-003 1.8446e-003 8.1973e-004 6.0312e-003 4.5986e-003 3.0487e-005 3.7134e-003 6.2151e-003 1.1924e-003 1.3001e-003 6.2654e-003 4.4713e-003 1.8814e-004 1.7481e-003 5.0683e-003 4.8268e-003 2.5434e-003 4.9333e-004
          22 4.8323e-004 2.9100e-003 6.7785e-003 6.8711e-003 1.8387e-003 4.3534e-004 4.6253e-003 4.1571e-003 1.4386e-004 2.4555e-003 5.2238e-003 1.5236e-003 5.4505e-004 4.6082e-003 4.3008e-003 5.5737e-004 7.1271e-004 3.3925e-003 3.9863e-003 2.4952e-003 2.7132e-003
          23 3.5121e-004 2.1526e-003 5.1403e-003 5.4356e-003 1.6436e-003 2.1923e-004 3.3791e-003 3.4485e-003 2.3688e-004 1.5566e-003 4.0690e-003 1.5567e-003 1.9285e-004 3.1815e-003 3.6458e-003 7.9292e-004 2.3717e-004 2.1130e-003 2.9636e-003 2.1113e-003 5.8129e-004
          24 2.3307e-004 1.4472e-003 3.5189e-003 3.8360e-003 1.2609e-003 1.0265e-004 2.2384e-003 2.5060e-003 2.4871e-004 9.1239e-004 2.8132e-003 1.2847e-003 5.4998e-005 1.9910e-003 2.6550e-003 7.7018e-004 6.0270e-005 1.2000e-003 1.9441e-003 1.5256e-003 7.3897e-004
          25 1.2495e-004 7.8222e-004 1.9238e-003 2.1372e-003 7.3880e-004 4.1954e-005 1.1955e-003 1.4189e-003 1.7123e-004 4.4667e-004 1.5409e-003 7.8116e-004 1.2508e-005 1.0181e-003 1.4968e-003 5.0766e-004 1.1312e-005 5.7016e-004 1.0218e-003 8.5178e-004 4.4304e-004
          26 4.1057e-005 2.5799e-004 6.3778e-004 7.1465e-004 2.5263e-004 1.1969e-005 3.9185e-004 4.7769e-004 6.2560e-005 1.4031e-004 5.1072e-004 2.7110e-004 2.3087e-006 3.2649e-004 5.0218e-004 1.8197e-004 1.7069e-006 1.7614e-004 3.3162e-004 2.8412e-004 1.4667e-004
