   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13
           0 9.4205e-004 9.7026e-001 9.4373e-003 1.8725e-002 5.5124e-004 7.0599e-005 7.9858e-006 2.5372e-006 5.7780e-007 6.0138e-008 1.2848e-009 9.0986e-012 9.9799e-011 3.7959e-010
           1 1.8606e-003 2.5897e-002 1.3743e-001 7.0433e-001 9.9955e-002 2.8323e-002 2.0408e-003 1.2956e-004 1.8846e-005 9.4607e-006 4.0774e-006 1.0046e-006 1.3598e-007 7.7153e-009
           2 9.3536e-003 1.2634e-003 9.9749e-002 3.5362e-002 2.4012e-001 4.2662e-001 1.5184e-001 3.2226e-002 3.2344e-003 1.7666e-004 1.4917e-005 1.0232e-005 9.8457e-006 5.7582e-006
           3 4.5488e-002 1.5997e-004 1.1569e-001 3.0081e-003 1.5070e-001 1.6523e-004 2.1049e-001 2.9279e-001 1.3883e-001 3.6169e-002 5.8379e-003 5.7462e-004 3.3600e-005 1.1913e-006
           4 1.5200e-001 1.4693e-005 1.0980e-001 2.6870e-002 2.3043e-002 6.6168e-002 4.1508e-002 2.6332e-002 1.7605e-001 1.9807e-001 1.1469e-001 4.4647e-002 1.3873e-002 3.6430e-003
           5 2.9952e-001 4.2081e-004 2.5441e-002 2.6237e-002 1.2486e-002 2.9112e-002 1.9465e-002 6.2439e-002 2.3585e-003 4.5047e-002 1.2498e-001 1.2907e-001 8.5454e-002 3.9918e-002
           6 3.1947e-001 9.8142e-004 2.8814e-002 9.2260e-005 5.2992e-002 6.5950e-003 4.0123e-002 9.7069e-004 4.6759e-002 2.7739e-002 1.1110e-004 2.7275e-002 5.3694e-002 4.3869e-002
           7 1.5279e-001 8.0799e-004 2.1044e-001 4.5002e-002 1.3718e-003 4.3930e-002 1.5700e-003 3.6596e-002 2.5326e-003 1.8826e-002 3.5586e-002 1.3969e-002 3.9242e-004 1.4978e-003
           8 1.7538e-002 1.9268e-004 2.1729e-001 9.8042e-002 1.1166e-001 3.6043e-004 4.8591e-002 2.7278e-005 3.0209e-002 1.1856e-002 1.9179e-003 1.8633e-002 2.0174e-002 9.8657e-003
           9 4.0694e-004 6.2586e-007 4.4908e-002 4.0772e-002 2.3607e-001 1.5884e-001 1.2795e-003 4.7359e-002 6.8885e-004 1.9975e-002 1.9097e-002 1.7458e-003 1.7061e-003 4.6914e-003
          10 3.8275e-004 4.0195e-006 8.4411e-005 7.7990e-004 6.9557e-002 2.1053e-001 2.2583e-001 2.3204e-003 5.0151e-002 3.8870e-003 9.5334e-003 1.8689e-002 9.1435e-003 1.8350e-003
          11 1.4115e-004 8.5046e-008 7.5114e-004 6.3863e-004 2.7857e-007 2.7277e-002 2.3915e-001 2.6320e-001 2.3253e-003 5.1465e-002 1.0015e-002 1.6619e-003 9.8134e-003 7.9492e-003
          12 1.7141e-006 9.1776e-008 2.4377e-004 3.1396e-005 8.5046e-004 1.4072e-003 1.5309e-002 2.2653e-001 3.0901e-001 3.6924e-004 5.0103e-002 1.9583e-002 7.7585e-004 7.3505e-004
          13 3.0915e-005 2.2918e-007 8.0392e-007 3.1254e-005 3.9859e-004 5.6220e-006 2.1279e-003 6.6756e-003 2.3212e-001 3.2974e-001 1.5978e-003 3.9910e-002 2.8970e-002 7.9499e-003
          14 1.0245e-005 2.3136e-008 4.8752e-005 3.7585e-005 5.1886e-006 2.9662e-004 3.2731e-004 1.2259e-003 3.9248e-003 2.5029e-001 3.2383e-001 1.8530e-002 1.4803e-002 2.0927e-002
          15 6.4723e-008 2.2111e-008 2.5046e-005 5.5500e-006 3.8497e-005 1.5704e-004 4.0774e-005 8.8060e-004 2.1209e-004 4.9207e-003 2.9195e-001 2.8075e-001 5.6851e-002 9.1528e-004
