   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30
           0 9.8932e-001 1.0628e-002 4.9555e-005 8.3277e-008 3.9801e-009 1.4689e-008 2.2071e-009 9.0234e-009 4.2364e-010 3.6735e-009 1.4639e-010 6.4132e-010 1.5532e-010 4.7747e-010 7.0365e-012 4.7716e-010 2.8504e-010 1.4798e-012 2.2664e-010 2.9861e-010 1.1264e-010 1.9234e-012 3.4082e-011 9.0554e-011 1.0339e-010 8.1536e-011 5.1499e-011 2.7911e-011 1.3993e-011 7.0454e-012 3.5344e-012
           1 1.0594e-002 9.6507e-001 2.4158e-002 1.7504e-004 3.4765e-007 4.6798e-008 1.5992e-008 6.0481e-009 1.5187e-008 7.7178e-010 1.0352e-009 1.3217e-009 8.8846e-012 2.5867e-009 7.2256e-010 4.2297e-010 1.1838e-009 2.4164e-010 4.6569e-011 2.1791e-010 8.4066e-011 6.9710e-013 6.8216e-011 1.2172e-010 1.0564e-010 6.3382e-011 3.0553e-011 1.3153e-011 5.6167e-012 2.5666e-012 1.2194e-012
           2 8.5031e-005 2.3940e-002 9.3494e-001 4.0621e-002 4.1179e-004 3.9346e-007 1.3663e-007 3.8824e-008 3.8542e-010 7.7879e-009 3.8477e-009 2.4734e-011 1.7240e-009 2.5612e-010 1.4076e-009 5.2346e-012 4.2820e-010 8.2268e-011 1.1055e-010 2.3940e-010 3.5401e-011 4.8455e-011 2.2857e-010 2.8688e-010 2.1280e-010 1.1676e-010 5.3526e-011 2.2493e-011 9.5141e-012 4.3332e-012 2.0562e-012
           3 1.3166e-007 3.5788e-004 3.9877e-002 8.9842e-001 6.0525e-002 8.2006e-004 4.3889e-007 2.0671e-007 7.1157e-008 8.3959e-010 1.9135e-008 6.6176e-009 1.0501e-011 4.0565e-009 3.5739e-010 2.5936e-009 2.0492e-012 1.0137e-009 2.4825e-010 1.9754e-010 6.3679e-010 2.5470e-010 1.3666e-013 1.6315e-010 3.2491e-010 3.1590e-010 2.1832e-010 1.2292e-010 6.2603e-011 3.1732e-011 1.5968e-011
           4 1.1668e-007 1.5206e-006 9.6308e-004 5.8654e-002 8.5518e-001 8.3748e-002 1.4547e-003 2.9790e-007 2.6792e-007 1.3619e-007 4.1317e-011 3.8573e-008 1.1120e-008 7.7284e-011 6.5563e-009 4.2128e-010 3.5799e-009 9.7295e-012 2.1776e-009 7.6499e-010 1.4620e-010 1.0405e-009 7.6221e-010 1.4252e-010 5.2460e-012 1.0426e-010 1.5188e-010 1.2050e-010 7.2690e-011 4.0101e-011 2.1066e-011
           5 2.0653e-010 2.7644e-007 1.0690e-005 2.0890e-003 7.9764e-002 8.0529e-001 1.1044e-001 2.4014e-003 1.5736e-007 3.3951e-007 1.7936e-007 3.6734e-009 4.2677e-008 9.0365e-009 2.8887e-010 5.5957e-009 8.8800e-010 2.3690e-009 2.4932e-010 2.1951e-009 4.8486e-010 1.8914e-010 8.5118e-010 5.9880e-010 1.4882e-010 3.1812e-012 1.4122e-011 2.7590e-011 2.2414e-011 1.4037e-011 7.8287e-012
           6 3.0307e-008 4.7366e-008 2.7337e-007 4.1372e-005 3.9931e-003 1.0288e-001 7.4911e-001 1.4023e-001 3.7474e-003 2.8356e-008 3.6028e-007 2.2426e-007 1.9001e-008 5.3199e-008 4.3811e-009 1.6632e-009 4.3988e-009 1.2101e-009 1.5860e-009 4.4309e-010 1.9425e-009 4.1624e-010 9.2126e-011 5.0920e-010 4.1058e-010 1.5457e-010 3.2101e-011 3.4466e-012 9.2743e-014 3.3160e-014 7.8254e-014
           7 4.7692e-009 5.1160e-008 1.7372e-007 2.8048e-008 1.2471e-004 6.9442e-003 1.2704e-001 6.8740e-001 1.7290e-001 5.5861e-003 7.6592e-009 3.5002e-007 2.8106e-007 4.3047e-008 6.9534e-008 1.1506e-009 3.8522e-009 4.5262e-009 1.0162e-009 1.1925e-009 4.3816e-010 1.8163e-009 5.8432e-010 1.1717e-012 2.0520e-010 2.5402e-010 1.5434e-010 7.0318e-011 2.9963e-011 1.3511e-011 6.3496e-012
           8 2.6553e-009 2.1979e-009 1.6973e-007 3.0454e-007 6.3335e-007 3.1457e-004 1.1229e-002 1.5135e-001 6.2109e-001 2.0799e-001 8.0306e-003 1.0554e-007 2.7403e-007 3.4876e-007 5.8549e-008 1.1105e-007 2.4649e-010 6.5412e-009 9.6804e-009 3.5074e-010 1.8984e-009 1.0494e-010 2.0960e-009 1.6136e-009 3.3330e-010 8.3133e-013 4.8084e-011 6.8280e-011 4.8824e-011 2.8696e-011 1.5490e-011
           9 3.4340e-011 8.9781e-011 1.1749e-008 3.2341e-007 5.1056e-007 5.5125e-006 6.9892e-004 1.7126e-002 1.7460e-001 5.5150e-001 2.4489e-001 1.1177e-002 2.4391e-007 1.5775e-007 3.7474e-007 1.0542e-007 1.1767e-007 2.5184e-009 1.3542e-008 1.0217e-008 1.6785e-014 4.4595e-010 1.9297e-010 1.3630e-009 1.1662e-009 4.4524e-010 1.0050e-010 1.5416e-011 1.8550e-012 1.8425e-013 1.1084e-014
