   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14
           0 1.2273e-001 3.2447e-001 3.3251e-001 1.6913e-001 4.4925e-002 5.8887e-003 3.0549e-004 2.5755e-006 4.8849e-008 7.0616e-009 5.4540e-009 8.3282e-010 1.7946e-009 8.5451e-011 3.2254e-011
           1 1.9283e-001 1.4203e-001 3.4566e-003 2.1207e-001 2.9164e-001 1.3263e-001 2.4006e-002 1.4061e-003 5.9845e-006 6.5758e-007 2.6253e-009 5.9532e-009 1.2403e-009 3.2715e-009 8.2946e-010
           2 1.8938e-001 1.2887e-002 1.1290e-001 7.7098e-002 3.7939e-002 2.8127e-001 2.2910e-001 5.5984e-002 3.4010e-003 5.8878e-007 3.3679e-006 1.2458e-007 5.5109e-009 1.1416e-009 1.4867e-009
           3 1.5193e-001 6.9919e-003 1.0570e-001 3.7268e-003 1.3263e-001 3.8314e-003 1.8787e-001 3.0399e-001 9.7897e-002 5.3512e-003 3.7987e-005 5.7486e-006 1.5470e-006 2.8358e-007 3.7725e-008
           4 1.0985e-001 3.9493e-002 4.0223e-002 5.9400e-002 3.1247e-002 7.6424e-002 5.7295e-002 8.9479e-002 3.4881e-001 1.4214e-001 5.2322e-003 3.9565e-004 6.9323e-007 2.3299e-006 1.1696e-006
           5 7.5144e-002 6.2960e-002 4.1571e-003 7.4503e-002 1.8492e-003 7.9146e-002 1.2781e-002 1.0411e-001 2.8103e-002 3.7570e-001 1.7831e-001 1.8343e-003 1.2724e-003 1.4402e-004 1.3420e-005
           6 4.9983e-002 6.9174e-002 1.8478e-003 4.7810e-002 3.1010e-002 1.8846e-002 6.6244e-002 2.3812e-003 1.0741e-001 4.5097e-003 4.0808e-001 1.8965e-001 8.8584e-004 9.4341e-004 4.2840e-004
           7 3.2864e-002 6.3797e-002 1.3031e-002 1.8838e-002 4.8319e-002 1.4613e-004 5.1656e-002 2.3707e-002 2.7238e-002 8.0405e-002 2.7243e-004 4.7215e-001 1.4591e-001 1.8969e-002 1.0572e-003
           8 2.1560e-002 5.3388e-002 2.3746e-002 3.5661e-003 4.2505e-002 1.2500e-002 1.6280e-002 4.7738e-002 7.6858e-004 4.9172e-002 4.7737e-002 1.1438e-003 5.7586e-001 3.6431e-002 2.6268e-002
           9 1.4168e-002 4.2056e-002 2.9181e-002 1.7257e-006 2.7524e-002 2.5099e-002 7.8803e-004 3.6800e-002 1.9733e-002 6.0636e-003 5.1454e-002 2.2473e-002 2.1285e-002 6.1078e-001 2.5960e-002
          10 9.3077e-003 3.1682e-002 2.9360e-002 1.8482e-003 1.4259e-002 2.7714e-002 1.8682e-003 1.7064e-002 3.0040e-002 1.4213e-003 1.9538e-002 3.9203e-002 5.3192e-003 1.4774e-001 2.2106e-001
          11 6.0408e-003 2.2787e-002 2.5730e-002 4.4172e-003 6.0373e-003 2.3018e-002 6.7406e-003 4.9112e-003 2.5059e-002 9.5993e-003 2.4812e-003 2.3999e-002 2.4849e-002 5.8898e-003 3.6342e-001
          12 3.7283e-003 1.5144e-002 1.9551e-002 5.3871e-003 2.0705e-003 1.5658e-002 8.6548e-003 6.6504e-004 1.5241e-002 1.2621e-002 7.4870e-005 9.2414e-003 1.7417e-002 2.0211e-002 1.9016e-001
          13 1.8492e-003 7.8717e-003 1.1026e-002 3.8713e-003 5.4144e-004 7.9287e-003 6.1321e-003 4.8761e-006 6.7367e-003 8.5325e-003 8.8691e-004 2.4370e-003 7.9947e-003 6.8524e-003 1.0152e-001
