   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36
           0 4.3443e-001 3.1906e-001 1.5313e-001 6.0847e-002 2.1708e-002 7.2988e-003 2.3897e-003 7.7357e-004 2.4845e-004 7.9503e-005 2.5665e-005 8.4822e-006 2.8739e-006 9.7838e-007 3.2500e-007 1.0433e-007 3.3819e-008 1.2358e-008 5.6358e-009 3.0598e-009 1.6178e-009 6.2971e-010 9.4440e-011 1.7248e-011 2.1488e-010 4.3281e-010 5.1376e-010 4.4710e-010 3.0733e-010 1.7190e-010 7.9230e-011 3.0529e-011 1.0363e-011 3.6134e-012 1.6162e-012 8.2802e-013 2.4234e-013
           1 4.0189e-001 1.3260e-002 1.6923e-001 1.8658e-001 1.2177e-001 6.1934e-002 2.7351e-002 1.1106e-002 4.2937e-003 1.6210e-003 6.0897e-004 2.2961e-004 8.6474e-005 3.2149e-005 1.1726e-005 4.2384e-006 1.5597e-006 6.0188e-007 2.4533e-007 1.0249e-007 4.1351e-008 1.4988e-008 4.4700e-009 9.3420e-010 7.2951e-011 1.5070e-011 1.1426e-010 2.1760e-010 3.1367e-010 4.0760e-010 4.9111e-010 5.4420e-010 5.4688e-010 4.8964e-010 3.7525e-010 2.1188e-010 5.9334e-011
           2 1.4739e-001 3.6509e-001 2.8334e-002 3.9514e-002 1.1852e-001 1.2243e-001 8.6009e-002 4.9017e-002 2.4402e-002 1.1085e-002 4.7653e-003 2.0002e-003 8.3684e-004 3.5188e-004 1.4882e-004 6.3138e-005 2.6687e-005 1.1078e-005 4.4208e-006 1.6586e-006 5.7895e-007 1.9208e-007 6.5756e-008 2.6950e-008 1.4834e-008 1.0349e-008 7.6959e-009 5.2593e-009 2.9931e-009 1.2810e-009 3.2501e-010 1.0554e-011 5.7110e-011 1.9934e-010 2.7114e-010 2.0359e-010 6.3491e-011
           3 1.6219e-002 2.7210e-001 2.6055e-001 8.1139e-002 3.3446e-003 6.1836e-002 9.3650e-002 8.3479e-002 5.8070e-002 3.4554e-002 1.8390e-002 9.0410e-003 4.2084e-003 1.8913e-003 8.3698e-004 3.7271e-004 1.6991e-004 7.9571e-005 3.7812e-005 1.7869e-005 8.2488e-006 3.6788e-006 1.5735e-006 6.3837e-007 2.3992e-007 7.9694e-008 2.1399e-008 3.8117e-009 2.1265e-010 3.8232e-011 9.6391e-011 1.6778e-011 2.3859e-011 1.6477e-010 2.9129e-010 2.4788e-010 8.0800e-011
           4 2.4948e-005 3.0438e-002 3.3954e-001 1.7486e-001 1.1580e-001 1.9711e-003 2.9140e-002 7.0314e-002 7.7481e-002 6.2800e-002 4.2717e-002 2.5859e-002 1.4397e-002 7.5116e-003 3.7278e-003 1.7908e-003 8.4848e-004 4.0245e-004 1.9277e-004 9.3748e-005 4.6508e-005 2.3593e-005 1.2178e-005 6.3019e-006 3.1983e-006 1.5551e-006 7.1000e-007 2.9977e-007 1.1564e-007 4.0205e-008 1.2273e-008 3.0810e-009 5.2218e-010 2.1173e-011 1.8873e-011 4.4047e-011 1.7624e-011
           5 7.2301e-006 9.8255e-005 4.9004e-002 3.9727e-001 1.2207e-001 1.2124e-001 1.3324e-002 9.7695e-003 4.6260e-002 6.3628e-002 5.9411e-002 4.5304e-002 3.0532e-002 1.8885e-002 1.0901e-002 5.9518e-003 3.1226e-003 1.5961e-003 8.0208e-004 3.9969e-004 2.0003e-004 1.0211e-004 5.3712e-005 2.9074e-005 1.6007e-005 8.8387e-006 4.8499e-006 2.6375e-006 1.4224e-006 7.5959e-007 3.9850e-007 2.0232e-007 9.7434e-008 4.3556e-008 1.7644e-008 5.9986e-009 1.3094e-009
           6 9.8588e-031 2.2217e-030 1.9801e-028 7.0375e-027 3.2002e-025 2.8253e-024 2.9774e-023 4.4507e-022 9.9591e-021 2.0681e-019 3.7030e-018 5.7545e-017 1.1350e-015 1.9710e-014 2.7846e-013 4.0291e-012 4.8403e-011 6.0046e-010 5.7745e-009 5.2744e-008 4.2079e-007 3.0263e-006 1.9625e-005 1.0518e-004 5.1556e-004 2.1457e-003 7.7935e-003 2.3967e-002 6.2090e-002 1.3182e-001 2.2046e-001 2.7016e-001 2.0889e-001 6.8294e-002 6.0859e-004 1.8835e-003 3.2096e-004
           7 1.1817e-027 2.5778e-030 1.9476e-028 9.8118e-024 1.5451e-022 5.1020e-022 3.0888e-021 4.3632e-020 8.1548e-019 1.4692e-017 2.3542e-016 3.3293e-015 5.7656e-014 8.8489e-013 1.1248e-011 1.4341e-010 1.5361e-009 1.6438e-008 1.3987e-007 1.1053e-006 7.5937e-006 4.6204e-005 2.4676e-004 1.1006e-003 4.2707e-003 1.3803e-002 3.6681e-002 7.7183e-002 1.2004e-001 1.1899e-001 4.5545e-002 4.6025e-003 1.6505e-001 3.1163e-001 8.3419e-002 1.0823e-002 3.0223e-004
           8 2.6676e-014 7.6667e-015 3.8756e-013 1.6131e-010 1.1913e-009 2.8907e-010 2.8554e-010 6.5396e-011 5.7761e-012 7.8417e-011 1.3317e-010 1.4868e-010 9.7289e-011 1.7729e-010 3.4813e-011 2.7234e-009 1.9539e-008 2.0296e-007 1.5398e-006 1.0952e-005 6.6956e-005 3.5843e-004 1.6526e-003 6.3549e-003 2.0548e-002 5.3893e-002 1.1027e-001 1.6398e-001 1.5058e-001 4.9378e-002 7.4010e-003 1.5481e-001 1.9346e-001 1.0979e-002 3.7860e-002 1.1016e-003 1.4554e-004
           9 1.7170e-024 7.1350e-025 3.4599e-023 9.0498e-021 5.0056e-020 9.1345e-022 3.3669e-019 1.8466e-018 3.2149e-017 5.0875e-016 7.1918e-015 9.2561e-014 1.4056e-012 1.9065e-011 2.1765e-010 2.4458e-009 2.3325e-008 2.1579e-007 1.6207e-006 1.1075e-005 6.5393e-005 3.3604e-004 1.4800e-003 5.4238e-003 1.6542e-002 4.0485e-002 7.5804e-002 9.9405e-002 7.3432e-002 1.1866e-002 1.7438e-002 8.6668e-002 2.3372e-002 1.0567e-001 3.6564e-001 2.6239e-003 8.3212e-003
