   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14
           0 9.4865e-002 2.8434e-001 3.3738e-001 2.0409e-001 6.6893e-002 1.1482e-002 8.8298e-004 1.7746e-005 2.5178e-008 1.6556e-008 7.0856e-009 2.4914e-009 1.7958e-009 3.7375e-013 1.4004e-010
           1 1.6493e-001 1.6708e-001 1.4600e-003 1.4718e-001 2.9413e-001 1.7732e-001 4.3892e-002 4.0177e-003 6.3089e-005 1.0659e-006 2.9271e-008 1.3232e-009 3.3425e-009 6.4059e-010 4.7320e-012
           2 1.7699e-001 3.3165e-002 7.5446e-002 1.1288e-001 4.5709e-003 2.2010e-001 2.7093e-001 9.5976e-002 9.8398e-003 7.1500e-005 1.0885e-005 2.4733e-008 5.4694e-009 1.6442e-008 7.7660e-009
           3 1.5331e-001 1.3954e-004 1.0822e-001 1.7839e-003 1.1491e-001 3.4398e-002 9.7806e-002 3.1454e-001 1.5841e-001 1.6395e-002 5.5423e-007 3.8501e-005 3.3942e-006 2.2531e-007 5.8517e-009
           4 1.1857e-001 1.9950e-002 6.2402e-002 2.9667e-002 6.2465e-002 3.2224e-002 1.0045e-001 1.9466e-002 3.1491e-001 2.2054e-001 1.8904e-002 3.9907e-004 2.4723e-005 1.8110e-005 4.7520e-006
           5 8.6138e-002 4.5374e-002 1.7462e-002 6.4697e-002 3.1489e-003 8.0998e-002 2.0401e-004 1.1289e-001 3.3783e-005 3.0133e-001 2.7297e-001 1.1999e-002 2.6431e-003 1.0990e-004 7.4088e-007
           6 6.0450e-002 5.9275e-002 5.5719e-004 5.8991e-002 1.0152e-002 4.3417e-002 3.7245e-002 2.6567e-002 7.9515e-002 1.0032e-002 3.0700e-001 2.9980e-001 3.8103e-004 4.1042e-003 1.1496e-003
           7 4.1697e-002 6.1383e-002 3.4855e-003 3.4452e-002 3.4015e-002 5.7922e-003 5.7501e-002 2.7229e-003 5.6785e-002 3.9549e-002 1.8010e-002 3.6428e-001 2.5592e-001 1.8966e-002 1.5845e-004
           8 2.8587e-002 5.6213e-002 1.3082e-002 1.3398e-002 4.2662e-002 1.5736e-003 3.4631e-002 3.0728e-002 5.5482e-003 6.1431e-002 1.4256e-002 9.4412e-003 4.9515e-001 8.8848e-002 4.6263e-002
           9 1.9610e-002 4.7890e-002 2.1578e-002 2.6062e-003 3.6204e-002 1.3244e-002 9.6385e-003 4.0849e-002 4.5646e-003 2.3794e-002 4.7235e-002 3.2218e-003 1.4815e-003 5.8807e-001 1.8575e-002
          10 1.3511e-002 3.8994e-002 2.6340e-002 1.3350e-006 2.4199e-002 2.3011e-002 2.4423e-004 2.9114e-002 2.1001e-002 1.1641e-003 3.3407e-002 3.0283e-002 3.6060e-005 9.3727e-002 1.9252e-001
          11 9.3584e-003 3.0790e-002 2.7426e-002 1.5410e-003 1.3404e-002 2.5531e-002 2.0841e-003 1.3596e-002 2.7468e-002 3.2079e-003 1.0258e-002 3.0115e-002 2.1036e-002 2.2828e-002 2.3251e-001
          12 6.5043e-003 2.3732e-002 2.5803e-002 4.1252e-003 6.1753e-003 2.2567e-002 6.9440e-003 3.8959e-003 2.3035e-002 1.1393e-002 5.4323e-004 1.6256e-002 2.0167e-002 3.4215e-002 1.8094e-001
          13 4.5084e-003 1.7843e-002 2.2474e-002 6.0680e-003 2.2767e-003 1.7301e-002 1.0187e-002 3.5447e-004 1.4981e-002 1.5265e-002 9.9962e-004 5.2649e-003 1.4648e-002 6.3143e-003 1.9538e-001
          14 3.0528e-003 1.2861e-002 1.8044e-002 6.6677e-003 6.0020e-004 1.1876e-002 1.0599e-002 1.1191e-004 8.1169e-003 1.3994e-002 3.7085e-003 7.6276e-004 7.4428e-003 1.0247e-002 3.5752e-002
          15 1.9666e-003 8.6708e-003 1.3128e-002 5.9024e-003 8.4908e-005 7.3953e-003 8.7924e-003 6.6763e-004 3.8426e-003 1.0219e-002 4.7689e-003 2.7031e-007 2.9872e-003 5.1596e-003 3.7557e-002
          16 1.0590e-003 4.8091e-003 7.6416e-003 3.8573e-003 1.2741e-006 3.8015e-003 5.4459e-003 7.7444e-004 1.5302e-003 5.7152e-003 3.5748e-003 1.4739e-004 9.7425e-004 2.3391e-003 1.3932e-004
          17 2.4539e-004 1.1294e-003 1.8341e-003 9.7347e-004 6.1194e-007 8.5589e-004 1.3370e-003 2.3750e-004 2.9722e-004 1.3312e-003 9.4137e-004 7.2505e-005 1.6483e-004 4.9557e-004 3.8268e-004
