   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79
           0 9.8980e-001 1.0034e-002 1.6102e-004 4.5392e-006 2.1228e-044 1.3293e-041 9.8633e-029 1.2093e-038 3.8394e-038 1.0835e-036 5.5061e-035 7.3677e-033 1.4108e-020 4.9258e-031 5.8137e-031 2.9192e-030 1.6725e-029 8.0322e-030 4.8153e-016 2.0876e-026 7.0040e-026 6.4431e-025 8.7178e-024 2.5946e-022 1.4219e-010 1.0323e-020 2.0106e-021 2.0507e-021 5.5718e-022 6.8843e-020 2.9455e-010 3.9063e-016 1.3417e-017 3.4649e-017 1.6496e-016 1.4312e-015 1.0253e-013 1.3033e-009 3.7714e-014 2.3706e-014 3.7507e-014 1.0099e-013 6.7841e-013 1.6945e-010 3.4328e-012 1.4959e-013 2.3156e-015 1.5188e-013 2.3783e-012 3.7538e-011 9.6800e-011 3.6776e-011 2.5402e-011 2.9127e-011 4.3429e-011 7.3553e-011 1.1822e-010 1.4383e-010 1.2682e-010 9.7569e-011 7.6783e-011 6.4690e-011 5.7807e-011 5.3410e-011 4.9436e-011 4.4179e-011 3.6779e-011 2.7922e-011 1.9346e-011 1.2345e-011 7.1660e-012 3.5959e-012 1.3875e-012 2.5966e-013 1.5487e-014 5.3009e-013 1.7009e-012 3.3848e-012 5.3860e-012 7.3426e-012
           1 1.0191e-002 9.6601e-001 2.3160e-002 6.1578e-004 5.9837e-042 3.7684e-039 2.3860e-026 2.7107e-036 5.6255e-036 9.6618e-035 3.1859e-033 3.2483e-031 5.8737e-019 2.0781e-029 3.0758e-029 2.7096e-028 4.9244e-027 2.6688e-025 4.9370e-013 7.3619e-024 4.9072e-024 1.6216e-023 9.1880e-023 1.0690e-021 2.2455e-010 9.9569e-021 8.1202e-023 1.0935e-020 1.6811e-019 3.5224e-018 3.2084e-009 3.9722e-015 4.9313e-017 4.8884e-017 7.1308e-017 6.7513e-017 3.4191e-015 1.0348e-010 1.2412e-014 2.2969e-014 7.8887e-014 4.1692e-013 5.5410e-012 2.3690e-009 6.3888e-011 9.5649e-012 8.6207e-012 1.3797e-011 3.7253e-011 2.0230e-010 2.8936e-010 4.5672e-011 8.5549e-012 8.9027e-013 9.3649e-013 1.2499e-011 4.8014e-011 1.0081e-010 1.3449e-010 1.4630e-010 1.5544e-010 1.7096e-010 1.9486e-010 2.2633e-010 2.6153e-010 2.9192e-010 3.0602e-010 2.9750e-010 2.7140e-010 2.3854e-010 2.0547e-010 1.7404e-010 1.4624e-010 1.2233e-010 1.0057e-010 8.0996e-011 6.3097e-011 4.6647e-011 3.2267e-011 2.0253e-011
           2 7.7706e-006 2.3913e-002 9.3385e-001 4.0527e-002 3.2434e-040 2.1483e-037 1.4688e-024 1.7173e-034 4.0765e-034 7.9496e-033 2.8268e-031 2.8491e-029 4.8419e-017 1.6293e-027 1.9855e-027 1.3885e-026 2.0371e-025 9.5178e-024 1.6856e-011 2.5046e-022 1.8084e-022 7.5297e-022 6.5206e-021 1.5677e-019 8.3579e-008 6.1786e-018 1.5253e-018 3.1080e-018 1.2455e-017 1.1027e-016 5.3797e-008 6.4310e-014 4.5990e-016 2.8182e-016 2.7553e-016 2.5330e-016 3.9189e-016 2.5857e-011 3.2113e-015 2.6030e-015 1.4687e-015 1.8402e-015 4.0443e-013 4.0517e-010 1.4791e-011 4.7002e-012 7.6838e-012 2.0749e-011 9.2180e-011 7.9890e-010 1.5661e-009 4.2472e-010 2.0460e-010 1.6669e-010 1.7710e-010 2.1119e-010 2.3315e-010 1.8496e-010 9.4231e-011 3.2315e-011 5.7056e-012 1.4748e-013 8.7570e-012 3.0736e-011 6.7273e-011 1.1726e-010 1.7333e-010 2.2351e-010 2.6001e-010 2.8404e-010 2.9925e-010 3.0695e-010 3.1060e-010 3.1282e-010 3.1100e-010 3.0569e-010 2.9545e-010 2.7770e-010 2.5321e-010 2.2049e-010
           3 1.5362e-008 4.5502e-005 4.2641e-002 8.8951e-001 1.3037e-038 8.7613e-036 5.8697e-023 6.7996e-033 1.5463e-032 2.9201e-031 1.0316e-029 1.0633e-027 1.8568e-015 6.3577e-026 8.1733e-026 5.9820e-025 8.9705e-024 4.1399e-022 7.1361e-010 1.0378e-020 6.9387e-021 2.6418e-020 2.1066e-019 4.7882e-018 2.5149e-006 1.8615e-016 4.7869e-017 1.0826e-016 5.1691e-016 5.9074e-015 3.9975e-006 4.8927e-012 5.6216e-014 6.6210e-014 1.7006e-013 8.8790e-013 4.1535e-011 4.7914e-007 1.0693e-011 5.0378e-012 6.4687e-012 1.5705e-011 1.1126e-010 3.3280e-008 7.7756e-010 8.1670e-011 6.0156e-011 9.3228e-011 2.9101e-010 2.1060e-009 3.8946e-009 1.0285e-009 5.1922e-010 4.7775e-010 6.0973e-010 9.2107e-010 1.3544e-009 1.5275e-009 1.2518e-009 8.9114e-010 6.4338e-010 4.9102e-010 3.9044e-010 3.1305e-010 2.4246e-010 1.7151e-010 1.0305e-010 4.7454e-011 1.3127e-011 3.4621e-013 4.6482e-012 2.1228e-011 4.6214e-011 7.7438e-011 1.1255e-010 1.4978e-010 1.8680e-010 2.1922e-010 2.4388e-010 2.5452e-010
           4 8.0606e-011 2.5705e-007 1.8269e-004 6.8708e-002 6.7822e-038 8.2142e-035 7.5920e-022 9.5552e-032 2.8734e-031 6.5282e-030 2.5745e-028 2.8079e-026 4.9884e-014 1.7165e-024 2.2170e-024 1.6223e-023 2.4388e-022 1.1342e-020 1.9688e-008 2.8753e-019 1.9430e-019 7.4341e-019 5.8975e-018 1.3171e-016 6.7763e-005 4.9721e-015 1.2312e-015 2.6743e-015 1.2318e-014 1.3734e-013 9.2245e-005 1.1292e-010 1.3164e-012 1.6125e-012 4.4222e-012 2.5308e-011 1.3308e-009 1.5875e-005 3.9403e-010 2.1763e-010 3.3189e-010 9.6091e-010 8.0445e-009 2.6627e-006 6.4801e-008 7.4716e-009 5.6576e-009 8.3408e-009 2.3001e-008 1.4151e-007 2.3281e-007 5.0995e-008 2.0193e-008 1.4549e-008 1.4824e-008 1.8450e-008 2.3193e-008 2.3136e-008 1.7246e-008 1.1502e-008 8.0617e-009 6.2188e-009 5.2252e-009 4.6541e-009 4.2529e-009 3.8425e-009 3.3180e-009 2.6914e-009 2.0676e-009 1.5390e-009 1.1248e-009 8.0768e-010 5.7322e-010 4.0169e-010 2.7277e-010 1.7747e-010 1.0764e-010 5.8216e-011 2.6204e-011 8.2740e-012
           5 5.3629e-009 1.8999e-009 1.9243e-006 6.2843e-004 1.9527e-037 6.9269e-035 9.6834e-023 3.3312e-033 7.7387e-032 9.4305e-030 8.7398e-028 1.6589e-025 3.8426e-013 1.4908e-023 2.5371e-023 2.2601e-022 3.9052e-021 2.0009e-019 3.6353e-007 5.4251e-018 3.8409e-018 1.5183e-017 1.2321e-016 2.7923e-015 1.4451e-003 1.0615e-013 2.6266e-014 5.6544e-014 2.5608e-013 2.7881e-012 1.8226e-003 2.2272e-009 2.5169e-011 2.9917e-011 7.9946e-011 4.4902e-010 2.3390e-008 2.7882e-004 6.9350e-009 3.8790e-009 6.0562e-009 1.8126e-008 1.5811e-007 5.4034e-005 1.3355e-006 1.6188e-007 1.2896e-007 1.9958e-007 5.7482e-007 3.6562e-006 6.1204e-006 1.3687e-006 5.5145e-007 4.0045e-007 4.0725e-007 5.0167e-007 6.2042e-007 6.0639e-007 4.4139e-007 2.8678e-007 1.9581e-007 1.4760e-007 1.2186e-007 1.0747e-007 9.8162e-008 8.9630e-008 7.9195e-008 6.6661e-008 5.3982e-008 4.3110e-008 3.4504e-008 2.7777e-008 2.2705e-008 1.8930e-008 1.5924e-008 1.3512e-008 1.1477e-008 9.6440e-009 7.9917e-009 6.4308e-009
           6 6.0147e-009 1.3509e-008 1.7993e-008 1.0210e-005 1.9983e-036 3.3133e-034 1.7867e-024 1.9904e-032 1.2384e-030 5.4044e-029 2.1224e-027 1.2600e-025 8.1589e-014 9.1759e-025 2.8671e-024 1.7570e-022 7.5124e-021 6.8096e-019 1.6196e-006 2.7528e-017 2.6109e-017 1.2865e-016 1.2360e-015 3.1937e-014 1.7880e-002 1.3466e-012 3.6186e-013 8.3220e-013 3.9717e-012 4.5011e-011 3.0235e-002 3.6995e-008 4.2533e-010 5.0868e-010 1.3535e-009 7.4979e-009 3.8227e-007 4.5275e-003 1.1030e-007 5.9851e-008 9.0594e-008 2.6334e-007 2.2397e-006 7.5446e-004 1.8542e-005 2.2176e-006 1.7549e-006 2.7161e-006 7.8691e-006 5.0529e-005 8.5212e-005 1.9298e-005 7.9156e-006 5.8627e-006 6.0827e-006 7.6364e-006 9.6057e-006 9.5291e-006 7.0290e-006 4.6203e-006 3.1849e-006 2.4179e-006 2.0061e-006 1.7750e-006 1.6245e-006 1.4855e-006 1.3147e-006 1.1095e-006 9.0214e-007 7.2509e-007 5.8583e-007 4.7779e-007 3.9727e-007 3.3846e-007 2.9234e-007 2.5597e-007 2.2553e-007 1.9757e-007 1.7153e-007 1.4520e-007
           7 1.8417e-009 1.2922e-008 3.0217e-008 8.4002e-008 9.3620e-035 1.1723e-032 3.9833e-026 6.8269e-031 2.6631e-029 7.8068e-028 1.8073e-026 3.7913e-025 2.8598e-015 4.1820e-024 8.0297e-023 1.2404e-021 2.0996e-020 6.5261e-019 5.8806e-007 4.4824e-018 2.6164e-019 3.9026e-017 1.1291e-015 5.5586e-014 4.3671e-002 3.6440e-012 1.3556e-012 4.0079e-012 2.3371e-011 3.1190e-010 2.3831e-001 2.9374e-007 3.7881e-009 4.9947e-009 1.4439e-008 8.5783e-008 4.6336e-006 5.5586e-002 1.4002e-006 7.8674e-007 1.2198e-006 3.5949e-006 3.0704e-005 1.0321e-002 2.5310e-004 2.9930e-005 2.3287e-005 3.5295e-005 9.9932e-005 6.2814e-004 1.0456e-003 2.3241e-004 9.3258e-005 6.7681e-005 6.8995e-005 8.5383e-005 1.0622e-004 1.0451e-004 7.6621e-005 5.0165e-005 3.4518e-005 2.6211e-005 2.1789e-005 1.9341e-005 1.7776e-005 1.6334e-005 1.4533e-005 1.2331e-005 1.0082e-005 8.1480e-006 6.6186e-006 5.4266e-006 4.5354e-006 3.8842e-006 3.3728e-006 2.9696e-006 2.6320e-006 2.3209e-006 2.0296e-006 1.7318e-006
           8 4.6884e-010 8.0168e-009 1.7161e-008 3.4582e-008 8.4883e-033 8.9426e-031 7.5092e-029 4.3760e-029 1.4018e-027 3.3225e-026 6.0539e-025 9.2042e-024 8.2002e-017 1.1530e-022 1.3057e-021 1.3103e-020 1.2373e-019 1.2260e-018 3.6466e-008 4.0522e-018 5.1446e-017 4.5452e-016 4.5791e-015 8.5443e-014 2.8296e-002 1.6181e-012 5.2586e-014 1.6700e-013 7.1601e-012 2.3103e-010 2.9786e-001 3.7713e-007 7.1785e-009 1.2721e-008 4.6545e-008 3.3584e-007 2.1379e-005 2.6638e-001 7.4420e-006 4.7306e-006 8.1728e-006 2.6484e-005 2.4578e-004 8.6937e-002 2.1789e-003 2.7398e-004 2.2453e-004 3.5513e-004 1.0398e-003 6.6914e-003 1.1268e-002 2.5384e-003 1.0301e-003 7.5217e-004 7.6777e-004 9.4765e-004 1.1724e-003 1.1446e-003 8.3098e-004 5.3755e-004 3.6478e-004 2.7283e-004 2.2320e-004 1.9490e-004 1.7618e-004 1.5922e-004 1.3934e-004 1.1632e-004 9.3610e-005 7.4492e-005 5.9616e-005 4.8190e-005 3.9745e-005 3.3622e-005 2.8871e-005 2.5169e-005 2.2117e-005 1.9363e-005 1.6836e-005 1.4304e-005
           9 1.1617e-009 8.5000e-010 1.7004e-008 3.4389e-009 5.8030e-031 5.5918e-029 2.4244e-027 2.4923e-027 7.2295e-026 1.5397e-024 2.5002e-023 3.3445e-022 1.2216e-019 3.7032e-021 3.5687e-020 2.9936e-019 2.2657e-018 1.5598e-017 1.2612e-009 9.4545e-017 5.7066e-016 3.2357e-015 1.8313e-014 1.2027e-013 2.8790e-003 2.4410e-014 1.3919e-012 8.9761e-012 6.2830e-011 7.2612e-010 3.6963e-001 4.3978e-007 2.3620e-009 3.6354e-010 1.3160e-009 6.9621e-008 1.0570e-005 1.5423e-001 6.2966e-006 5.8481e-006 1.3480e-005 5.5022e-005 6.1844e-004 2.4559e-001 6.4690e-003 9.3767e-004 8.7171e-004 1.5424e-003 4.9867e-003 3.4755e-002 6.1225e-002 1.4669e-002 6.3797e-003 4.9628e-003 5.3564e-003 6.9365e-003 8.9360e-003 9.0299e-003 6.7602e-003 4.4962e-003 3.1262e-003 2.3864e-003 1.9851e-003 1.7563e-003 1.6035e-003 1.4594e-003 1.2829e-003 1.0732e-003 8.6355e-004 6.8564e-004 5.4639e-004 4.3895e-004 3.5917e-004 3.0094e-004 2.5556e-004 2.2003e-004 1.9073e-004 1.6455e-004 1.4088e-004 1.1783e-004
