   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
           0 4.1684e-001 3.2741e-001 1.6014e-001 6.3216e-002 2.2073e-002 7.1566e-003 2.2206e-003 6.6951e-004 1.9718e-004 5.7058e-005 1.6464e-005 4.8256e-006 1.4389e-006 4.2277e-007 1.1597e-007 2.8732e-008 6.9028e-009 2.1093e-009 1.0585e-009 6.8798e-010 3.5600e-010 7.9633e-011 2.3305e-012 9.2851e-011 1.8433e-010 1.7230e-010 8.7949e-011 1.6506e-011 1.2650e-012 2.4690e-011 4.7604e-011 4.8101e-011 3.0276e-011 1.0337e-011 4.7967e-013 2.4612e-012 1.0586e-011 1.7904e-011 2.0450e-011 1.7965e-011 1.2248e-011 5.4520e-012 1.6411e-012
           1 3.8681e-001 4.6703e-003 1.6463e-001 1.9934e-001 1.3208e-001 6.6381e-002 2.8573e-002 1.1197e-002 4.1250e-003 1.4531e-003 4.9628e-004 1.6689e-004 5.5921e-005 1.8645e-005 6.0924e-006 1.9216e-006 5.9056e-007 1.8639e-007 6.5282e-008 2.5870e-008 1.0371e-008 3.3257e-009 5.2608e-010 1.8118e-012 1.9320e-010 2.4924e-010 1.0706e-010 3.4168e-012 3.5413e-011 1.1429e-010 1.3476e-010 8.5106e-011 2.2940e-011 7.4591e-014 2.2712e-011 6.2887e-011 8.9976e-011 9.1167e-011 7.2105e-011 4.6154e-011 2.3788e-011 8.6647e-012 2.3998e-012
           2 1.5777e-001 2.7157e-001 6.7718e-002 2.0879e-002 1.2297e-001 1.4503e-001 1.0471e-001 5.9060e-002 2.8804e-002 1.2775e-002 5.3032e-003 2.1053e-003 8.1288e-004 3.0824e-004 1.1490e-004 4.1999e-005 1.5108e-005 5.4306e-006 1.9913e-006 7.4958e-007 2.8199e-007 9.9822e-008 3.0802e-008 7.7408e-009 1.6014e-009 3.8983e-010 2.4422e-010 3.1759e-010 3.8469e-010 3.1908e-010 1.5313e-010 2.2193e-011 9.1771e-012 8.2820e-011 1.5745e-010 1.7565e-010 1.3774e-010 7.8415e-011 3.0597e-011 6.5350e-012 2.4908e-013 1.1311e-013 1.0554e-013
           3 3.4401e-002 2.8047e-001 9.1938e-002 1.4875e-001 6.5646e-003 3.7519e-002 1.0425e-001 1.1259e-001 8.3436e-002 5.0288e-002 2.6595e-002 1.2879e-002 5.8751e-003 2.5738e-003 1.0944e-003 4.5410e-004 1.8484e-004 7.4458e-005 2.9984e-005 1.2123e-005 4.8866e-006 1.9323e-006 7.3901e-007 2.7413e-007 1.0193e-007 4.0371e-008 1.7933e-008 8.7916e-009 4.3049e-009 1.8062e-009 5.1367e-010 4.6015e-011 1.6801e-011 9.3641e-011 1.1302e-010 6.9688e-011 1.9792e-011 1.3696e-013 8.3085e-012 2.2843e-011 2.6382e-011 1.5154e-011 4.9742e-012
           4 3.9504e-003 9.9979e-002 3.0708e-001 7.4635e-003 1.4294e-001 5.1768e-002 1.2120e-003 4.9423e-002 9.0295e-002 8.9893e-002 6.6974e-002 4.2000e-002 2.3547e-002 1.2235e-002 6.0232e-003 2.8490e-003 1.3084e-003 5.8898e-004 2.6183e-004 1.1539e-004 5.0416e-005 2.1817e-005 9.3721e-006 4.0246e-006 1.7440e-006 7.6646e-007 3.3955e-007 1.4890e-007 6.3058e-008 2.5248e-008 9.5086e-009 3.4626e-009 1.3189e-009 5.9161e-010 3.3626e-010 2.2831e-010 1.6098e-010 1.0417e-010 5.6972e-011 2.4825e-011 8.1999e-012 1.9451e-012 4.3186e-013
           5 1.9879e-004 1.5109e-002 1.7404e-001 2.6639e-001 6.9767e-003 9.1239e-002 8.7556e-002 8.6442e-003 1.2223e-002 5.5225e-002 7.7980e-002 7.2550e-002 5.3870e-002 3.4757e-002 2.0408e-002 1.1208e-002 5.8620e-003 2.9598e-003 1.4581e-003 7.0576e-004 3.3694e-004 1.5905e-004 7.4492e-005 3.4789e-005 1.6282e-005 7.6504e-006 3.5991e-006 1.6851e-006 7.8098e-007 3.5831e-007 1.6407e-007 7.6153e-008 3.6423e-008 1.8087e-008 9.2400e-009 4.7312e-009 2.3434e-009 1.0818e-009 4.4956e-010 1.6335e-010 5.0683e-011 1.2583e-011 2.9433e-012
           6 2.0745e-006 8.1107e-004 3.2771e-002 2.3868e-001 2.0480e-001 3.8801e-002 4.1715e-002 9.3652e-002 3.1901e-002 9.2677e-005 2.4697e-002 5.5985e-002 6.6539e-002 5.8618e-002 4.3344e-002 2.8591e-002 1.7406e-002 9.9986e-003 5.5088e-003 2.9466e-003 1.5420e-003 7.9300e-004 4.0230e-004 2.0231e-004 1.0141e-004 5.0872e-005 2.5552e-005 1.2816e-005 6.3980e-006 3.1779e-006 1.5779e-006 7.9044e-007 4.0344e-007 2.1085e-007 1.1243e-007 6.0426e-008 3.2213e-008 1.6784e-008 8.4617e-009 4.0952e-009 1.8434e-009 6.4814e-010 1.7929e-010
           7 3.9968e-008 4.4255e-006 1.6873e-003 5.2990e-002 2.8886e-001 1.5189e-001 6.8168e-002 1.2614e-002 7.9272e-002 5.0563e-002 4.8075e-003 6.6515e-003 3.3524e-002 5.3067e-002 5.5865e-002 4.7251e-002 3.4809e-002 2.3335e-002 1.4636e-002 8.7490e-003 5.0456e-003 2.8319e-003 1.5580e-003 8.4544e-004 4.5461e-004 2.4292e-004 1.2919e-004 6.8494e-005 3.6288e-005 1.9273e-005 1.0291e-005 5.5323e-006 2.9919e-006 1.6246e-006 8.8420e-007 4.8231e-007 2.6424e-007 1.4581e-007 8.1018e-008 4.4758e-008 2.3220e-008 9.0771e-009 2.6225e-009
           8 2.9534e-008 3.6411e-007 7.3624e-007 2.2536e-003 7.0690e-002 3.2835e-001 1.1878e-001 8.2983e-002 1.5412e-003 5.8645e-002 5.8234e-002 1.5256e-002 2.9758e-004 1.6488e-002 3.7602e-002 4.7845e-002 4.6205e-002 3.7833e-002 2.7772e-002 1.8895e-002 1.2165e-002 7.5155e-003 4.5026e-003 2.6379e-003 1.5208e-003 8.6656e-004 4.8945e-004 2.7485e-004 1.5392e-004 8.6233e-005 4.8433e-005 2.7297e-005 1.5438e-005 8.7628e-006 4.9970e-006 2.8683e-006 1.6611e-006 9.7102e-007 5.7041e-007 3.3077e-007 1.7803e-007 7.1122e-008 2.0711e-008
           9 2.2090e-008 1.2344e-008 1.8600e-006 1.1486e-005 1.8982e-003 8.0823e-002 3.6336e-001 1.0732e-001 8.3240e-002 1.3476e-004 4.0642e-002 5.6997e-002 2.4161e-002 1.0151e-003 6.3189e-003 2.4114e-002 3.7657e-002 4.1488e-002 3.7566e-002 2.9984e-002 2.1972e-002 1.5147e-002 9.9704e-003 6.3357e-003 3.9254e-003 2.3901e-003 1.4369e-003 8.5498e-004 5.0449e-004 2.9621e-004 1.7385e-004 1.0240e-004 6.0646e-005 3.6087e-005 2.1539e-005 1.2880e-005 7.7200e-006 4.6426e-006 2.7935e-006 1.6549e-006 9.0729e-007 3.6699e-007 1.0739e-007
