   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
           0 9.9480e-001 5.0489e-003 1.1904e-004 2.3404e-005 8.5643e-006 1.6558e-006 5.2974e-007 5.1700e-007 1.6368e-009 8.9439e-008 6.3829e-008 7.1238e-009 1.6665e-009 8.4023e-009 8.8563e-009 5.9888e-009 3.3040e-009 1.5662e-009 5.2074e-010
           1 3.8124e-003 8.5807e-001 1.3687e-001 5.0454e-004 6.6488e-004 4.5745e-006 4.9881e-005 8.8695e-006 1.5475e-006 4.4353e-006 1.4252e-006 2.0518e-008 2.1119e-007 4.0702e-007 3.3860e-007 2.0049e-007 9.8701e-008 4.1919e-008 1.2838e-008
           2 1.0636e-003 9.5666e-002 5.7126e-001 3.1236e-001 1.8181e-002 6.0129e-004 7.1447e-004 8.0320e-007 7.9566e-005 4.1636e-005 1.9807e-006 3.2521e-006 7.4775e-006 5.4729e-006 2.3909e-006 7.1495e-007 1.3735e-007 1.1173e-008 1.4580e-011
           3 3.0357e-004 3.6058e-002 2.3106e-001 4.1437e-001 2.6458e-001 5.1413e-002 7.5957e-004 8.6314e-004 4.3594e-004 9.6168e-006 3.9490e-005 5.5861e-005 2.4528e-005 4.2936e-006 1.2278e-008 7.7724e-007 1.4962e-006 1.3565e-006 6.2949e-007
           4 7.7544e-006 4.6031e-003 5.8160e-002 2.3389e-001 4.0525e-001 2.2480e-001 6.7243e-002 5.0165e-003 9.1611e-005 5.8225e-004 2.2940e-004 1.3516e-005 9.4145e-006 2.7412e-005 2.4770e-005 1.5447e-005 8.0957e-006 3.7024e-006 1.2045e-006
           5 1.0598e-005 2.3805e-004 2.3291e-004 3.5093e-002 2.8603e-001 4.3731e-001 1.5407e-001 7.5228e-002 1.0598e-002 2.1708e-004 2.7407e-004 3.9372e-004 1.6708e-004 3.1851e-005 8.1061e-007 2.2506e-006 5.7319e-006 5.6136e-006 2.6824e-006
           6 1.1971e-007 1.6110e-004 1.8962e-003 1.9759e-003 1.3534e-002 2.6924e-001 5.4177e-001 8.0464e-002 7.5873e-002 1.3225e-002 1.1004e-003 9.1839e-006 2.2632e-004 2.2323e-004 1.2527e-004 5.5112e-005 2.0909e-005 6.9661e-006 1.7771e-006
           7 1.1623e-006 1.0048e-004 1.5894e-004 7.4435e-004 1.0067e-002 1.8225e-004 1.9732e-001 6.8041e-001 2.0617e-002 7.3902e-002 1.3880e-002 1.9102e-003 7.3390e-005 3.9465e-005 1.1506e-004 1.1387e-004 8.0984e-005 4.6397e-005 1.7327e-005
           8 4.7020e-007 6.5950e-006 3.3306e-005 7.5696e-004 2.0384e-004 1.1444e-002 2.4833e-002 8.4161e-002 7.8841e-001 1.7545e-004 7.1223e-002 1.5166e-002 2.7010e-003 3.3737e-004 6.3634e-006 1.5834e-005 3.6713e-005 3.4334e-005 1.6065e-005
           9 3.2779e-008 4.9266e-006 1.0714e-004 1.3661e-004 4.9729e-004 3.7878e-003 2.8209e-003 6.1397e-002 1.1659e-002 8.2153e-001 9.6383e-003 6.5256e-002 1.7667e-002 3.9874e-003 8.5272e-004 1.4668e-004 1.6521e-005 3.2500e-007 1.8402e-007
          10 2.8818e-008 1.2813e-005 5.9134e-005 4.1633e-007 5.9701e-004 9.1602e-005 6.9475e-003 1.7353e-003 6.6896e-002 3.1199e-003 8.0038e-001 3.7546e-002 5.3159e-002 2.0225e-002 6.0273e-003 1.8364e-003 5.6751e-004 1.7924e-004 4.7287e-005
          11 1.0673e-007 8.3569e-006 1.1224e-005 3.6605e-005 2.2042e-004 2.2419e-004 2.3640e-003 3.0263e-003 1.6727e-002 4.2030e-002 3.3531e-002 7.5114e-001 7.8564e-002 3.5790e-002 2.0645e-002 8.4769e-003 3.3683e-003 1.3119e-003 3.9932e-004
          12 1.0834e-007 2.5806e-006 4.3673e-009 4.4868e-005 3.0145e-005 3.7344e-004 1.9603e-004 4.2294e-003 1.6783e-004 3.0352e-002 1.2628e-002 7.3722e-002 6.9154e-001 1.2805e-001 1.8021e-002 1.6519e-002 9.2259e-003 4.3938e-003 1.4695e-003
          13 6.1571e-008 2.6965e-007 2.6534e-006 2.7920e-005 9.7922e-008 2.3843e-004 2.1759e-005 1.9875e-003 1.4142e-003 7.3672e-003 2.6178e-002 3.4442e-005 1.0350e-001 6.2625e-001 1.8830e-001 6.3019e-003 8.4715e-003 5.9502e-003 2.3828e-003
          14 2.2458e-008 1.6523e-008 4.4203e-006 1.2134e-005 8.1466e-006 1.0325e-004 1.1795e-004 5.6166e-004 2.0581e-003 5.3727e-004 1.5056e-002 9.3199e-003 8.2243e-003 1.1673e-001 5.3266e-001 2.8145e-001 3.8117e-003 1.8530e-003 1.1242e-003
          15 5.4476e-009 1.2705e-007 3.2949e-006 4.0174e-006 9.8817e-006 3.4645e-005 1.0463e-004 1.1010e-004 1.2499e-003 1.5475e-005 5.3785e-003 9.0796e-003 2.4208e-006 2.3363e-002 1.1543e-001 3.3111e-001 4.6791e-001 2.9427e-002 2.1711e-005
          16 8.0515e-010 6.1884e-008 1.0037e-006 8.0400e-007 3.4970e-006 7.0748e-006 3.3087e-005 1.4440e-005 3.3780e-004 4.3819e-005 1.1005e-003 2.8037e-003 2.3476e-004 3.5491e-003 2.0312e-002 6.9926e-002 2.4321e-002 5.0254e-001 3.6479e-001
