   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
           0 4.2248e-001 3.2715e-001 1.5787e-001 6.1553e-002 2.1220e-002 6.7829e-003 2.0734e-003 6.1606e-004 1.7886e-004 5.0992e-005 1.4503e-005 4.2099e-006 1.2518e-006 3.6562e-007 9.6267e-008 2.0736e-008 3.5466e-009 6.7125e-010 3.3723e-010 3.5462e-010 2.9677e-010 1.1572e-010 1.7251e-012 5.7517e-011 1.7078e-010 1.9533e-010 1.1730e-010 2.7270e-011 9.2452e-013 3.7653e-011 8.7299e-011 1.0613e-010 8.6053e-011 4.7071e-011 1.4150e-011 3.9402e-013 4.2093e-012 1.5876e-011 2.5603e-011 2.8016e-011 2.2319e-011 1.0926e-011 3.4098e-012
           1 3.8603e-001 6.0525e-003 1.6976e-001 1.9982e-001 1.3002e-001 6.4450e-002 2.7409e-002 1.0606e-002 3.8501e-003 1.3336e-003 4.4755e-004 1.4814e-004 4.8999e-005 1.6160e-005 5.2168e-006 1.6177e-006 4.8538e-007 1.4866e-007 5.0347e-008 1.9130e-008 7.1176e-009 1.9091e-009 1.4468e-010 8.4970e-011 3.5513e-010 3.3075e-010 1.1714e-010 1.2609e-012 5.2040e-011 1.4385e-010 1.6026e-010 9.8379e-011 2.6545e-011 2.1140e-014 2.2675e-011 6.3356e-011 9.0147e-011 9.0612e-011 7.1114e-011 4.5239e-011 2.3230e-011 8.4497e-012 2.3398e-012
           2 1.5440e-001 2.7629e-001 6.4230e-002 2.4075e-002 1.2778e-001 1.4558e-001 1.0285e-001 5.7157e-002 2.7535e-002 1.2065e-002 4.9462e-003 1.9348e-003 7.3259e-004 2.7141e-004 9.9235e-005 3.6059e-005 1.3075e-005 4.7231e-006 1.6855e-006 5.8749e-007 1.9865e-007 6.5577e-008 2.1608e-008 7.2753e-009 2.4707e-009 7.6418e-010 1.6021e-010 4.3647e-012 2.3780e-011 7.2842e-011 8.7039e-011 6.4148e-011 3.0211e-011 7.1319e-012 3.8607e-014 2.4082e-012 6.1355e-012 7.2158e-012 5.7517e-012 3.4508e-012 1.6016e-012 5.2807e-013 1.3950e-013
           3 3.2865e-002 2.7511e-001 9.4499e-002 1.4868e-001 5.5519e-003 4.1288e-002 1.0870e-001 1.1404e-001 8.2644e-002 4.8993e-002 2.5638e-002 1.2331e-002 5.5783e-003 2.4069e-003 1.0009e-003 4.0570e-004 1.6245e-004 6.5048e-005 2.6173e-005 1.0518e-005 4.1612e-006 1.5985e-006 5.9387e-007 2.1598e-007 7.9015e-008 2.9944e-008 1.1835e-008 4.7085e-009 1.7389e-009 5.2092e-010 9.3774e-011 1.1975e-012 1.5200e-011 3.9340e-011 4.8543e-011 4.5685e-011 3.8149e-011 3.0278e-011 2.3339e-011 1.7129e-011 1.1062e-011 4.9270e-012 1.4928e-012
           4 3.9386e-003 9.8420e-002 3.0261e-001 7.5448e-003 1.4274e-001 5.1718e-002 1.4331e-003 5.2147e-002 9.3815e-002 9.1697e-002 6.6987e-002 4.1330e-002 2.2949e-002 1.1885e-002 5.8435e-003 2.7482e-003 1.2426e-003 5.4480e-004 2.3469e-004 1.0075e-004 4.3573e-005 1.9066e-005 8.4260e-006 3.7366e-006 1.6436e-006 7.0374e-007 2.8497e-007 1.0479e-007 3.3143e-008 8.4063e-009 1.5958e-009 2.5692e-010 1.0342e-010 1.9394e-010 4.3035e-010 6.9277e-010 8.1549e-010 7.3698e-010 5.2707e-010 3.0204e-010 1.3756e-010 4.5001e-011 1.1856e-011
           5 2.5210e-004 1.6163e-002 1.7669e-001 2.6752e-001 6.1759e-003 9.0412e-002 8.5136e-002 8.2095e-003 1.2632e-002 5.6359e-002 7.9256e-002 7.2986e-002 5.3277e-002 3.3723e-002 1.9519e-002 1.0660e-002 5.5837e-003 2.8276e-003 1.3896e-003 6.6387e-004 3.0851e-004 1.3979e-004 6.2318e-005 2.7860e-005 1.2836e-005 6.2407e-006 3.2109e-006 1.7043e-006 8.9152e-007 4.3616e-007 1.8923e-007 6.8359e-008 1.8481e-008 2.7866e-009 1.5295e-011 3.9490e-010 7.4356e-010 6.4599e-010 3.7949e-010 1.6353e-010 5.1828e-011 1.1737e-011 2.5386e-012
           6 2.4705e-006 8.5838e-004 3.3059e-002 2.3924e-001 2.1097e-001 3.5463e-002 4.4749e-002 9.1857e-002 2.9166e-002 2.7270e-004 2.6050e-002 5.7041e-002 6.6908e-002 5.8212e-002 4.2358e-002 2.7426e-002 1.6399e-002 9.2881e-003 5.0789e-003 2.7153e-003 1.4262e-003 7.3474e-004 3.6990e-004 1.8171e-004 8.7388e-005 4.1466e-005 1.9617e-005 9.3637e-006 4.5692e-006 2.3135e-006 1.2335e-006 6.9845e-007 4.1781e-007 2.5833e-007 1.5961e-007 9.4841e-008 5.2212e-008 2.5663e-008 1.0817e-008 3.7237e-009 9.9116e-010 1.9558e-010 3.9431e-011
           7 9.5663e-007 4.0338e-007 1.2571e-003 4.9504e-002 2.8428e-001 1.5625e-001 6.6431e-002 1.4559e-002 8.1092e-002 4.9127e-002 3.9524e-003 7.7536e-003 3.5552e-002 5.5000e-002 5.7106e-002 4.7683e-002 3.4633e-002 2.2847e-002 1.4096e-002 8.3125e-003 4.7548e-003 2.6609e-003 1.4636e-003 7.9345e-004 4.2484e-004 2.2479e-004 1.1739e-004 6.0418e-005 3.0666e-005 1.5438e-005 7.8001e-006 4.0207e-006 2.1481e-006 1.2003e-006 7.0072e-007 4.2304e-007 2.6042e-007 1.6118e-007 9.8928e-008 5.8968e-008 3.2161e-008 1.2901e-008 3.7595e-009
           8 2.9447e-008 1.5595e-006 1.5112e-006 1.9815e-003 6.9303e-002 3.2685e-001 1.2035e-001 8.2865e-002 2.0259e-003 6.0289e-002 5.7456e-002 1.4068e-002 5.0552e-004 1.7593e-002 3.8783e-002 4.8714e-002 4.6669e-002 3.7881e-002 2.7479e-002 1.8424e-002 1.1684e-002 7.1222e-003 4.2235e-003 2.4603e-003 1.4179e-003 8.1112e-004 4.6039e-004 2.5868e-004 1.4360e-004 7.8748e-005 4.2752e-005 2.3054e-005 1.2398e-005 6.6795e-006 3.6273e-006 2.0014e-006 1.1325e-006 6.6191e-007 3.9881e-007 2.4216e-007 1.3743e-007 5.7132e-008 1.6909e-008
           9 2.8237e-008 1.4172e-006 1.0274e-006 1.4954e-006 1.9569e-003 8.0052e-002 3.5966e-001 1.0598e-001 8.4793e-002 6.6396e-005 4.2122e-002 5.7411e-002 2.3465e-002 7.6351e-004 7.0372e-003 2.5318e-002 3.8869e-002 4.2404e-002 3.8093e-002 3.0163e-002 2.1885e-002 1.4902e-002 9.6805e-003 6.0791e-003 3.7320e-003 2.2581e-003 1.3529e-003 8.0470e-004 4.7593e-004 2.8035e-004 1.6465e-004 9.6391e-005 5.6185e-005 3.2566e-005 1.8776e-005 1.0795e-005 6.2172e-006 3.6035e-006 2.1017e-006 1.2156e-006 6.5580e-007 2.6303e-007 7.6751e-008
          10 4.2170e-008 6.7924e-008 2.2837e-007 4.3158e-007 7.5069e-005 8.4960e-004 8.0548e-002 3.9434e-001 1.1383e-001 7.5099e-002 1.6462e-003 2.9066e-002 5.1665e-002 2.8615e-002 3.8762e-003 1.8894e-003 1.4997e-002 2.8749e-002 3.5653e-002 3.5216e-002 3.0213e-002 2.3546e-002 1.7099e-002 1.1776e-002 7.8050e-003 5.0361e-003 3.1887e-003 1.9923e-003 1.2344e-003 7.6206e-004 4.7034e-004 2.9056e-004 1.7946e-004 1.1060e-004 6.7947e-005 4.1623e-005 2.5461e-005 1.5558e-005 9.4595e-006 5.6275e-006 3.0826e-006 1.2437e-006 3.6347e-007
          11 3.2869e-010 3.9960e-007 2.0139e-006 1.1296e-006 2.9404e-006 2.9429e-004 1.1300e-006 6.5054e-002 4.2208e-001 1.4790e-001 5.6543e-002 3.4589e-003 2.1428e-002 4.4783e-002 3.0272e-002 7.0615e-003 1.7924e-004 8.4410e-003 2.0723e-002 2.9059e-002 3.1243e-002 2.8755e-002 2.3847e-002 1.8318e-002 1.3298e-002 9.2708e-003 6.2742e-003 4.1499e-003 2.6984e-003 1.7364e-003 1.1127e-003 7.1273e-004 4.5666e-004 2.9244e-004 1.8714e-004 1.1977e-004 7.6741e-005 4.9172e-005 3.1299e-005 1.9394e-005 1.0968e-005 4.5115e-006 1.3279e-006
          12 2.9769e-008 2.4059e-007 4.9455e-007 8.4104e-010 3.2321e-010 1.1033e-007 5.9609e-004 1.9018e-003 3.7322e-002 4.3115e-001 2.1779e-001 3.0786e-002 4.9286e-003 1.8331e-002 3.7765e-002 2.9074e-002 8.7682e-003 4.1687e-005 4.6731e-003 1.4685e-002 2.2911e-002 2.6551e-002 2.5919e-002 2.2615e-002 1.8244e-002 1.3888e-002 1.0117e-002 7.1308e-003 4.9052e-003 3.3144e-003 2.2114e-003 1.4640e-003 9.6570e-004 6.3657e-004 4.2002e-004 2.7753e-004 1.8356e-004 1.2123e-004 7.9346e-005 5.0407e-005 2.9095e-005 1.2125e-005 3.5867e-006
          13 1.1393e-008 6.2095e-009 1.2674e-008 3.6824e-007 8.1830e-008 1.2043e-006 2.7947e-005 5.2256e-004 8.6453e-003 7.3436e-003 3.9046e-001 3.3205e-001 5.7558e-003 7.5009e-003 1.9985e-002 3.0539e-002 2.6314e-002 8.8017e-003 2.8557e-004 2.6819e-003 1.0553e-002 1.7876e-002 2.1976e-002 2.2500e-002 2.0449e-002 1.7164e-002 1.3584e-002 1.0263e-002 7.4886e-003 5.3327e-003 3.7283e-003 2.5684e-003 1.7507e-003 1.1870e-003 8.0408e-004 5.4497e-004 3.6917e-004 2.4911e-004 1.6614e-004 1.0726e-004 6.2720e-005 2.6358e-005 7.8217e-006
