   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
           0 7.7349e-002 2.4963e-001 3.2823e-001 2.2881e-001 9.1750e-002 2.1323e-002 2.7193e-003 1.6291e-004 2.8764e-006 6.9958e-010 3.1135e-009 1.8577e-009 1.6267e-009 9.4032e-013 5.5822e-010 7.9977e-011 3.3821e-011 7.7585e-011 1.3570e-011
           1 1.4903e-001 1.8152e-001 1.2356e-002 9.1714e-002 2.6578e-001 2.1112e-001 7.5038e-002 1.2619e-002 8.6903e-004 1.2962e-005 7.9300e-008 1.6695e-008 5.0027e-009 5.2723e-009 1.8915e-010 1.5550e-009 8.6555e-010 8.6757e-011 1.4412e-012
           2 1.7270e-001 5.0057e-002 4.9959e-002 1.3118e-001 1.7985e-003 1.3856e-001 2.7000e-001 1.5031e-001 3.2886e-002 2.4917e-003 2.4261e-005 1.0487e-006 2.4596e-008 4.4152e-009 1.0061e-008 2.3791e-009 7.4187e-010 1.4510e-009 2.2150e-010
           3 1.5826e-001 7.8486e-004 1.0444e-001 1.2285e-002 8.6797e-002 7.3824e-002 2.4694e-002 2.4516e-001 2.2539e-001 6.3392e-002 4.9691e-003 1.5272e-005 5.5893e-006 2.0206e-008 3.0716e-011 1.4469e-008 5.3676e-009 2.5545e-010 4.3469e-014
           4 1.2730e-001 1.3203e-002 7.4222e-002 1.4975e-002 8.0711e-002 7.3375e-003 1.1806e-001 2.5400e-003 1.7025e-001 2.8319e-001 1.0077e-001 7.4089e-003 3.0825e-006 1.4779e-005 9.8784e-007 7.5350e-008 4.0094e-009 1.4679e-008 2.3619e-009
           5 9.4757e-002 4.0571e-002 2.6303e-002 5.6756e-002 1.3041e-002 6.9252e-002 1.4226e-002 8.3814e-002 4.2271e-002 9.1515e-002 3.1955e-001 1.3966e-001 8.0750e-003 1.9133e-004 1.0965e-005 5.9984e-006 1.4114e-006 2.2514e-007 1.5149e-008
           6 6.7335e-002 5.9191e-002 2.3181e-003 6.3021e-002 3.2309e-003 5.7918e-002 1.5128e-002 5.9176e-002 2.7505e-002 8.6123e-002 3.6867e-002 3.4245e-001 1.7342e-001 5.3390e-003 9.7482e-004 1.0469e-005 3.7879e-006 3.5550e-006 4.8072e-007
           7 4.6585e-002 6.4900e-002 2.0137e-003 4.1526e-002 2.7262e-002 1.5128e-002 5.2466e-002 1.8675e-003 7.2355e-002 6.7284e-004 1.0234e-001 1.0383e-002 3.6695e-001 1.9254e-001 6.2595e-004 2.0100e-003 3.3062e-004 3.6882e-005 2.0718e-006
           8 3.1780e-002 6.1331e-002 1.2223e-002 1.7746e-002 4.2691e-002 9.1835e-006 4.5231e-002 1.4873e-002 2.8189e-002 4.7050e-002 8.5817e-003 9.1202e-002 2.1759e-003 4.1045e-001 1.8005e-001 3.8440e-003 8.0569e-004 6.9596e-004 8.8187e-005
           9 2.1559e-002 5.3093e-002 2.2862e-002 3.8680e-003 4.0108e-002 9.2778e-003 1.8171e-002 3.7807e-002 2.2500e-004 4.8788e-002 1.5089e-002 2.9444e-002 6.7375e-002 1.4653e-003 4.8678e-001 1.1313e-001 2.6802e-002 2.1545e-003 7.8862e-005
          10 1.4623e-002 4.3491e-002 2.9599e-002 3.9484e-006 2.8043e-002 2.2008e-002 2.0581e-003 3.6193e-002 1.0093e-002 1.5868e-002 4.1986e-002 5.0054e-004 4.3565e-002 4.3040e-002 8.6330e-003 5.7671e-001 1.4892e-002 2.9111e-002 3.7737e-003
          11 9.9449e-003 3.4327e-002 3.1842e-002 1.8931e-003 1.5524e-002 2.7533e-002 8.3308e-004 2.0894e-002 2.4413e-002 2.8586e-004 3.2470e-002 2.0254e-002 3.5590e-003 4.5099e-002 2.2559e-002 5.2015e-002 5.5225e-001 4.3418e-002 9.1559e-004
          12 6.7828e-003 2.6361e-002 3.0562e-002 5.5186e-003 6.7426e-003 2.5668e-002 6.2202e-003 7.5202e-003 2.6799e-002 4.1310e-003 1.2061e-002 3.0311e-002 3.9287e-003 1.2421e-002 3.7937e-002 5.2636e-003 2.0511e-001 1.9000e-001 3.3587e-002
          13 4.6225e-003 1.9741e-002 2.7005e-002 8.4535e-003 2.0892e-003 2.0003e-002 1.1107e-002 1.1888e-003 2.0392e-002 1.1708e-002 1.4207e-003 2.2685e-002 1.5401e-002 8.3727e-005 1.7200e-002 3.0732e-002 7.2977e-003 3.7520e-001 1.0615e-002
          14 3.1120e-003 1.4307e-002 2.2136e-002 9.6567e-003 3.2227e-004 1.3709e-002 1.2755e-002 1.6647e-005 1.2240e-002 1.4652e-002 2.4257e-004 1.1323e-002 1.8430e-002 3.1472e-003 3.3126e-003 1.5340e-002 3.5748e-002 1.4710e-001 1.8271e-002
          15 2.0042e-003 9.7366e-003 1.6468e-002 8.8789e-003 9.1211e-008 8.3767e-003 1.1232e-002 7.0826e-004 6.1098e-003 1.2680e-002 1.9868e-003 4.0608e-003 1.4083e-002 6.7998e-003 2.4713e-005 5.7938e-003 7.9696e-003 1.2490e-001 9.4335e-002
          16 1.0935e-003 5.5124e-003 9.8835e-003 6.0596e-003 7.5611e-005 4.2315e-003 7.2904e-003 1.0552e-003 2.4760e-003 7.8591e-003 2.4531e-003 1.0412e-003 7.6474e-003 5.9564e-003 3.7945e-004 1.5054e-003 4.2717e-003 8.8614e-004 3.4411e-001
