   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
           0 1.5081e-004 7.2113e-004 1.6008e-003 2.3508e-003 2.9362e-003 4.1676e-003 8.2872e-003 2.2105e-002 6.3282e-002 1.5675e-001 2.8091e-001 3.0116e-001 1.4226e-001 1.2185e-002 8.7409e-004 1.1844e-005 5.8044e-005 3.2445e-005 4.1081e-006
           1 3.7823e-002 1.5449e-001 2.6911e-001 2.6458e-001 1.6396e-001 6.8018e-002 1.9652e-002 3.7797e-003 1.5335e-004 7.1948e-004 4.0631e-003 7.3854e-003 5.3397e-003 8.8541e-004 1.0260e-005 6.5725e-006 3.8764e-006 1.3281e-006 1.4403e-007
           2 1.8269e-002 4.6832e-002 3.4857e-002 2.4036e-003 1.4773e-002 6.3017e-002 1.0077e-001 1.1599e-001 1.1179e-001 7.2527e-002 7.6907e-003 4.2693e-002 1.9880e-001 1.5613e-001 1.0872e-002 2.4517e-003 9.0310e-005 2.0313e-006 1.7916e-006
           3 6.3563e-002 1.2522e-001 4.9267e-002 4.8608e-003 1.0413e-001 1.5721e-001 8.6715e-002 1.1320e-002 6.5981e-003 4.2853e-002 4.1313e-002 1.4200e-004 8.3392e-002 1.7692e-001 4.4501e-002 1.3062e-003 1.5365e-004 1.9772e-004 2.8361e-005
           4 5.5922e-002 6.7071e-002 2.9574e-003 3.8236e-002 6.9953e-002 1.1208e-002 1.9944e-002 9.4557e-002 9.4495e-002 2.0707e-002 1.0371e-002 5.6799e-002 1.8502e-003 1.5553e-001 2.7382e-001 1.5864e-002 8.3132e-003 1.3956e-003 9.8158e-005
           5 7.8294e-002 5.5103e-002 2.8045e-003 7.0458e-002 2.9915e-002 1.3271e-002 9.7898e-002 6.7951e-002 8.7854e-004 3.3682e-002 3.8980e-002 4.4459e-004 4.7849e-002 1.9884e-006 2.4788e-001 2.0321e-001 4.0712e-003 6.2105e-004 2.0387e-004
           6 7.3085e-002 2.6016e-002 1.7223e-002 5.3082e-002 3.5716e-004 5.2798e-002 5.0268e-002 2.3670e-004 5.2485e-002 4.2154e-002 7.1302e-004 3.8880e-002 1.9649e-003 4.3893e-002 5.6849e-003 4.0756e-001 8.3727e-002 3.0699e-002 2.6556e-003
           7 7.0049e-002 1.0210e-002 3.1187e-002 2.8912e-002 8.9703e-003 5.4887e-002 3.7060e-003 3.9404e-002 5.3568e-002 1.9042e-004 3.3039e-002 9.3561e-003 2.0789e-002 7.6535e-003 3.2782e-002 4.2138e-002 4.9469e-001 1.3636e-003 5.7185e-004
           8 6.0562e-002 2.4901e-003 3.5083e-002 1.0083e-002 2.3286e-002 2.9445e-002 5.1717e-003 5.2876e-002 8.8324e-003 1.9870e-002 2.3990e-002 3.8824e-003 2.1189e-002 6.1679e-003 1.0872e-002 1.8087e-002 1.8390e-001 3.0540e-001 2.8283e-002
           9 4.5353e-002 1.6654e-004 2.8925e-002 1.7934e-003 2.5480e-002 9.0886e-003 1.7362e-002 2.9262e-002 9.3609e-004 3.0043e-002 2.8706e-003 1.6716e-002 2.9819e-003 1.6380e-002 1.9137e-004 1.0631e-002 6.8432e-004 4.7863e-001 4.5555e-004
          10 2.6842e-002 3.7861e-005 1.7414e-002 6.3746e-005 1.6930e-002 1.5922e-003 1.5885e-002 9.5069e-003 6.1636e-003 1.6864e-002 2.2313e-004 1.2354e-002 1.2091e-004 9.1449e-003 3.7372e-003 1.0899e-003 6.2925e-003 5.2814e-002 2.6643e-001
