   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27
           0 9.9272e-001 7.2766e-003 1.0213e-006 1.7227e-008 2.2530e-006 1.2632e-007 4.0769e-008 4.6120e-009 9.2137e-009 4.3135e-009 1.4541e-009 4.6101e-009 3.3892e-010 1.0922e-009 1.4914e-009 7.6463e-011 5.4559e-010 1.3510e-009 9.3046e-010 2.0774e-010 3.0674e-012 1.6508e-010 3.2879e-010 3.6318e-010 3.0328e-010 2.1268e-010 1.2880e-010 6.2730e-011
           1 6.8587e-003 9.3061e-001 5.9997e-002 2.4902e-003 3.6352e-005 4.4030e-006 8.4778e-006 9.5942e-008 7.2184e-007 6.0224e-009 1.7152e-007 1.2766e-008 2.7847e-008 3.2931e-008 3.9272e-009 1.1034e-009 3.7878e-009 2.2627e-009 5.5819e-010 3.0074e-011 2.1081e-011 8.3617e-011 1.1617e-010 1.2087e-010 1.0903e-010 8.7948e-011 6.1932e-011 3.3979e-011
           2 3.0586e-004 4.6228e-002 5.3095e-001 3.9599e-001 2.6403e-002 2.1390e-005 4.7671e-005 3.9708e-005 1.2003e-005 1.8814e-006 2.9945e-006 2.9779e-008 5.0488e-007 3.6031e-007 1.4145e-008 5.9722e-008 1.2152e-007 6.8234e-008 1.0604e-008 1.3056e-009 1.4164e-008 2.1708e-008 1.9471e-008 1.3179e-008 7.3880e-009 3.5839e-009 1.5350e-009 5.6298e-010
           3 8.7566e-005 1.0521e-002 2.2727e-001 1.6795e-001 4.8893e-001 1.0320e-001 1.4342e-003 4.8430e-004 3.9299e-006 7.6481e-005 1.6846e-005 2.8049e-006 8.3691e-006 1.4753e-006 3.0973e-007 1.4296e-006 7.9376e-007 7.2713e-008 4.9419e-008 2.0097e-007 2.1262e-007 1.3316e-007 5.7912e-008 1.7194e-008 2.5393e-009 8.3032e-013 7.1251e-010 9.7582e-010
           4 2.1244e-005 4.2809e-003 1.2425e-001 2.3090e-001 5.0390e-002 3.9331e-001 1.8145e-001 1.4721e-002 1.6620e-004 3.7506e-004 3.0305e-006 8.5476e-005 2.3458e-005 1.0068e-006 1.0731e-005 5.9109e-006 3.9427e-007 4.8045e-007 1.3934e-006 1.1568e-006 5.1916e-007 1.2206e-007 3.9717e-009 1.4447e-008 4.7103e-008 6.2631e-008 5.6349e-008 3.4911e-008
           5 2.2324e-006 1.0170e-003 5.0141e-002 1.5301e-001 2.1455e-001 1.7951e-002 3.0661e-001 2.1536e-001 3.9904e-002 6.2992e-004 5.4031e-004 1.5488e-004 1.5003e-005 7.3575e-005 2.4891e-005 1.4785e-008 6.2783e-006 7.7550e-006 3.4327e-006 4.9999e-007 2.7803e-008 4.3772e-007 7.2488e-007 7.2559e-007 5.7082e-007 3.8611e-007 2.2907e-007 1.1042e-007
           6 9.2046e-008 3.6304e-005 7.0429e-003 4.6834e-002 1.7379e-001 2.3581e-001 4.9388e-003 2.3125e-001 2.2566e-001 6.8430e-002 5.4598e-003 1.0269e-004 4.5306e-004 4.9757e-005 2.3788e-005 6.1531e-005 2.7525e-005 2.1969e-006 1.4042e-006 5.4812e-006 5.7517e-006 3.6420e-006 1.6235e-006 5.0381e-007 8.3687e-008 3.6204e-010 1.4276e-008 2.2008e-008
           7 3.2734e-007 1.8832e-005 2.4187e-005 1.9933e-003 4.4349e-002 2.0890e-001 2.4501e-001 7.9372e-004 1.7359e-001 2.1528e-001 9.3048e-002 1.5873e-002 3.1660e-004 3.6541e-004 2.8705e-004 2.0295e-005 1.7995e-005 4.8035e-005 3.3094e-005 1.0477e-005 8.0733e-007 4.7259e-007 2.2978e-006 3.2295e-006 3.0656e-006 2.3589e-006 1.5382e-006 7.9004e-007
           8 4.1975e-009 3.1229e-006 2.7262e-004 6.6170e-004 2.9735e-004 3.9301e-002 2.2733e-001 2.6316e-001 2.1606e-005 1.2904e-001 1.9539e-001 1.1075e-001 3.0067e-002 2.9790e-003 1.8091e-005 3.6724e-004 1.8916e-004 1.7792e-005 6.7534e-006 3.0917e-005 3.3080e-005 2.1066e-005 9.5251e-006 3.1033e-006 6.1342e-007 2.4074e-008 3.0373e-008 6.8850e-008
           9 1.9279e-008 2.2057e-006 1.0391e-005 5.9918e-005 1.0731e-003 1.6542e-004 3.0855e-002 2.4776e-001 2.7825e-001 9.3271e-004 9.4986e-002 1.7066e-001 1.1945e-001 4.5473e-002 9.1150e-003 4.7102e-004 1.1286e-004 2.9547e-004 1.5913e-004 3.2524e-005 4.6042e-008 8.8762e-006 1.8423e-005 1.9703e-005 1.5952e-005 1.0985e-005 6.6151e-006 3.2270e-006
          10 2.6527e-011 2.5824e-009 2.2833e-005 9.8306e-005 8.4410e-006 9.8338e-004 1.2717e-003 2.2835e-002 2.6195e-001 2.9500e-001 2.9123e-003 6.8736e-002 1.4407e-001 1.2062e-001 5.9366e-002 1.8307e-002 3.0321e-003 8.2083e-005 1.1375e-004 2.2655e-004 1.5652e-004 6.4829e-005 1.6006e-005 1.1939e-006 4.7937e-007 2.5304e-006 3.3566e-006 2.4425e-006
          11 2.8523e-010 6.1303e-007 1.1604e-005 7.0670e-007 9.9333e-005 2.0713e-004 4.9140e-004 2.8094e-003 1.5775e-002 2.7471e-001 3.0938e-001 5.7792e-003 4.8485e-002 1.1824e-001 1.1498e-001 6.9301e-002 2.9161e-002 8.4273e-003 1.4282e-003 5.0142e-005 5.2928e-005 1.4355e-004 1.4096e-004 9.7621e-005 5.6110e-005 2.8574e-005 1.3194e-005 5.2572e-006
          12 4.3267e-010 1.4966e-007 3.4158e-007 1.5491e-005 3.7133e-005 2.0363e-005 4.2581e-004 8.2302e-005 3.9653e-003 1.0101e-002 2.8641e-001 3.2140e-001 9.6918e-003 3.2763e-002 9.3879e-002 1.0400e-001 7.4385e-002 3.9544e-002 1.6208e-002 5.1375e-003 1.1690e-003 1.3619e-004 2.3434e-007 3.8144e-005 6.6696e-005 6.6545e-005 5.0007e-005 2.7798e-005
          13 1.7402e-009 4.6615e-008 3.6483e-006 7.2305e-006 9.6390e-007 7.4563e-005 1.1920e-005 4.8193e-004 2.3589e-005 4.5042e-003 6.1812e-003 2.9735e-001 3.3016e-001 1.4996e-002 2.0608e-002 7.1765e-002 8.9690e-002 7.3969e-002 4.7123e-002 2.4756e-002 1.1149e-002 4.4191e-003 1.5436e-003 4.6495e-004 1.1168e-004 1.7268e-005 6.4677e-007 2.5083e-007
