   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30
           0 9.9632e-001 3.5577e-003 1.1787e-004 2.8086e-006 2.9830e-007 2.0513e-008 1.5795e-009 3.3859e-009 2.8686e-010 5.9623e-010 5.4048e-012 3.4539e-012 1.0197e-009 1.9674e-009 6.6101e-010 1.8352e-014 1.5592e-010 1.1768e-010 2.8457e-011 1.3284e-011 4.6370e-011 1.4019e-010 2.4206e-010 2.7182e-010 2.1994e-010 1.3897e-010 7.0246e-011 2.9251e-011 1.0203e-011 3.0411e-012 3.7894e-013
           1 3.6385e-003 9.9020e-001 5.7448e-003 4.0621e-004 6.0798e-006 1.7771e-006 2.0983e-007 9.9253e-009 9.9278e-009 1.1968e-009 1.6681e-008 7.6412e-010 3.2359e-010 1.2162e-009 4.1920e-009 9.4426e-010 2.7074e-010 1.0923e-009 4.5552e-010 2.8391e-011 1.0745e-012 7.7795e-011 4.3395e-010 8.8470e-010 1.0526e-009 8.9580e-010 5.9404e-010 3.2777e-010 1.5656e-010 6.4492e-011 9.9354e-012
           2 3.9964e-005 6.0248e-003 9.8758e-001 5.2334e-003 1.1128e-003 3.1544e-006 5.4038e-006 7.5381e-007 7.2590e-008 7.0458e-009 2.4857e-009 2.2920e-008 2.3635e-009 7.6304e-010 3.8935e-009 1.0610e-009 1.1459e-009 3.5930e-009 1.2444e-009 2.9799e-013 1.2776e-010 4.2383e-012 6.2707e-010 1.8190e-009 2.3669e-009 2.0271e-009 1.3038e-009 6.8576e-010 3.1064e-010 1.2221e-010 1.8358e-011
           3 6.7870e-010 2.1425e-004 5.6135e-003 9.8975e-001 1.4363e-003 2.9664e-003 3.9501e-006 7.2218e-006 3.9460e-006 4.7625e-008 9.4416e-008 2.5174e-008 4.7779e-009 5.1302e-009 1.1236e-008 2.0988e-008 4.9160e-010 7.2658e-009 9.0678e-009 2.7766e-009 3.8350e-010 2.1104e-010 5.9673e-010 1.0839e-009 1.1143e-009 7.7040e-010 3.9783e-010 1.6935e-010 6.4196e-011 2.2431e-011 3.2022e-012
           4 7.2291e-008 5.3021e-007 9.4373e-004 1.4240e-003 9.8846e-001 1.6762e-003 7.4247e-003 5.2576e-005 1.3561e-007 1.1043e-005 8.2507e-007 2.2913e-007 5.4887e-007 4.6146e-010 1.1004e-007 1.5537e-008 5.0486e-009 5.5886e-009 5.0807e-010 3.7383e-011 7.8636e-010 3.5884e-009 7.8932e-009 9.5145e-009 6.9449e-009 3.2328e-009 8.6165e-010 7.3115e-011 1.1846e-011 5.6548e-011 1.7135e-011
           5 5.7284e-009 2.3235e-007 7.6216e-007 3.1534e-003 2.6264e-003 9.6079e-001 1.9520e-002 1.3810e-002 7.4726e-005 1.0635e-005 6.5657e-006 6.0366e-006 1.4070e-007 7.5243e-007 2.8859e-007 7.2716e-011 5.8214e-008 8.0034e-008 2.8568e-008 7.4789e-013 1.0221e-008 1.0311e-008 1.9368e-009 2.8103e-010 2.8525e-009 4.2850e-009 3.8565e-009 2.7203e-009 1.6464e-009 8.3412e-010 1.4431e-010
           6 1.8959e-009 3.3621e-008 1.8020e-007 1.5103e-005 5.9413e-003 2.7668e-002 8.9870e-001 4.7625e-002 1.9957e-002 5.4817e-005 2.5576e-005 6.7084e-007 7.6368e-006 2.3764e-006 1.1518e-007 4.0450e-007 1.4382e-007 5.9527e-009 4.6941e-008 1.0701e-007 4.9585e-008 2.8464e-009 2.9316e-009 6.5477e-009 4.2255e-009 1.7713e-009 6.5935e-010 2.7252e-010 1.2885e-010 5.9851e-011 1.0111e-011
           7 2.8241e-011 7.9206e-009 5.4343e-007 1.0053e-005 3.7790e-004 5.1180e-003 6.9144e-002 8.1522e-001 8.2699e-002 2.7334e-002 4.4576e-005 3.1749e-005 1.4329e-006 6.1470e-006 5.8347e-006 2.5808e-007 1.3808e-007 3.9279e-007 2.0977e-007 1.9035e-009 5.9699e-008 7.9293e-008 3.5865e-008 8.6675e-009 1.0050e-009 1.5326e-011 7.1371e-010 1.6333e-009 2.0082e-009 1.5552e-009 3.2416e-010
           8 1.3732e-009 4.8344e-009 3.7701e-008 1.9995e-007 2.3948e-005 1.7254e-003 1.6950e-003 1.1861e-001 7.1982e-001 1.2217e-001 3.5863e-002 5.1464e-005 1.9848e-005 9.5481e-006 2.0185e-006 6.8898e-006 2.0314e-006 7.6145e-008 2.5722e-007 4.3571e-007 1.5432e-007 1.0915e-008 3.7033e-009 1.8500e-008 2.6174e-008 2.4031e-008 1.5789e-008 7.7540e-009 2.9406e-009 8.9487e-010 1.1056e-010
           9 6.0796e-010 1.1567e-008 6.2625e-008 1.1337e-006 7.3380e-006 3.5783e-006 3.1855e-003 5.2218e-006 1.6951e-001 6.1437e-001 1.6547e-001 4.7294e-002 1.2046e-004 4.3601e-006 2.0087e-005 4.4476e-009 5.0877e-006 4.1919e-006 8.9154e-007 3.5014e-009 2.8785e-007 3.6493e-007 2.1703e-007 6.9712e-008 7.5520e-009 8.1177e-010 7.2911e-009 1.0176e-008 8.6086e-009 5.1782e-009 9.5950e-010
