   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85          86          87          88          89          90          91          92          93          94          95          96          97          98          99         100         101         102         103         104         105         106         107         108         109         110         111         112         113         114         115         116         117         118         119         120         121         122         123         124
           0 9.9804e-001 1.9393e-003 1.5654e-005 7.6169e-009 1.7980e-008 2.0768e-009 1.0240e-008 1.5824e-009 2.2676e-011 1.1268e-009 1.2446e-052 1.7361e-039 8.5156e-051 4.8490e-049 8.7293e-046 2.4019e-042 8.8950e-031 1.9877e-040 4.9747e-039 4.5065e-037 2.5934e-034 2.5306e-023 3.6925e-033 3.3778e-032 1.2169e-030 3.6507e-028 2.9398e-017 1.5303e-027 7.2361e-027 1.3436e-025 3.0599e-023 5.5990e-013 2.9178e-023 7.3484e-023 6.4724e-022 2.7923e-019 8.0032e-012 3.7718e-021 1.5200e-021 3.6298e-019 5.1796e-013 3.7003e-017 9.7588e-019 9.5985e-017 7.8802e-014 2.4057e-012 1.3209e-013 5.5183e-013 3.5037e-012 5.8623e-012 5.2322e-012 6.0521e-012 7.3217e-012 7.9255e-012 7.7590e-012 7.0665e-012 5.9369e-012 4.4725e-012 2.8794e-012 1.4159e-012 3.6135e-013 3.4512e-015 6.0105e-013 2.3534e-012 5.3926e-012 9.7682e-012 1.5425e-011 2.2204e-011 2.9891e-011 3.8235e-011 4.6913e-011 5.5614e-011 6.3992e-011 7.1639e-011 7.8336e-011 8.3877e-011 8.8074e-011 9.0924e-011 9.2230e-011 9.2039e-011 9.0498e-011 8.7647e-011 8.3733e-011 7.8865e-011 7.3325e-011 6.7259e-011 6.0880e-011 5.4349e-011 4.7839e-011 4.1485e-011 3.5473e-011 2.9872e-011 2.4747e-011 2.0131e-011 1.6063e-011 1.2543e-011 9.5478e-012 7.0641e-012 5.0501e-012 3.4617e-012 2.2481e-012 1.3572e-012 7.3666e-013 3.3615e-013 1.0855e-013 1.1541e-014 7.5141e-015 6.4226e-014 1.5490e-013 2.5809e-013 3.5761e-013 4.4175e-013 5.0314e-013 5.3795e-013 5.4534e-013 5.2678e-013 4.8571e-013 4.2705e-013 3.5626e-013 2.7936e-013 2.0258e-013 1.3167e-013 7.2039e-014 2.8538e-014 4.7705e-015
           1 1.9123e-003 9.9455e-001 3.4661e-003 7.4607e-005 2.8631e-009 1.8864e-007 1.5429e-008 1.0057e-008 1.2922e-009 3.0420e-009 3.6169e-053 4.7400e-040 4.3842e-051 2.1925e-049 1.6352e-046 5.8793e-043 2.5046e-031 6.8292e-041 2.2970e-039 2.6648e-037 1.8890e-034 1.9699e-023 3.2184e-033 3.4509e-032 1.4382e-030 4.9628e-028 4.1723e-017 2.3992e-027 1.3258e-026 2.9600e-025 8.5281e-023 1.6661e-012 1.1213e-022 4.4929e-022 7.9985e-021 1.0692e-017 3.4810e-010 1.2262e-018 6.6663e-018 1.9343e-016 3.2054e-010 2.7638e-014 1.2980e-014 1.2137e-013 1.8394e-011 4.4116e-010 1.3076e-011 3.3082e-011 1.5630e-010 2.1583e-010 1.5948e-010 1.5801e-010 1.7037e-010 1.6981e-010 1.5771e-010 1.4070e-010 1.2032e-010 9.7244e-011 7.3167e-011 4.9997e-011 2.9473e-011 1.3329e-011 3.1433e-012 2.8350e-014 4.5869e-012 1.6955e-011 3.6766e-011 6.3131e-011 9.4832e-011 1.3047e-010 1.6840e-010 2.0704e-010 2.4471e-010 2.7959e-010 3.1060e-010 3.3681e-010 3.5742e-010 3.7241e-010 3.8099e-010 3.8340e-010 3.8028e-010 3.7180e-010 3.5900e-010 3.4231e-010 3.2288e-010 3.0125e-010 2.7825e-010 2.5444e-010 2.3046e-010 2.0677e-010 1.8413e-010 1.6273e-010 1.4280e-010 1.2442e-010 1.0777e-010 9.2851e-011 7.9563e-011 6.7929e-011 5.7822e-011 4.9138e-011 4.1733e-011 3.5480e-011 3.0241e-011 2.5888e-011 2.2287e-011 1.9333e-011 1.6931e-011 1.4994e-011 1.3449e-011 1.2230e-011 1.1290e-011 1.0580e-011 1.0064e-011 9.7134e-012 9.5021e-012 9.4072e-012 9.4107e-012 9.4993e-012 9.6559e-012 9.8646e-012 1.0114e-011 1.0378e-011 1.0612e-011 1.0721e-011 1.0492e-011
           2 4.2034e-005 3.3607e-003 9.9220e-001 4.0821e-003 3.1050e-004 3.0785e-008 1.0658e-007 1.2801e-007 1.4581e-009 1.8562e-008 1.2748e-051 2.1514e-038 2.1270e-049 2.1141e-048 5.0790e-047 6.9931e-044 4.5562e-032 2.3658e-041 1.7740e-039 3.5193e-037 3.6716e-034 4.2898e-023 8.4315e-033 1.1528e-031 5.9003e-030 2.4316e-027 2.1486e-016 1.3714e-026 8.6379e-026 2.1376e-024 6.5684e-022 1.2930e-011 8.6919e-022 3.2029e-021 4.5630e-020 3.9556e-017 1.2257e-009 2.1426e-018 3.2088e-018 4.7863e-018 8.0038e-012 1.3795e-015 2.6052e-015 3.6846e-014 6.0394e-012 1.4351e-010 3.9075e-012 8.1853e-012 3.1250e-011 3.4825e-011 1.8746e-011 1.2310e-011 7.9893e-012 4.1037e-012 1.4463e-012 2.0314e-013 3.6809e-014 4.8772e-013 1.0979e-012 1.5071e-012 1.5165e-012 1.1225e-012 5.1924e-013 5.2866e-014 1.5551e-013 1.2813e-012 3.8386e-012 8.1242e-012 1.4296e-011 2.2371e-011 3.2201e-011 4.3526e-011 5.5968e-011 6.9003e-011 8.2203e-011 9.5141e-011 1.0739e-010 1.1873e-010 1.2872e-010 1.3721e-010 1.4423e-010 1.4964e-010 1.5366e-010 1.5628e-010 1.5781e-010 1.5834e-010 1.5810e-010 1.5720e-010 1.5585e-010 1.5414e-010 1.5244e-010 1.5082e-010 1.4936e-010 1.4807e-010 1.4710e-010 1.4647e-010 1.4611e-010 1.4614e-010 1.4654e-010 1.4731e-010 1.4841e-010 1.4983e-010 1.5152e-010 1.5348e-010 1.5556e-010 1.5772e-010 1.5992e-010 1.6209e-010 1.6419e-010 1.6612e-010 1.6788e-010 1.6936e-010 1.7054e-010 1.7137e-010 1.7181e-010 1.7177e-010 1.7123e-010 1.7021e-010 1.6863e-010 1.6646e-010 1.6370e-010 1.6017e-010 1.5547e-010 1.4863e-010 1.3752e-010
           3 8.0168e-007 1.4962e-004 3.8816e-003 9.9234e-001 2.5161e-003 1.1130e-003 3.9137e-007 7.4218e-007 6.1205e-007 1.5609e-007 3.5513e-050 1.3312e-036 3.0752e-047 1.8871e-045 3.3892e-043 2.6443e-040 6.3503e-029 7.6970e-039 6.8094e-038 1.8682e-036 2.0132e-034 7.9124e-024 1.5828e-035 8.4895e-033 9.2189e-031 4.1659e-028 3.5327e-017 1.8580e-027 6.6349e-027 4.7045e-026 2.5978e-025 5.5734e-014 4.9361e-023 9.0449e-022 4.1232e-020 1.0284e-016 3.4889e-009 1.7222e-017 1.1090e-016 3.2163e-015 4.8716e-009 4.0629e-013 1.5621e-013 1.1491e-012 1.3553e-010 3.0651e-009 7.4747e-011 1.5050e-010 5.9320e-010 7.0774e-010 4.3803e-010 3.6038e-010 3.2325e-010 2.6656e-010 2.0154e-010 1.4193e-010 9.0437e-011 4.8475e-011 1.8331e-011 2.1984e-012 2.0122e-012 1.9300e-011 5.4813e-011 1.0850e-010 1.7964e-010 2.6646e-010 3.6588e-010 4.7373e-010 5.8586e-010 6.9809e-010 8.0555e-010 9.0406e-010 9.8930e-010 1.0565e-009 1.1041e-009 1.1310e-009 1.1364e-009 1.1221e-009 1.0876e-009 1.0356e-009 9.6958e-010 8.9195e-010 8.0699e-010 7.1732e-010 6.2689e-010 5.3799e-010 4.5316e-010 3.7411e-010 3.0231e-010 2.3863e-010 1.8387e-010 1.3783e-010 1.0013e-010 7.0113e-011 4.7015e-011 2.9886e-011 1.7721e-011 9.5704e-012 4.4986e-012 1.6718e-012 3.7017e-013 4.1302e-015 1.1832e-013 3.8734e-013 6.0482e-013 6.6880e-013 5.6451e-013 3.4506e-013 1.1260e-013 3.0724e-017 1.5441e-013 7.2283e-013 1.8406e-012 3.6229e-012 6.1572e-012 9.4984e-012 1.3668e-011 1.8657e-011 2.4418e-011 3.0866e-011 3.7895e-011 4.5314e-011 5.2776e-011 5.9532e-011 6.3892e-011
           4 4.9825e-008 2.9783e-006 4.2565e-004 2.3793e-003 9.9443e-001 9.8875e-006 2.6912e-003 4.3341e-005 1.2078e-005 1.7940e-007 5.8623e-049 1.6570e-035 2.9513e-046 1.1369e-044 1.2169e-042 4.5537e-040 6.9722e-029 2.7786e-039 1.2816e-038 1.0132e-035 1.1523e-032 1.2963e-021 2.2863e-031 2.5137e-030 1.0102e-028 3.2511e-026 2.6632e-015 1.4350e-025 7.1031e-025 1.3831e-023 3.3166e-021 6.1430e-011 3.3215e-021 8.5241e-021 6.7062e-020 1.2442e-017 2.8988e-010 1.0150e-018 5.0630e-017 3.3832e-015 7.8261e-009 7.1534e-013 3.9739e-013 3.8710e-012 5.6748e-010 1.3409e-008 3.7251e-010 8.5111e-010 3.6399e-009 4.5812e-009 2.9775e-009 2.5264e-009 2.2840e-009 1.8521e-009 1.3367e-009 8.6327e-010 4.7334e-010 1.9077e-010 3.3193e-011 4.7659e-012 9.6438e-011 2.8690e-010 5.4501e-010 8.3532e-010 1.1231e-009 1.3752e-009 1.5631e-009 1.6671e-009 1.6804e-009 1.6066e-009 1.4561e-009 1.2473e-009 1.0018e-009 7.4313e-010 4.9694e-010 2.8498e-010 1.2456e-010 2.7711e-011 4.7972e-013 4.3355e-011 1.5157e-010 3.1594e-010 5.2449e-010 7.6267e-010 1.0162e-009 1.2701e-009 1.5116e-009 1.7286e-009 1.9122e-009 2.0548e-009 2.1557e-009 2.2130e-009 2.2275e-009 2.2006e-009 2.1380e-009 2.0446e-009 1.9247e-009 1.7863e-009 1.6346e-009 1.4758e-009 1.3145e-009 1.1555e-009 1.0024e-009 8.5801e-010 7.2407e-010 6.0219e-010 4.9325e-010 3.9748e-010 3.1473e-010 2.4443e-010 1.8582e-010 1.3780e-010 9.9278e-011 6.9072e-011 4.6004e-011 2.8930e-011 1.6799e-011 8.6504e-012 3.6198e-012 9.5851e-013 2.7657e-014 2.9152e-013 1.3035e-012 2.6694e-012 3.9755e-012
           5 1.4424e-008 5.3153e-007 4.2328e-006 1.1218e-003 2.0975e-005 9.9079e-001 4.3349e-003 3.3414e-003 3.6296e-004 6.7210e-006 4.6530e-048 1.0099e-034 1.3534e-045 2.7662e-044 1.0098e-042 7.5358e-042 5.7918e-029 3.7629e-038 1.6394e-036 1.6918e-034 9.4633e-032 8.9455e-021 1.2064e-030 9.3489e-030 2.7094e-028 6.1064e-026 4.4144e-015 1.7089e-025 4.1680e-025 1.7131e-024 1.5862e-022 9.1426e-012 3.8548e-021 5.5394e-020 2.2476e-018 5.1945e-015 1.7524e-007 8.1725e-016 4.9409e-015 1.3300e-013 1.8715e-007 1.5268e-011 5.1718e-012 3.2149e-011 3.0404e-009 6.4674e-008 1.2413e-009 1.7071e-009 4.3733e-009 3.1814e-009 7.4780e-010 3.9861e-011 1.8886e-010 1.1077e-009 2.5992e-009 4.4428e-009 6.4173e-009 8.2836e-009 9.8553e-009 1.1013e-008 1.1665e-008 1.1768e-008 1.1366e-008 1.0555e-008 9.4557e-009 8.1673e-009 6.7890e-009 5.4181e-009 4.1418e-009 3.0197e-009 2.0823e-009 1.3408e-009 7.8755e-010 4.0392e-010 1.6501e-010 4.0649e-011 5.2652e-013 1.6792e-011 6.5746e-011 1.2850e-010 1.9142e-010 2.4530e-010 2.8529e-010 3.0928e-010 3.1795e-010 3.1301e-010 2.9723e-010 2.7346e-010 2.4457e-010 2.1306e-010 1.8132e-010 1.5077e-010 1.2249e-010 9.7067e-011 7.4915e-011 5.6089e-011 4.0446e-011 2.7827e-011 1.7941e-011 1.0503e-011 5.2313e-012 1.8779e-012 2.3510e-013 1.4085e-013 1.4790e-012 4.1726e-012 8.1806e-012 1.3489e-011 2.0105e-011 2.8045e-011 3.7343e-011 4.8013e-011 6.0074e-011 7.3527e-011 8.8347e-011 1.0446e-010 1.2179e-010 1.4023e-010 1.5959e-010 1.7962e-010 2.0009e-010 2.2043e-010 2.3952e-010 2.5479e-010 2.6038e-010
           6 1.0757e-011 1.5244e-007 1.5403e-006 1.1006e-006 2.7126e-003 3.5068e-003 9.7482e-001 1.5492e-002 2.5156e-003 9.1532e-004 9.6340e-048 9.2480e-035 2.3097e-046 2.7019e-044 2.0708e-041 3.1579e-038 9.3303e-027 1.4991e-036 2.1403e-035 1.0706e-033 3.1709e-031 2.3756e-020 2.0081e-030 5.7768e-030 1.6056e-029 1.1336e-026 2.0932e-015 3.4876e-025 4.7400e-024 1.9331e-022 8.7385e-020 1.8656e-009 1.6173e-019 8.2085e-019 1.6311e-017 2.0662e-014 6.6370e-007 1.8257e-015 5.9540e-015 7.6268e-014 4.8438e-008 3.0277e-012 1.0275e-013 1.0013e-012 8.5274e-010 2.5011e-008 1.1806e-009 4.1124e-009 2.2736e-008 3.4216e-008 2.7085e-008 2.7969e-008 3.0734e-008 3.0781e-008 2.8500e-008 2.5291e-008 2.1601e-008 1.7649e-008 1.3747e-008 1.0155e-008 7.0252e-009 4.4546e-009 2.4986e-009 1.1505e-009 3.5304e-010 2.2388e-011 6.6436e-011 3.9102e-010 9.0670e-010 1.5357e-009 2.2126e-009 2.8870e-009 3.5196e-009 4.0774e-009 4.5449e-009 4.9131e-009 5.1761e-009 5.3401e-009 5.3996e-009 5.3622e-009 5.2404e-009 5.0390e-009 4.7738e-009 4.4521e-009 4.0903e-009 3.6975e-009 3.2863e-009 2.8668e-009 2.4503e-009 2.0464e-009 1.6671e-009 1.3183e-009 1.0058e-009 7.3352e-010 5.0472e-010 3.2041e-010 1.8002e-010 8.2136e-011 2.3681e-011 7.3526e-013 8.6277e-012 4.2215e-011 9.6125e-011 1.6503e-010 2.4368e-010 3.2718e-010 4.1119e-010 4.9189e-010 5.6615e-010 6.3138e-010 6.8600e-010 7.2862e-010 7.5876e-010 7.7637e-010 7.8182e-010 7.7567e-010 7.5897e-010 7.3318e-010 6.9944e-010 6.5908e-010 6.1373e-010 5.6422e-010 5.1082e-010 4.5251e-010 3.8619e-010
           7 8.1992e-009 4.7644e-009 3.5781e-007 1.9290e-006 3.4120e-008 4.5506e-003 1.2303e-002 9.4889e-001 3.1408e-002 1.2598e-003 5.3781e-046 1.3042e-032 2.0581e-043 6.9813e-042 7.6042e-040 3.6657e-037 7.1595e-026 6.1715e-036 2.3954e-035 4.6651e-035 1.5615e-031 2.7861e-020 7.6557e-030 1.1543e-028 5.3828e-027 1.8685e-024 1.5520e-013 8.5162e-024 4.1947e-023 7.7754e-022 1.6579e-019 2.9437e-009 1.2965e-019 1.8428e-019 5.9875e-020 3.1575e-015 1.2432e-007 1.6219e-015 1.7397e-014 6.7656e-013 1.1897e-006 1.0226e-010 4.3646e-011 3.3645e-010 3.9593e-008 8.8923e-007 2.0824e-008 3.8531e-008 1.3739e-007 1.4732e-007 7.7133e-008 5.0345e-008 3.3336e-008 1.8068e-008 7.1459e-009 1.4094e-009 2.8792e-011 1.8989e-009 5.8662e-009 1.0863e-008 1.5977e-008 2.0482e-008 2.3928e-008 2.6139e-008 2.7137e-008 2.7012e-008 2.5919e-008 2.4074e-008 2.1737e-008 1.9142e-008 1.6460e-008 1.3832e-008 1.1348e-008 9.0626e-009 7.0305e-009 5.2713e-009 3.7870e-009 2.5743e-009 1.6148e-009 8.9569e-010 3.9980e-010 1.0806e-010 1.3381e-012 5.9209e-011 2.6015e-010 5.8143e-010 9.9931e-010 1.4885e-009 2.0228e-009 2.5747e-009 3.1222e-009 3.6410e-009 4.1099e-009 4.5076e-009 4.8221e-009 5.0425e-009 5.1588e-009 5.1739e-009 5.0893e-009 4.9132e-009 4.6548e-009 4.3278e-009 3.9468e-009 3.5281e-009 3.0857e-009 2.6358e-009 2.1936e-009 1.7718e-009 1.3819e-009 1.0325e-009 7.3064e-010 4.8015e-010 2.8324e-010 1.3983e-010 4.8139e-011 4.8585e-012 5.5008e-012 4.4657e-011 1.1629e-010 2.1395e-010 3.3106e-010 4.6047e-010 5.9354e-010 7.1673e-010 8.0435e-010
           8 3.2501e-009 5.7551e-009 3.9339e-008 1.6487e-006 5.1838e-007 1.2301e-005 5.7611e-003 2.5142e-002 9.1635e-001 5.0443e-002 3.0237e-048 1.9593e-033 1.0105e-043 1.1836e-041 3.0483e-039 3.2478e-036 8.8957e-025 1.3315e-034 1.8204e-033 9.3794e-032 3.0954e-029 2.4730e-018 2.4811e-028 1.2142e-027 2.1003e-026 2.3677e-024 1.2747e-013 1.7272e-024 1.2227e-024 5.4123e-022 4.6907e-019 1.1009e-008 1.2153e-018 7.7349e-018 1.8481e-016 2.7916e-013 9.1058e-006 2.9893e-014 1.2374e-013 2.2292e-012 2.1936e-006 1.6148e-010 3.0514e-011 7.9792e-011 1.2369e-009 1.0104e-008 3.4141e-010 6.8262e-009 6.4194e-008 1.2696e-007 1.2771e-007 1.5935e-007 2.0321e-007 2.3096e-007 2.3987e-007 2.3748e-007 2.2623e-007 2.0721e-007 1.8295e-007 1.5612e-007 1.2857e-007 1.0185e-007 7.7414e-008 5.6266e-008 3.8821e-008 2.5023e-008 1.4644e-008 7.3674e-009 2.8019e-009 5.0352e-010 3.1651e-011 9.7864e-010 2.9799e-009 5.7059e-009 8.8707e-009 1.2229e-008 1.5564e-008 1.8715e-008 2.1502e-008 2.3806e-008 2.5557e-008 2.6677e-008 2.7168e-008 2.7012e-008 2.6274e-008 2.4997e-008 2.3267e-008 2.1173e-008 1.8820e-008 1.6313e-008 1.3783e-008 1.1316e-008 8.9916e-009 6.8740e-009 5.0186e-009 3.4556e-009 2.1971e-009 1.2450e-009 5.8257e-010 1.8344e-010 1.2968e-011 3.1568e-011 1.9760e-010 4.6991e-010 8.0946e-010 1.1809e-009 1.5541e-009 1.9042e-009 2.2125e-009 2.4653e-009 2.6554e-009 2.7786e-009 2.8360e-009 2.8311e-009 2.7701e-009 2.6599e-009 2.5093e-009 2.3281e-009 2.1244e-009 1.9064e-009 1.6825e-009 1.4582e-009 1.2371e-009 1.0202e-009 8.0569e-010
           9 3.7887e-010 1.8903e-010 7.8596e-009 3.6230e-008 3.6893e-006 9.6343e-006 7.2914e-005 6.8948e-003 4.1113e-002 8.7604e-001 3.6412e-044 6.6677e-031 7.7737e-042 1.4323e-040 7.4551e-039 9.8873e-037 5.8092e-026 1.8068e-036 7.6165e-034 1.2200e-031 8.5854e-029 8.6614e-018 1.3039e-027 1.1935e-026 4.1649e-025 1.1914e-022 9.4411e-012 4.7371e-022 2.1271e-021 3.7675e-020 8.2115e-018 1.4869e-007 7.4494e-018 1.7223e-017 1.2133e-016 2.0215e-014 4.6789e-007 1.3707e-015 6.0460e-014 3.4823e-012 7.1035e-006 6.2767e-010 2.9469e-010 2.4087e-009 2.9516e-007 6.6829e-006 1.6049e-007 3.0582e-007 1.1194e-006 1.2308e-006 6.6958e-007 4.6191e-007 3.3148e-007 2.0450e-007 1.0342e-007 3.9034e-008 6.9377e-009 4.0138e-010 1.2379e-008 3.6084e-008 6.5533e-008 9.5727e-008 1.2303e-007 1.4531e-007 1.6163e-007 1.7152e-007 1.7500e-007 1.7255e-007 1.6519e-007 1.5403e-007 1.4001e-007 1.2411e-007 1.0713e-007 8.9727e-008 7.2750e-008 5.6806e-008 4.2370e-008 2.9846e-008 1.9419e-008 1.1259e-008 5.3955e-009 1.7415e-009 1.2812e-010 3.0520e-010 1.9671e-009 4.7748e-009 8.3790e-009 1.2435e-008 1.6622e-008 2.0650e-008 2.4316e-008 2.7445e-008 2.9920e-008 3.1658e-008 3.2661e-008 3.2951e-008 3.2561e-008 3.1600e-008 3.0155e-008 2.8337e-008 2.6244e-008 2.3978e-008 2.1626e-008 1.9268e-008 1.6958e-008 1.4750e-008 1.2682e-008 1.0780e-008 9.0600e-009 7.5271e-009 6.1824e-009 5.0166e-009 4.0200e-009 3.1785e-009 2.4771e-009 1.8994e-009 1.4299e-009 1.0542e-009 7.5791e-010 5.2828e-010 3.5415e-010 2.2534e-010 1.3316e-010 7.0394e-011 3.1121e-011
