   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30
           0 9.9259e-001 6.9649e-003 3.3551e-004 8.6854e-005 2.2576e-005 2.4366e-006 9.4759e-008 2.8400e-007 1.0463e-008 1.7831e-008 5.5810e-010 9.3162e-010 9.0959e-010 1.9232e-009 2.3020e-010 1.1386e-009 2.4993e-009 6.4306e-010 9.7967e-011 7.8748e-010 5.6863e-010 6.0557e-011 5.9024e-011 2.5430e-010 2.7567e-010 1.6098e-010 5.3315e-011 7.1025e-012 9.1306e-014 2.2189e-012 7.8191e-013
           1 7.4129e-003 9.2951e-001 4.6715e-002 1.0868e-002 4.3547e-003 1.0652e-003 4.4384e-005 1.7397e-005 3.5257e-006 1.9530e-006 2.0682e-008 6.2669e-007 1.0489e-007 7.3250e-008 1.1669e-007 1.0796e-008 5.7621e-009 1.2232e-008 6.2127e-009 1.9624e-009 3.4158e-010 2.1512e-011 6.3740e-010 1.4726e-009 1.6786e-009 1.2299e-009 6.1242e-010 2.0554e-010 4.1248e-011 3.5417e-012 4.1868e-014
           2 5.5486e-007 6.0917e-002 5.2657e-001 2.2715e-001 1.2577e-001 5.1574e-002 7.6964e-003 7.1675e-006 2.7739e-004 6.6476e-006 2.4773e-005 9.9411e-006 7.1589e-007 3.6848e-006 8.2441e-007 3.4806e-008 4.5287e-007 3.9903e-007 9.2962e-008 3.6558e-009 8.4791e-008 1.1628e-007 6.9158e-008 1.9265e-008 8.1462e-010 1.8871e-009 6.1640e-009 7.5210e-009 6.2119e-009 3.7547e-009 7.0052e-010
           3 4.0839e-007 2.5594e-003 3.9892e-001 1.6247e-001 2.2830e-001 1.5522e-001 4.9264e-002 2.4756e-003 5.8513e-004 7.7769e-005 9.2857e-005 6.7417e-008 1.6715e-005 6.0223e-006 3.7447e-008 2.0145e-006 1.5432e-006 1.8481e-007 8.9933e-008 3.7265e-007 2.9664e-007 9.4021e-008 4.5919e-009 9.1084e-009 3.0875e-008 3.8868e-008 3.3961e-008 2.4254e-008 1.4912e-008 7.6120e-009 1.3189e-009
           4 1.6018e-006 4.4679e-005 2.7336e-002 4.9113e-001 4.5887e-002 2.0946e-001 1.7659e-001 4.7805e-002 5.5449e-004 1.0303e-003 1.7366e-006 1.0641e-004 3.0510e-005 2.3543e-006 1.2584e-005 4.6054e-006 5.6641e-009 1.4629e-006 1.8693e-006 6.5102e-007 1.5081e-008 1.1143e-007 2.5732e-007 2.3717e-007 1.4263e-007 6.3715e-008 2.0448e-008 4.0106e-009 2.0491e-010 6.1848e-011 4.8813e-011
           5 5.8196e-008 2.3670e-006 1.9505e-005 1.0609e-001 3.9301e-001 1.4518e-002 2.2762e-001 2.1329e-001 4.4060e-002 3.1709e-005 1.0330e-003 1.6293e-004 3.1954e-005 7.3387e-005 1.0519e-005 2.5501e-006 1.0175e-005 5.0799e-006 2.9224e-007 5.0986e-007 1.4089e-006 1.1728e-006 5.0622e-007 9.0421e-008 6.9729e-010 5.3688e-008 1.0698e-007 1.1643e-007 9.2562e-008 5.5131e-008 1.0232e-008
           6 6.9336e-008 7.6146e-006 5.7480e-005 1.5867e-003 1.8627e-001 3.0356e-001 2.8926e-003 2.3355e-001 2.3370e-001 3.6491e-002 7.9323e-004 5.9628e-004 3.8253e-004 3.3244e-006 5.4154e-005 3.9843e-005 4.0990e-006 2.2166e-006 7.8610e-006 5.0555e-006 9.7039e-007 9.7979e-009 5.1507e-007 8.7043e-007 7.9409e-007 5.2962e-007 2.7703e-007 1.1802e-007 4.1671e-008 1.2447e-008 1.5469e-009
           7 2.6455e-009 8.7110e-008 3.3212e-005 4.9848e-004 1.5698e-002 2.2066e-001 2.2626e-001 7.1344e-005 2.4757e-001 2.5707e-001 2.9196e-002 2.0938e-003 1.6269e-004 4.7996e-004 8.6751e-005 7.9574e-006 4.4610e-005 2.6527e-005 2.7708e-006 1.3696e-006 5.4537e-006 4.8576e-006 2.2557e-006 5.1552e-007 6.3115e-009 1.1797e-007 3.1715e-007 3.8669e-007 3.2687e-007 2.0142e-007 3.7924e-008
           8 1.9505e-008 7.0581e-007 1.1646e-005 7.6903e-006 1.4478e-004 4.2312e-002 2.3044e-001 1.6716e-001 7.7226e-004 2.5796e-001 2.7484e-001 2.2503e-002 3.1914e-003 6.1083e-009 3.7997e-004 2.0810e-004 8.7339e-006 1.5934e-005 3.5205e-005 1.9006e-005 2.5857e-006 2.9539e-007 2.6647e-006 3.6476e-006 2.9557e-006 1.7710e-006 8.1306e-007 2.8851e-007 7.7293e-008 1.5500e-008 1.3395e-009
           9 8.7796e-009 6.3518e-009 1.5300e-006 7.1020e-005 4.0671e-004 7.6493e-004 7.2266e-002 2.1880e-001 1.2167e-001 3.2998e-003 2.6908e-001 2.9213e-001 1.6896e-002 3.8327e-003 1.5983e-004 1.8721e-004 2.6926e-004 7.0884e-005 2.4056e-007 1.7609e-005 2.6752e-005 1.5209e-005 4.1451e-006 1.8639e-007 4.2910e-007 1.5284e-006 2.0193e-006 1.8107e-006 1.2763e-006 7.0520e-007 1.2647e-007
