   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27
           0 9.9772e-001 2.2050e-003 6.8408e-005 3.8322e-006 3.0575e-006 3.9560e-008 1.6061e-007 3.0618e-009 1.9336e-008 9.3798e-010 6.0041e-009 2.6905e-009 5.3913e-010 2.7484e-009 7.6430e-010 1.0384e-010 8.7907e-010 7.0838e-010 1.5126e-010 3.0921e-012 1.0317e-010 1.6273e-010 1.3625e-010 8.2136e-011 3.9408e-011 1.5654e-011 5.2399e-012 1.4833e-012
           1 1.9633e-003 9.5801e-001 3.9641e-002 1.4237e-004 2.3063e-004 6.2793e-006 1.0165e-005 6.8189e-007 1.1858e-006 2.8639e-008 2.5270e-007 1.1363e-008 3.8692e-008 3.5507e-008 2.6243e-009 2.4537e-009 6.1248e-009 4.1062e-009 1.4211e-009 1.9437e-010 1.1547e-011 2.1072e-010 4.2331e-010 5.2259e-010 5.0596e-010 4.1448e-010 2.8889e-010 1.5603e-010
           2 2.2855e-004 2.6740e-002 6.0880e-001 3.5227e-001 1.0929e-002 8.6575e-004 8.2693e-005 6.4233e-005 1.1031e-005 4.6280e-006 4.1009e-006 9.5392e-010 8.8882e-007 5.1029e-007 7.4089e-009 1.1915e-007 1.8202e-007 7.5481e-008 3.8659e-009 9.7174e-009 3.0592e-008 3.3593e-008 2.3850e-008 1.2903e-008 5.6067e-009 1.9654e-009 5.4499e-010 1.1842e-010
           3 7.0449e-005 8.9967e-003 2.0282e-001 2.6188e-001 4.6111e-001 6.3913e-002 2.8039e-005 1.0364e-003 9.6059e-009 1.0786e-004 1.2521e-005 7.5212e-006 1.0864e-005 9.2964e-007 9.1331e-007 1.9737e-006 7.7723e-007 2.4335e-008 1.1533e-007 2.7838e-007 2.5044e-007 1.4119e-007 5.4898e-008 1.3323e-008 9.2119e-010 4.7961e-010 2.1145e-009 2.1427e-009
           4 1.4970e-005 3.4329e-003 1.1036e-001 2.3157e-001 1.3221e-001 3.9350e-001 1.2349e-001 3.5892e-003 1.2622e-003 3.9566e-004 2.8220e-005 1.0517e-004 1.3380e-005 5.4130e-006 1.3805e-005 4.6765e-006 2.6516e-008 1.0902e-006 1.8098e-006 1.1915e-006 4.1520e-007 5.1893e-008 5.0857e-009 6.1156e-008 1.0655e-007 1.1427e-007 9.2057e-008 5.3722e-008
           5 6.4508e-007 5.7779e-004 3.5509e-002 1.2876e-001 2.4069e-001 9.5811e-002 3.2951e-001 1.5314e-001 1.4592e-002 2.1322e-004 9.5730e-004 6.6167e-005 5.9118e-005 7.7107e-005 1.0973e-005 2.1250e-006 1.0596e-005 7.7377e-006 1.9976e-006 1.6805e-008 4.6331e-007 1.0379e-006 1.0830e-006 8.2050e-007 5.1745e-007 2.8831e-007 1.4453e-007 6.1400e-008
           6 3.6636e-007 9.1931e-012 2.0000e-003 2.4093e-002 1.3802e-001 2.9208e-001 8.3903e-002 2.6388e-001 1.6594e-001 2.8356e-002 2.1694e-004 9.2453e-004 4.0827e-004 8.2748e-007 6.7737e-005 5.9500e-005 1.1900e-005 2.0708e-007 6.3809e-006 8.4728e-006 5.4277e-006 2.1079e-006 4.3659e-007 8.7456e-009 6.2738e-008 1.7290e-007 1.9983e-007 1.3817e-007
           7 2.1952e-007 2.8166e-005 5.6651e-004 4.0588e-005 1.3744e-002 1.4432e-001 3.3321e-001 9.5744e-002 2.0681e-001 1.6270e-001 3.9405e-002 2.0716e-003 3.9572e-004 6.8517e-004 1.2024e-004 4.7178e-006 5.5232e-005 4.8049e-005 1.5810e-005 8.9143e-007 1.2123e-006 4.2257e-006 5.0427e-006 4.1473e-006 2.8078e-006 1.6790e-006 9.0212e-007 4.0567e-007
           8 1.8702e-008 4.1302e-008 1.0451e-004 1.0554e-003 1.9755e-003 2.9196e-003 1.2084e-001 3.8560e-001 1.3199e-001 1.5200e-001 1.5225e-001 4.5089e-002 4.9905e-003 2.5036e-005 6.5307e-004 3.3151e-004 3.1267e-005 9.9527e-006 4.3257e-005 3.9336e-005 1.9040e-005 5.3437e-006 5.2745e-007 8.6890e-008 7.2789e-007 1.1576e-006 1.1189e-006 7.1680e-007
           9 1.4258e-008 2.4257e-006 9.1932e-005 6.6042e-005 5.1935e-004 5.6879e-003 7.6954e-004 7.6998e-002 4.1701e-001 2.0541e-001 9.8629e-002 1.4199e-001 4.4073e-002 7.4983e-003 1.1218e-004 3.8573e-004 4.4700e-004 1.5341e-004 9.5674e-006 8.3463e-006 2.8158e-005 2.9493e-005 2.0565e-005 1.1531e-005 5.5536e-006 2.3569e-006 8.8996e-007 2.9228e-007
          10 5.6545e-009 1.0345e-006 1.2358e-006 4.9294e-005 4.3225e-004 2.5981e-005 6.0173e-003 1.3349e-002 2.3906e-002 4.0109e-001 3.2351e-001 4.7599e-002 1.3524e-001 3.8704e-002 8.5762e-003 5.1292e-004 1.3255e-004 3.8794e-004 2.5792e-004 7.7531e-005 5.8237e-006 2.4968e-006 1.2101e-005 1.6426e-005 1.5303e-005 1.1712e-005 7.6513e-006 3.9442e-006
          11 2.4277e-010 1.8757e-009 1.1760e-005 6.1242e-005 1.9557e-005 4.4011e-004 1.4516e-003 1.9477e-003 3.2569e-002 1.6816e-004 3.0922e-001 4.6308e-001 1.3441e-002 1.3460e-001 3.2602e-002 8.5539e-003 9.6633e-004 1.2284e-005 2.5241e-004 2.8093e-004 1.5467e-004 5.1412e-005 9.0354e-006 9.4171e-008 1.4852e-006 3.6647e-006 4.0888e-006 2.7865e-006
          12 8.5426e-012 2.9701e-007 1.1739e-005 9.5927e-006 3.0829e-005 2.8630e-004 9.3240e-006 3.4757e-003 4.0551e-004 3.6380e-002 3.2490e-002 1.7475e-001 5.7443e-001 3.0648e-004 1.3866e-001 2.8282e-002 8.2082e-003 1.4246e-003 2.3265e-005 1.0655e-004 2.2333e-004 1.8986e-004 1.1004e-004 5.1345e-005 2.0327e-005 6.8122e-006 1.8850e-006 4.2497e-007
          13 8.2869e-012 3.2418e-007 1.9587e-006 1.1458e-006 5.0465e-005 2.7427e-005 3.2140e-004 6.0777e-004 2.5885e-003 8.6905e-003 1.7505e-002 9.0746e-002 6.2133e-002 6.3304e-001 5.4351e-003 1.4217e-001 2.6055e-002 7.8426e-003 1.8533e-003 1.7467e-004 1.0951e-005 1.1362e-004 1.5338e-004 1.3036e-004 9.0111e-005 5.5130e-005 3.0345e-005 1.3926e-005
          14 4.0256e-010 6.8353e-008 1.8847e-007 7.5345e-006 1.7921e-005 9.6491e-006 2.2080e-004 1.5594e-005 2.0843e-003 1.3373e-004 1.9671e-002 7.5277e-004 1.2668e-001 6.0977e-003 6.3908e-001 2.4918e-002 1.4352e-001 2.5732e-002 7.6520e-003 2.2645e-003 4.3131e-004 2.4051e-005 1.6643e-005 6.7194e-005 8.5779e-005 7.5921e-005 5.3955e-005 2.9251e-005
          15 1.2369e-009 3.3341e-009 1.5664e-006 6.0414e-006 6.2152e-007 3.6511e-005 4.0652e-005 2.2075e-004 3.3910e-004 2.1908e-003 2.1693e-003 1.9297e-002 8.0132e-003 1.1927e-001 5.6995e-003 6.0823e-001 5.4453e-002 1.4090e-001 2.7047e-002 7.8516e-003 2.6445e-003 7.7967e-004 1.6865e-004 1.3034e-005 2.7979e-006 1.7005e-005 2.2243e-005 1.5931e-005
          16 1.1281e-009 4.7872e-008 1.5111e-006 1.7840e-006 2.1743e-006 2.7805e-005 3.1785e-007 1.9129e-004 5.1775e-006 1.4113e-003 4.1109e-004 9.4180e-003 7.8352e-003 3.4656e-002 8.0912e-002 4.0205e-002 5.5632e-001 9.2402e-002 1.3239e-001 2.9801e-002 8.5970e-003 3.0890e-003 1.1477e-003 4.1908e-004 1.3150e-004 3.1882e-005 5.1710e-006 4.2084e-007
          17 2.6083e-010 5.0198e-008 6.6286e-007 4.1371e-008 5.4111e-006 9.0306e-006 1.7235e-005 6.9294e-005 1.2780e-004 2.9853e-004 1.6021e-003 6.9068e-004 1.3499e-002 2.8995e-005 5.9118e-002 3.6909e-002 8.6516e-002 4.9533e-001 1.3759e-001 1.1764e-001 3.3061e-002 1.0248e-002 3.7866e-003 1.5605e-003 7.0524e-004 3.2045e-004 1.3951e-004 5.4133e-005
          18 3.6041e-011 2.2859e-008 1.1493e-007 3.1734e-007 4.7229e-006 5.6896e-007 2.4696e-005 7.5522e-006 1.5280e-004 2.3039e-006 1.1091e-003 3.1371e-004 5.2585e-003 8.5155e-003 7.2171e-003 6.3705e-002 7.3045e-003 1.2713e-001 4.3408e-001 1.8895e-001 9.8182e-002 3.5203e-002 1.2606e-002 4.9746e-003 2.1419e-003 1.0303e-003 5.0814e-004 2.2237e-004
          19 5.0293e-010 4.7507e-009 1.2797e-009 8.2142e-007 2.3407e-006 6.3339e-007 1.7490e-005 1.3231e-006 9.3575e-005 4.7129e-005 3.7497e-004 1.0384e-003 5.4537e-004 8.8552e-003 9.4156e-004 2.4496e-002 4.6952e-002 4.3439e-004 1.5254e-001 3.7459e-001 2.4789e-001 7.7026e-002 3.4092e-002 1.5043e-002 6.5568e-003 2.9759e-003 1.4195e-003 6.1861e-004
          20 8.4302e-010 8.9988e-011 7.0324e-008 8.6117e-007 6.4098e-007 2.4138e-006 7.9001e-006 9.8453e-006 3.6400e-005 9.2761e-005 5.4808e-005 9.0444e-004 6.0047e-005 3.9687e-003 5.7255e-003 2.3068e-003 3.6178e-002 2.0971e-002 1.3075e-002 1.6116e-001 3.1343e-001 3.1632e-001 6.0313e-002 2.8021e-002 1.5695e-002 7.8505e-003 3.7352e-003 1.6085e-003
          21 7.5198e-010 5.1193e-010 1.3170e-007 6.0004e-007 4.7358e-008 2.9391e-006 2.2836e-006 1.3450e-005 8.4255e-006 8.4949e-005 1.5707e-008 4.9019e-004 4.3549e-004 9.7203e-004 5.7549e-003 3.6530e-004 1.3401e-002 3.0853e-002 2.6390e-003 3.4856e-002 1.5478e-001 2.4018e-001 3.9933e-001 5.7085e-002 1.7508e-002 1.3000e-002 7.2814e-003 3.2738e-003
          22 4.6204e-010 1.1759e-009 1.3285e-007 3.2121e-007 1.9094e-008 2.3365e-006 3.3425e-007 1.1148e-005 6.5624e-007 5.5651e-005 1.3617e-005 2.0150e-004 5.1330e-004 9.4939e-005 3.4447e-003 2.0820e-003 2.7484e-003 2.0543e-002 1.2776e-002 2.0001e-003 5.2736e-002 1.3723e-001 1.3958e-001 4.9424e-001 8.7978e-002 5.3160e-003 7.5246e-003 4.0958e-003
          23 2.1447e-010 1.0867e-009 9.2217e-008 1.3948e-007 7.5392e-008 1.3898e-006 4.3901e-009 6.7532e-006 5.5878e-008 2.8850e-005 1.9794e-005 6.8222e-005 3.5335e-004 6.0216e-007 1.5492e-003 2.1349e-003 2.4130e-004 9.5094e-003 1.2182e-002 4.3695e-004 1.3893e-002 5.5632e-002 1.0330e-001 2.4813e-002 5.2251e-001 2.2263e-001 2.4609e-003 2.5869e-003
          24 7.2978e-011 5.4844e-010 4.1165e-008 4.6413e-008 5.6166e-008 5.6932e-007 8.8515e-009 2.7889e-006 2.0888e-007 1.0903e-005 1.1499e-005 1.8922e-005 1.5323e-004 1.0779e-005 5.2191e-004 1.0757e-003 1.8031e-006 3.2115e-003 5.8783e-003 9.8944e-004 2.9516e-003 1.8012e-002 3.8075e-002 3.5495e-002 2.4076e-002 2.2954e-001 4.9775e-001 1.2640e-001
