# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2022)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=8) -> e + D2*(n,v) -> D2(X1Sg,vf) (excitation + radiative decay)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  8  8.67036E+00    1.14120E+00   1.66530E+00  -1.48980E+01   4.19420E+01  -4.85450E+01   1.98780E+01
   1 <-  8  8.67036E+00    8.63130E-01   1.05040E+00  -7.97350E+00   2.24240E+01  -2.60000E+01   1.05790E+01
   2 <-  8  8.67036E+00    9.56420E-01   1.04190E+00  -8.44900E+00   2.40560E+01  -2.76720E+01   1.12100E+01
   3 <-  8  8.67036E+00    1.00070E+00   1.18810E+00  -9.24940E+00   2.61760E+01  -2.98860E+01   1.20740E+01
   4 <-  8  8.67036E+00    9.87100E-01   1.16710E+00  -8.54350E+00   2.42500E+01  -2.76500E+01   1.11410E+01
   5 <-  8  8.67036E+00    1.09180E+00   1.31610E+00  -1.04710E+01   2.98210E+01  -3.40270E+01   1.37460E+01
   6 <-  8  8.67036E+00    1.00460E+00   1.17200E+00  -9.18360E+00   2.59630E+01  -2.94850E+01   1.18630E+01
   7 <-  8  8.67036E+00    1.05280E+00   1.38530E+00  -1.10810E+01   3.11910E+01  -3.55880E+01   1.44080E+01
   8 <-  8  8.67036E+00    1.28220E+00   1.77300E+00  -1.55710E+01   4.43100E+01  -5.08560E+01   2.07000E+01
   9 <-  8  8.67036E+00    1.01900E+00   1.21600E+00  -9.89780E+00   2.82050E+01  -3.24720E+01   1.32750E+01
  10 <-  8  8.67036E+00    9.61780E-01   9.28900E-01  -7.96900E+00   2.30250E+01  -2.66340E+01   1.09010E+01
  11 <-  8  8.67036E+00    8.75480E-01   7.65850E-01  -6.74790E+00   1.96020E+01  -2.29060E+01   9.47280E+00
  12 <-  8  8.67036E+00    6.84550E-01   4.67520E-01  -4.04460E+00   1.18250E+01  -1.39160E+01   5.76950E+00
  13 <-  8  8.67036E+00    6.73590E-01   3.93130E-01  -3.59720E+00   1.06050E+01  -1.24300E+01   5.10800E+00
  14 <-  8  8.67036E+00    7.72880E-01   3.63230E-01  -4.00110E+00   1.20390E+01  -1.40580E+01   5.73600E+00
  15 <-  8  8.67036E+00    6.67410E-01   2.40190E-01  -2.83910E+00   8.69670E+00  -1.02990E+01   4.24770E+00
  16 <-  8  8.67036E+00    4.49310E-01   1.77770E-01  -1.57960E+00   4.68490E+00  -5.53500E+00   2.25880E+00
  17 <-  8  8.67036E+00    5.60740E-01   1.90430E-01  -1.82840E+00   5.26530E+00  -5.73780E+00   2.08820E+00
  18 <-  8  8.67036E+00    6.08240E-01   1.08180E-01  -1.89720E+00   5.85090E+00  -6.76310E+00   2.70120E+00
  19 <-  8  8.67036E+00    4.91770E-01   9.45060E-02  -1.71130E+00   5.44520E+00  -6.80530E+00   3.01420E+00
  20 <-  8  8.67036E+00    4.05450E-01   8.35020E-02  -1.19440E+00   3.68100E+00  -4.48450E+00   1.92810E+00
  21 <-  8  8.67036E+00    1.64630E-01   3.07730E-02  -2.84180E-01   8.39380E-01  -1.04380E+00   4.61430E-01
