# MCCC calculations of electron scattering on molecular hydrogen and its isotoplogues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., At. Data Nucl. Data Tables (2022).
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vf=19) -> e + D2*(n,v) -> D2(X1Sg,vi=4) (excitation + radiative decay)
# Initial-state energy: -1.00242 Hartrees
# Final-state energy: -1.11607 Hartrees
# Threshold: 6.74671E+00 eV
#
# Energy (eV)   CS (a_0^2)
  6.74671E+00   0.00000E+00
  7.00000E+00   5.95418E-05
  7.50000E+00   1.63454E-05
  8.00000E+00   1.43400E-02
  8.50000E+00   3.15577E-02
  9.00000E+00   4.27253E-02
  9.50000E+00   5.35469E-02
  1.00000E+01   6.30656E-02
  1.05000E+01   7.27035E-02
  1.10000E+01   7.84477E-02
  1.15000E+01   8.29883E-02
  1.20000E+01   8.64095E-02
  1.25000E+01   8.88894E-02
  1.30000E+01   9.07172E-02
  1.35000E+01   9.20191E-02
  1.40000E+01   9.28888E-02
  1.45000E+01   9.34495E-02
  1.50000E+01   9.37427E-02
  1.55000E+01   9.38545E-02
  1.60000E+01   9.38321E-02
  1.65000E+01   9.37365E-02
  1.70000E+01   9.35978E-02
  1.75000E+01   9.34651E-02
  1.80000E+01   9.33438E-02
  1.85000E+01   9.32719E-02
  1.90000E+01   9.32340E-02
  1.95000E+01   9.32583E-02
  2.00000E+01   9.33262E-02
  2.10000E+01   9.36004E-02
  2.20000E+01   9.40174E-02
  2.30000E+01   9.45123E-02
  2.40000E+01   9.50431E-02
  2.50000E+01   9.55333E-02
  2.60000E+01   9.59451E-02
  2.70000E+01   9.62677E-02
  2.80000E+01   9.65032E-02
  2.90000E+01   9.66510E-02
  3.00000E+01   9.67024E-02
  3.50000E+01   9.58533E-02
  4.00000E+01   9.40039E-02
  4.50000E+01   9.21097E-02
  5.00000E+01   9.02323E-02
  6.00000E+01   8.62551E-02
  7.00000E+01   8.23873E-02
  8.00000E+01   7.85042E-02
  9.00000E+01   7.47124E-02
  1.00000E+02   7.11005E-02
  1.25000E+02   6.30351E-02
  1.50000E+02   5.65251E-02
  2.00000E+02   4.69143E-02
  2.50000E+02   4.00131E-02
  3.00000E+02   3.49278E-02
  3.50000E+02   3.11756E-02
  4.00000E+02   2.81521E-02
  4.50000E+02   2.54895E-02
  5.00000E+02   2.29648E-02
