# MCCC calculations of electron scattering on molecular hydrogen and its isotoplogues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., At. Data Nucl. Data Tables (2022).
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=5) -> e + D2*(n,v) -> D2(X1Sg,vf=20) (excitation + radiative decay)
# Initial-state energy: -1.10456 Hartrees
# Final-state energy: -1.00065 Hartrees
# Threshold: 9.52597E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.52597E+00   0.00000E+00
  1.00000E+01   1.42862E-09
  1.05000E+01   1.12657E-05
  1.10000E+01   7.60844E-04
  1.15000E+01   2.04756E-03
  1.20000E+01   3.13815E-03
  1.25000E+01   4.16644E-03
  1.30000E+01   5.39805E-03
  1.35000E+01   6.93239E-03
  1.40000E+01   8.27494E-03
  1.45000E+01   9.43333E-03
  1.50000E+01   1.05784E-02
  1.55000E+01   1.16833E-02
  1.60000E+01   1.26944E-02
  1.65000E+01   1.36223E-02
  1.70000E+01   1.44963E-02
  1.75000E+01   1.53290E-02
  1.80000E+01   1.61163E-02
  1.85000E+01   1.68525E-02
  1.90000E+01   1.75553E-02
  1.95000E+01   1.82284E-02
  2.00000E+01   1.88711E-02
  2.10000E+01   2.00690E-02
  2.20000E+01   2.11611E-02
  2.30000E+01   2.21578E-02
  2.40000E+01   2.30704E-02
  2.50000E+01   2.39079E-02
  2.60000E+01   2.46775E-02
  2.70000E+01   2.53855E-02
  2.80000E+01   2.60375E-02
  2.90000E+01   2.66396E-02
  3.00000E+01   2.71957E-02
  3.50000E+01   2.93977E-02
  4.00000E+01   3.08626E-02
  4.50000E+01   3.18145E-02
  5.00000E+01   3.23957E-02
  6.00000E+01   3.27795E-02
  7.00000E+01   3.24970E-02
  8.00000E+01   3.18746E-02
  9.00000E+01   3.10766E-02
  1.00000E+02   3.01895E-02
  1.25000E+02   2.78823E-02
  1.50000E+02   2.56880E-02
  2.00000E+02   2.19799E-02
  2.50000E+02   1.91221E-02
  3.00000E+02   1.69275E-02
  3.50000E+02   1.52281E-02
  4.00000E+02   1.38650E-02
  4.50000E+02   1.27247E-02
  5.00000E+02   1.17417E-02
