# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2022)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=1) -> e + H2*(n,v) -> H2(X1Sg,vf) (excitation + radiative decay)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  1  1.06666E+01    9.81640E-01   1.44350E+00  -1.04550E+01   2.62060E+01  -2.72110E+01   9.96790E+00
   1 <-  1  1.06666E+01    1.26660E+00   1.99690E+00  -1.50340E+01   3.78390E+01  -3.91050E+01   1.43230E+01
   2 <-  1  1.06666E+01    1.09860E+00   1.50920E+00  -1.09630E+01   2.70490E+01  -2.70020E+01   9.40010E+00
   3 <-  1  1.06666E+01    9.98180E-01   1.33970E+00  -9.48840E+00   2.31360E+01  -2.27730E+01   7.74070E+00
   4 <-  1  1.06666E+01    8.81000E-01   1.05270E+00  -7.26810E+00   1.75540E+01  -1.70400E+01   5.67880E+00
   5 <-  1  1.06666E+01    7.51210E-01   7.70710E-01  -5.06640E+00   1.19810E+01  -1.12570E+01   3.57410E+00
   6 <-  1  1.06666E+01    6.69690E-01   5.82210E-01  -3.68450E+00   8.56110E+00  -7.78280E+00   2.35250E+00
   7 <-  1  1.06666E+01    6.59570E-01   5.23140E-01  -3.38840E+00   7.99310E+00  -7.42660E+00   2.35240E+00
   8 <-  1  1.06666E+01    6.90280E-01   5.57150E-01  -3.81280E+00   9.27100E+00  -9.06460E+00   3.12230E+00
   9 <-  1  1.06666E+01    7.23820E-01   6.08780E-01  -4.37340E+00   1.08700E+01  -1.10230E+01   4.00060E+00
  10 <-  1  1.06666E+01    7.38290E-01   6.06020E-01  -4.56760E+00   1.14900E+01  -1.18340E+01   4.37900E+00
  11 <-  1  1.06666E+01    7.14300E-01   5.31960E-01  -4.22370E+00   1.07150E+01  -1.11160E+01   4.13790E+00
  12 <-  1  1.06666E+01    6.41410E-01   3.84020E-01  -3.30260E+00   8.46590E+00  -8.81910E+00   3.27790E+00
  13 <-  1  1.06666E+01    5.10260E-01   2.49010E-01  -2.28000E+00   6.00340E+00  -6.49320E+00   2.51800E+00
  14 <-  1  1.06666E+01    3.77480E-01   1.47950E-01  -1.36790E+00   3.65460E+00  -4.05300E+00   1.61480E+00
