# MCCC calculations of electron scattering on molecular hydrogen and its isotoplogues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., At. Data Nucl. Data Tables (2022).
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vf=11) -> e + H2*(n,v) -> H2(X1Sg,vi=9) (excitation + radiative decay)
# Initial-state energy: -1.01467 Hartrees
# Final-state energy: -1.03181 Hartrees
# Threshold: 7.10491E+00 eV
#
# Energy (eV)   CS (a_0^2)
  7.10491E+00   0.00000E+00
  7.50000E+00   5.24546E-07
  8.00000E+00   1.00410E-02
  8.50000E+00   4.32677E-02
  9.00000E+00   9.07001E-02
  9.50000E+00   1.25641E-01
  1.00000E+01   1.54410E-01
  1.05000E+01   1.91262E-01
  1.10000E+01   2.17935E-01
  1.15000E+01   2.38525E-01
  1.20000E+01   2.54365E-01
  1.25000E+01   2.67635E-01
  1.30000E+01   2.79117E-01
  1.35000E+01   2.89094E-01
  1.40000E+01   2.97802E-01
  1.45000E+01   3.05468E-01
  1.50000E+01   3.11983E-01
  1.55000E+01   3.17570E-01
  1.60000E+01   3.22441E-01
  1.65000E+01   3.26693E-01
  1.70000E+01   3.30470E-01
  1.75000E+01   3.33811E-01
  1.80000E+01   3.36843E-01
  1.85000E+01   3.39552E-01
  1.90000E+01   3.42049E-01
  1.95000E+01   3.44307E-01
  2.00000E+01   3.46446E-01
  2.10000E+01   3.50199E-01
  2.20000E+01   3.53388E-01
  2.30000E+01   3.56097E-01
  2.40000E+01   3.58530E-01
  2.50000E+01   3.60568E-01
  2.60000E+01   3.62254E-01
  2.70000E+01   3.63631E-01
  2.80000E+01   3.64729E-01
  2.90000E+01   3.65584E-01
  3.00000E+01   3.66206E-01
  3.50000E+01   3.66585E-01
  4.00000E+01   3.64013E-01
  4.50000E+01   3.59837E-01
  5.00000E+01   3.54533E-01
  6.00000E+01   3.41921E-01
  7.00000E+01   3.28082E-01
  8.00000E+01   3.13926E-01
  9.00000E+01   2.99980E-01
  1.00000E+02   2.86579E-01
  1.25000E+02   2.56336E-01
  1.50000E+02   2.30943E-01
  2.00000E+02   1.92295E-01
  2.50000E+02   1.65253E-01
  3.00000E+02   1.45634E-01
  3.50000E+02   1.30646E-01
  4.00000E+02   1.18532E-01
  4.50000E+02   1.08482E-01
  5.00000E+02   9.94360E-02
