# MCCC calculations of electron scattering on molecular hydrogen and its isotoplogues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., At. Data Nucl. Data Tables (2022).
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=7) -> e + H2*(n,v) -> H2(X1Sg,vf=12) (excitation + radiative decay)
# Initial-state energy: -1.05384 Hartrees
# Final-state energy: -1.00823 Hartrees
# Threshold: 8.17074E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.17074E+00   0.00000E+00
  8.50000E+00   1.64717E-07
  9.00000E+00   2.12502E-04
  9.50000E+00   6.47598E-03
  1.00000E+01   1.25506E-02
  1.05000E+01   1.82755E-02
  1.10000E+01   2.31632E-02
  1.15000E+01   2.92669E-02
  1.20000E+01   3.64350E-02
  1.25000E+01   4.30313E-02
  1.30000E+01   4.94382E-02
  1.35000E+01   5.50174E-02
  1.40000E+01   5.99678E-02
  1.45000E+01   6.43663E-02
  1.50000E+01   6.82994E-02
  1.55000E+01   7.18797E-02
  1.60000E+01   7.51562E-02
  1.65000E+01   7.81890E-02
  1.70000E+01   8.10172E-02
  1.75000E+01   8.36379E-02
  1.80000E+01   8.60694E-02
  1.85000E+01   8.83434E-02
  1.90000E+01   9.04740E-02
  1.95000E+01   9.24751E-02
  2.00000E+01   9.43479E-02
  2.10000E+01   9.77349E-02
  2.20000E+01   1.00718E-01
  2.30000E+01   1.03393E-01
  2.40000E+01   1.05800E-01
  2.50000E+01   1.07968E-01
  2.60000E+01   1.09923E-01
  2.70000E+01   1.11688E-01
  2.80000E+01   1.13283E-01
  2.90000E+01   1.14724E-01
  3.00000E+01   1.16027E-01
  3.50000E+01   1.20767E-01
  4.00000E+01   1.23591E-01
  4.50000E+01   1.25330E-01
  5.00000E+01   1.26087E-01
  6.00000E+01   1.25435E-01
  7.00000E+01   1.22791E-01
  8.00000E+01   1.19324E-01
  9.00000E+01   1.15473E-01
  1.00000E+02   1.11475E-01
  1.25000E+02   1.01656E-01
  1.50000E+02   9.27115E-02
  2.00000E+02   7.80551E-02
  2.50000E+02   6.70022E-02
  3.00000E+02   5.86961E-02
  3.50000E+02   5.24343E-02
  4.00000E+02   4.75356E-02
  4.50000E+02   4.35562E-02
  5.00000E+02   4.02532E-02
