# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=2) -> e + H2(g3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  2  1.28842E+01    8.02240E-02  -1.15330E-01   6.97710E-01  -1.37920E+00   1.03420E+00
   1 <-  2  1.31745E+01    7.03310E-03  -8.81140E-04   5.34750E-03  -1.34740E-02   1.20550E-02
   2 <-  2  1.34445E+01    3.97470E-02  -2.78380E-02   1.63070E-01  -3.24400E-01   2.40990E-01
   3 <-  2  1.36976E+01    3.41890E-02  -2.00050E-02   1.17910E-01  -2.22350E-01   1.57670E-01
   4 <-  2  1.39353E+01    1.72660E-02  -4.99050E-03   3.10120E-02  -5.43380E-02   3.66490E-02
   5 <-  2  1.41579E+01   -8.68000E-07  -4.15300E-06   9.40370E-04  -5.91250E-04   1.91200E-05
   6 <-  2  1.43656E+01    3.69460E-03  -2.26640E-04   1.25470E-03  -2.73040E-03   2.08500E-03
   7 <-  2  1.45585E+01    1.03160E-02  -1.69810E-03   9.22530E-03  -1.73540E-02   1.19460E-02
   8 <-  2  1.47366E+01    1.37290E-02  -2.95700E-03   1.61140E-02  -2.93020E-02   1.97610E-02
   9 <-  2  1.48993E+01    1.52950E-02  -3.62860E-03   1.97420E-02  -3.54310E-02   2.38570E-02
  10 <-  2  1.50459E+01    1.54730E-02  -3.68610E-03   2.00540E-02  -3.59140E-02   2.44520E-02
  11 <-  2  1.51748E+01    1.58550E-02  -3.85200E-03   2.06520E-02  -3.71840E-02   2.53200E-02
  12 <-  2  1.52836E+01    1.52620E-02  -3.55780E-03   1.88760E-02  -3.42070E-02   2.33460E-02
  13 <-  2  1.53700E+01    1.37640E-02  -2.88700E-03   1.52310E-02  -2.77600E-02   1.90290E-02
  14 <-  2  1.54358E+01    1.21430E-02  -2.24300E-03   1.18090E-02  -2.16260E-02   1.49110E-02
  15 <-  2  1.54870E+01    1.06520E-02  -1.72380E-03   9.07680E-03  -1.66900E-02   1.15850E-02
  16 <-  2  1.55260E+01    9.15160E-03  -1.27130E-03   6.67850E-03  -1.23150E-02   8.56280E-03
  17 <-  2  1.55523E+01    7.13560E-03  -7.72320E-04   4.04620E-03  -7.47360E-03   5.19280E-03
  18 <-  2  1.55650E+01    4.09970E-03  -2.54860E-04   1.33350E-03  -2.46500E-03   1.71210E-03
  19 <-  2  1.55677E+01    1.12560E-03  -1.92090E-05   1.00480E-04  -1.85770E-04   1.29020E-04
  DE <-  2  1.55679E+01   -5.12090E-08   6.96220E-03  -4.47110E-02   1.13590E-01  -5.48890E-02
