# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=5) -> e + H2(c3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  5  9.47715E+00    4.16890E-02  -3.65030E-02   2.56270E-01  -5.28240E-01   4.27090E-01
   1 <-  5  9.76760E+00    1.95960E-01  -7.89370E-01   5.49660E+00  -1.10700E+01   8.85180E+00
   2 <-  5  1.00428E+01    2.51440E-01  -1.28200E+00   9.25680E+00  -1.82300E+01   1.48220E+01
   3 <-  5  1.03032E+01    1.21280E-02  -2.40420E-03   3.77610E-02  -4.01330E-02   4.70270E-02
   4 <-  5  1.05492E+01    1.08900E-01  -2.35860E-01   1.83440E+00  -3.44560E+00   2.88250E+00
   5 <-  5  1.07810E+01    1.06640E-01  -2.20580E-01   1.71760E+00  -3.12670E+00   2.58890E+00
   6 <-  5  1.09988E+01    4.75110E-02  -4.29230E-02   3.31760E-01  -5.89030E-01   4.80300E-01
   7 <-  5  1.12027E+01    1.59950E-02  -4.76910E-03   3.22000E-02  -6.22990E-02   4.77710E-02
   8 <-  5  1.13925E+01    5.72710E-02  -6.05480E-02   4.33090E-01  -7.91740E-01   6.14560E-01
   9 <-  5  1.15680E+01    7.07970E-02  -9.18640E-02   6.77390E-01  -1.21370E+00   9.45930E-01
  10 <-  5  1.17289E+01    7.35050E-02  -9.79800E-02   7.09520E-01  -1.26370E+00   9.62760E-01
  11 <-  5  1.18746E+01    6.35380E-02  -7.26560E-02   5.29830E-01  -9.32520E-01   7.03050E-01
  12 <-  5  1.20041E+01    4.85600E-02  -4.22050E-02   3.16290E-01  -5.46900E-01   4.11040E-01
  13 <-  5  1.21165E+01    3.69860E-02  -2.42700E-02   1.80330E-01  -3.08950E-01   2.27520E-01
  14 <-  5  1.22104E+01    2.59300E-02  -1.18330E-02   8.86060E-02  -1.49470E-01   1.08340E-01
  15 <-  5  1.22841E+01    1.67070E-02  -4.87690E-03   3.76780E-02  -6.19970E-02   4.44240E-02
  16 <-  5  1.23363E+01    9.76230E-03  -1.65480E-03   1.37430E-02  -2.17190E-02   1.54900E-02
  17 <-  5  1.23669E+01    5.12390E-03  -4.53860E-04   4.26610E-03  -6.37540E-03   4.56790E-03
  18 <-  5  1.23805E+01    2.59660E-03  -1.16290E-04   1.23290E-03  -1.75690E-03   1.26870E-03
  19 <-  5  1.23856E+01    1.40120E-03  -3.38420E-05   3.90480E-04  -5.40130E-04   3.93000E-04
  20 <-  5  1.23874E+01    7.63070E-04  -1.00350E-05   1.20470E-04  -1.64460E-04   1.20100E-04
  21 <-  5  1.23879E+01    3.92180E-04  -2.65080E-06   3.23140E-05  -4.38970E-05   3.21090E-05
  DE <-  5  1.23880E+01    2.22590E-01  -6.73040E-01   3.45500E+00  -2.87980E+00   9.21920E-03
