# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=7) -> e + H2(a3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  7  8.78123E+00    1.05610E-03  -3.62020E-05   5.55930E-04  -1.32160E-03   8.55270E-04
   1 <-  7  9.09443E+00    4.52210E-03  -4.18840E-04   2.63740E-03  -6.07860E-03   4.63270E-03
   2 <-  7  9.39073E+00    3.77470E-02  -3.02080E-02   1.99380E-01  -4.24810E-01   3.26410E-01
   3 <-  7  9.67061E+00    1.42780E-01  -4.33230E-01   2.93350E+00  -6.30120E+00   5.12600E+00
   4 <-  7  9.93443E+00    2.08620E-01  -9.18130E-01   6.18180E+00  -1.33740E+01   1.09730E+01
   5 <-  7  1.01824E+01    1.75430E-07   2.06560E-03  -1.75200E-02   6.24610E-02  -4.68580E-02
   6 <-  7  1.04147E+01    9.44570E-02  -1.85840E-01   1.25990E+00  -2.71270E+00   2.29170E+00
   7 <-  7  1.06311E+01    8.77700E-02  -1.60060E-01   1.10360E+00  -2.35240E+00   2.03370E+00
   8 <-  7  1.08312E+01    4.77030E-02  -4.68930E-02   3.15100E-01  -6.82570E-01   5.83390E-01
   9 <-  7  1.10145E+01    3.52090E-03  -2.18150E-04   1.45580E-03  -2.66460E-03   1.45350E-03
  10 <-  7  1.11798E+01    3.93910E-02  -3.06740E-02   1.98010E-01  -4.12150E-01   3.26250E-01
  11 <-  7  1.13252E+01    6.01160E-02  -7.14460E-02   4.55650E-01  -9.69080E-01   7.70640E-01
  12 <-  7  1.14481E+01    6.37990E-02  -8.04510E-02   5.11530E-01  -1.10060E+00   8.79690E-01
  13 <-  7  1.15445E+01    5.72400E-02  -6.47000E-02   4.10380E-01  -8.89210E-01   7.12200E-01
  14 <-  7  1.16098E+01    4.50850E-02  -4.00180E-02   2.52320E-01  -5.47980E-01   4.36710E-01
  15 <-  7  1.16431E+01    2.88450E-02  -1.63560E-02   1.02850E-01  -2.23560E-01   1.77740E-01
  16 <-  7  1.16553E+01    1.74890E-02  -6.00910E-03   3.77470E-02  -8.20790E-02   6.52000E-02
  17 <-  7  1.16615E+01    1.47820E-02  -4.29180E-03   2.69460E-02  -5.86020E-02   4.65310E-02
  18 <-  7  1.16656E+01    1.12680E-02  -2.49340E-03   1.56500E-02  -3.40380E-02   2.70200E-02
  19 <-  7  1.16678E+01    7.85200E-03  -1.21060E-03   7.59740E-03  -1.65250E-02   1.31160E-02
  20 <-  7  1.16688E+01    5.06960E-03  -5.04640E-04   3.16670E-03  -6.88790E-03   5.46650E-03
  21 <-  7  1.16692E+01    3.30000E-03  -2.13820E-04   1.34170E-03  -2.91840E-03   2.31610E-03
  DE <-  7  1.16693E+01   -2.27000E-06   1.01930E-01  -9.13900E-01   4.21970E+00  -3.25720E+00
