# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=9) -> e + H2(j3Dg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  9  1.03263E+01    1.20630E-07   1.60860E-05  -5.35900E-05   5.75930E-05  -1.97390E-05
   1 <-  9  1.06009E+01    7.23900E-10   2.14800E-05  -2.36190E-05  -7.20590E-05   8.82640E-05
   2 <-  9  1.08613E+01    2.98440E-03  -1.37690E-04   7.75550E-04  -1.35390E-03   7.58910E-04
   3 <-  9  1.11020E+01    1.77170E-02  -6.22470E-03   3.94750E-02  -8.35760E-02   6.55920E-02
   4 <-  9  1.13303E+01    6.46910E-02  -8.10030E-02   5.09960E-01  -1.04820E+00   8.06080E-01
   5 <-  9  1.15450E+01    6.87100E-02  -8.85140E-02   5.61310E-01  -1.10810E+00   8.36890E-01
   6 <-  9  1.17453E+01    1.09110E-02  -2.22830E-03   1.64050E-02  -3.14600E-02   2.47410E-02
   7 <-  9  1.19312E+01    2.37700E-02  -1.04940E-02   6.57590E-02  -1.29090E-01   9.72480E-02
   8 <-  9  1.21035E+01    2.68070E-02  -1.31920E-02   8.72150E-02  -1.65850E-01   1.26040E-01
   9 <-  9  1.22614E+01    1.44690E-02  -3.74950E-03   2.69090E-02  -4.78590E-02   3.64210E-02
  10 <-  9  1.24054E+01    5.18170E-08   4.85290E-05   1.72510E-04   7.10030E-04  -6.43260E-04
  11 <-  9  1.25348E+01    6.89390E-03  -8.90130E-04   5.46970E-03  -1.13340E-02   8.63330E-03
  12 <-  9  1.26492E+01    1.19780E-02  -2.58560E-03   1.62900E-02  -3.13460E-02   2.33100E-02
  13 <-  9  1.27479E+01    1.33550E-02  -3.14750E-03   2.00330E-02  -3.71320E-02   2.71540E-02
  14 <-  9  1.28297E+01    1.22890E-02  -2.62490E-03   1.69020E-02  -3.04200E-02   2.20100E-02
  15 <-  9  1.28930E+01    1.00290E-02  -1.72800E-03   1.12970E-02  -1.98150E-02   1.42490E-02
  16 <-  9  1.29358E+01    6.66150E-03  -7.57440E-04   5.23700E-03  -8.87050E-03   6.48970E-03
  17 <-  9  1.29564E+01    1.27090E-03  -2.92080E-05   5.30650E-04  -6.87550E-04   6.92360E-04
  18 <-  9  1.29594E+01    1.06470E-07   8.68870E-07   1.27270E-05   1.29650E-07   1.22150E-05
  DE <-  9  1.29595E+01    1.24650E-07   9.94380E-03  -7.16570E-02   2.87290E-01  -2.27710E-01
