# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=0) -> e + H2(g3Sg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.16453 Hartrees
#
# Threshold: 1.38876E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.38876E+01   0.00000E+00
  1.40000E+01   4.67614E-04
  1.45000E+01   2.95457E-03
  1.50000E+01   6.80163E-03
  1.55000E+01   1.01884E-02
  1.60000E+01   1.23952E-02
  1.65000E+01   1.32893E-02
  1.70000E+01   1.33480E-02
  1.75000E+01   1.30909E-02
  1.80000E+01   1.26971E-02
  1.85000E+01   1.22343E-02
  1.90000E+01   1.17380E-02
  1.95000E+01   1.12293E-02
  2.00000E+01   1.07197E-02
  2.10000E+01   9.74338E-03
  2.20000E+01   8.86989E-03
  2.30000E+01   8.06892E-03
  2.40000E+01   7.33176E-03
  2.50000E+01   6.66982E-03
  2.60000E+01   6.08067E-03
  2.70000E+01   5.55427E-03
  2.80000E+01   5.08399E-03
  2.90000E+01   4.66302E-03
  3.00000E+01   4.28529E-03
  3.50000E+01   2.89419E-03
  4.00000E+01   2.04025E-03
  4.50000E+01   1.49176E-03
  5.00000E+01   1.12316E-03
  6.00000E+01   6.83574E-04
  7.00000E+01   4.46889E-04
  8.00000E+01   3.08109E-04
  9.00000E+01   2.21972E-04
  1.00000E+02   1.65520E-04
  1.25000E+02   8.90871E-05
  1.50000E+02   5.38463E-05
