# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=1) -> e + H2(B1Su,vf=7)
# Initial-state energy: -1.14556 Hartrees
# Final-state energy:   -0.71475 Hartrees
# Threshold: 1.17230E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.17230E+01   0.00000E+00
  1.20000E+01   5.50962E-04
  1.25000E+01   1.74012E-03
  1.30000E+01   2.68015E-03
  1.35000E+01   3.50147E-03
  1.40000E+01   4.23640E-03
  1.45000E+01   4.90587E-03
  1.50000E+01   5.52180E-03
  1.55000E+01   6.09336E-03
  1.60000E+01   6.62768E-03
  1.65000E+01   7.12871E-03
  1.70000E+01   7.59975E-03
  1.75000E+01   8.04449E-03
  1.80000E+01   8.46536E-03
  1.85000E+01   8.86462E-03
  1.90000E+01   9.24396E-03
  1.95000E+01   9.60477E-03
  2.00000E+01   9.94746E-03
  2.10000E+01   1.05869E-02
  2.20000E+01   1.11711E-02
  2.30000E+01   1.17033E-02
  2.40000E+01   1.21929E-02
  2.50000E+01   1.26436E-02
  2.60000E+01   1.30591E-02
  2.70000E+01   1.34425E-02
  2.80000E+01   1.37964E-02
  2.90000E+01   1.41238E-02
  3.00000E+01   1.44278E-02
  3.50000E+01   1.56306E-02
  4.00000E+01   1.64305E-02
  4.50000E+01   1.69491E-02
  5.00000E+01   1.72592E-02
  6.00000E+01   1.74671E-02
  7.00000E+01   1.73343E-02
  8.00000E+01   1.70090E-02
  9.00000E+01   1.65771E-02
  1.00000E+02   1.60929E-02
  1.25000E+02   1.48188E-02
  1.50000E+02   1.36133E-02
  2.00000E+02   1.16071E-02
  2.50000E+02   1.00994E-02
  3.00000E+02   8.96105E-03
  3.50000E+02   8.07475E-03
  4.00000E+02   7.35779E-03
  4.50000E+02   6.75334E-03
  5.00000E+02   6.22137E-03
