# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=1) -> e + H2(Bp1Su) (sum over all final vibrational levels)
# Initial-state energy: -1.14556 Hartrees
#
# Threshold: 1.31797E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.31797E+01   0.00000E+00
  1.35000E+01   3.26426E-03
  1.40000E+01   1.25742E-02
  1.45000E+01   2.08127E-02
  1.50000E+01   2.86611E-02
  1.55000E+01   3.67254E-02
  1.60000E+01   4.47550E-02
  1.65000E+01   5.25176E-02
  1.70000E+01   5.99559E-02
  1.75000E+01   6.70691E-02
  1.80000E+01   7.38491E-02
  1.85000E+01   8.03166E-02
  1.90000E+01   8.64856E-02
  1.95000E+01   9.23781E-02
  2.00000E+01   9.80048E-02
  2.10000E+01   1.08523E-01
  2.20000E+01   1.18153E-01
  2.30000E+01   1.26985E-01
  2.40000E+01   1.35100E-01
  2.50000E+01   1.42567E-01
  2.60000E+01   1.49447E-01
  2.70000E+01   1.55791E-01
  2.80000E+01   1.61643E-01
  2.90000E+01   1.67050E-01
  3.00000E+01   1.72045E-01
  3.50000E+01   1.91885E-01
  4.00000E+01   2.05195E-01
  4.50000E+01   2.13969E-01
  5.00000E+01   2.19513E-01
  6.00000E+01   2.24203E-01
  7.00000E+01   2.23702E-01
  8.00000E+01   2.20345E-01
  9.00000E+01   2.15431E-01
  1.00000E+02   2.09712E-01
  1.25000E+02   1.94353E-01
  1.50000E+02   1.79529E-01
  2.00000E+02   1.54187E-01
  2.50000E+02   1.34376E-01
  3.00000E+02   1.18801E-01
  3.50000E+02   1.06336E-01
  4.00000E+02   9.61731E-02
  4.50000E+02   8.77612E-02
  5.00000E+02   8.06753E-02
