# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=1) -> e + H2(D1Pu) (dissociative excitation)
# Initial-state energy: -1.14556 Hartrees
#
# Threshold: 1.60549E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.60549E+01   0.00000E+00
  1.65000E+01   8.22656E-05
  1.70000E+01   3.30551E-04
  1.75000E+01   6.61512E-04
  1.80000E+01   1.02159E-03
  1.85000E+01   1.39426E-03
  1.90000E+01   1.77256E-03
  1.95000E+01   2.15005E-03
  2.00000E+01   2.53042E-03
  2.10000E+01   3.27022E-03
  2.20000E+01   3.98069E-03
  2.30000E+01   4.66025E-03
  2.40000E+01   5.30777E-03
  2.50000E+01   5.92276E-03
  2.60000E+01   6.51065E-03
  2.70000E+01   7.06921E-03
  2.80000E+01   7.59976E-03
  2.90000E+01   8.10346E-03
  3.00000E+01   8.58153E-03
  3.50000E+01   1.06301E-02
  4.00000E+01   1.22035E-02
  4.50000E+01   1.34071E-02
  5.00000E+01   1.43231E-02
  6.00000E+01   1.55215E-02
  7.00000E+01   1.61477E-02
  8.00000E+01   1.64044E-02
  9.00000E+01   1.64170E-02
  1.00000E+02   1.62809E-02
  1.25000E+02   1.55806E-02
  1.50000E+02   1.46832E-02
  2.00000E+02   1.29078E-02
  2.50000E+02   1.14146E-02
  3.00000E+02   1.02162E-02
  3.50000E+02   9.24949E-03
  4.00000E+02   8.45111E-03
  4.50000E+02   7.77399E-03
  5.00000E+02   7.18070E-03
