# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=1) -> e + H2(d3Pu) (sum over all bound final vibrational levels)
# Initial-state energy: -1.14556 Hartrees
#
# Threshold: 1.33390E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.33390E+01   0.00000E+00
  1.35000E+01   1.45677E-02
  1.40000E+01   4.01490E-02
  1.45000E+01   5.22003E-02
  1.50000E+01   6.26384E-02
  1.55000E+01   7.49550E-02
  1.60000E+01   8.58810E-02
  1.65000E+01   9.20747E-02
  1.70000E+01   9.42135E-02
  1.75000E+01   9.43196E-02
  1.80000E+01   9.31679E-02
  1.85000E+01   9.12587E-02
  1.90000E+01   8.88639E-02
  1.95000E+01   8.61364E-02
  2.00000E+01   8.32081E-02
  2.10000E+01   7.71857E-02
  2.20000E+01   7.12421E-02
  2.30000E+01   6.56021E-02
  2.40000E+01   6.03489E-02
  2.50000E+01   5.55149E-02
  2.60000E+01   5.10962E-02
  2.70000E+01   4.70728E-02
  2.80000E+01   4.34190E-02
  2.90000E+01   4.01017E-02
  3.00000E+01   3.70948E-02
  3.50000E+01   2.56813E-02
  4.00000E+01   1.84298E-02
  4.50000E+01   1.36558E-02
  5.00000E+01   1.03917E-02
  6.00000E+01   6.42301E-03
  7.00000E+01   4.24758E-03
  8.00000E+01   2.95710E-03
  9.00000E+01   2.14300E-03
  1.00000E+02   1.60362E-03
  1.25000E+02   8.64098E-04
  1.50000E+02   5.19077E-04
