# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=1) -> e + H2(h3Sg,vf=1)
# Initial-state energy: -1.14556 Hartrees
# Final-state energy:   -0.64658 Hartrees
# Threshold: 1.35779E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.35779E+01   0.00000E+00
  1.40000E+01   8.11953E-03
  1.45000E+01   1.45079E-02
  1.50000E+01   1.53924E-02
  1.55000E+01   1.51451E-02
  1.60000E+01   1.46108E-02
  1.65000E+01   1.39759E-02
  1.70000E+01   1.32538E-02
  1.75000E+01   1.25424E-02
  1.80000E+01   1.18381E-02
  1.85000E+01   1.11708E-02
  1.90000E+01   1.05357E-02
  1.95000E+01   9.93546E-03
  2.00000E+01   9.37206E-03
  2.10000E+01   8.34790E-03
  2.20000E+01   7.45325E-03
  2.30000E+01   6.67272E-03
  2.40000E+01   5.99170E-03
  2.50000E+01   5.39636E-03
  2.60000E+01   4.87469E-03
  2.70000E+01   4.41634E-03
  2.80000E+01   4.01280E-03
  2.90000E+01   3.65508E-03
  3.00000E+01   3.33909E-03
  3.50000E+01   2.19989E-03
  4.00000E+01   1.52327E-03
  4.50000E+01   1.09789E-03
  5.00000E+01   8.17099E-04
  6.00000E+01   4.88311E-04
  7.00000E+01   3.14943E-04
  8.00000E+01   2.15001E-04
  9.00000E+01   1.53345E-04
  1.00000E+02   1.13210E-04
  1.25000E+02   5.94108E-05
  1.50000E+02   3.49741E-05
