# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=10) -> e + H2(B1Su) (dissociative excitation)
# Initial-state energy: -1.02258 Hartrees
#
# Threshold: 1.08187E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.08187E+01   0.00000E+00
  1.15000E+01   1.60090E-03
  1.20000E+01   5.20078E-03
  1.25000E+01   1.10683E-02
  1.30000E+01   1.61549E-02
  1.35000E+01   2.29096E-02
  1.40000E+01   2.88923E-02
  1.45000E+01   3.62083E-02
  1.50000E+01   4.29192E-02
  1.55000E+01   4.87464E-02
  1.60000E+01   5.48144E-02
  1.65000E+01   6.08624E-02
  1.70000E+01   6.67052E-02
  1.75000E+01   7.23050E-02
  1.80000E+01   7.76675E-02
  1.85000E+01   8.28027E-02
  1.90000E+01   8.77175E-02
  1.95000E+01   9.24199E-02
  2.00000E+01   9.69217E-02
  2.10000E+01   1.05363E-01
  2.20000E+01   1.13125E-01
  2.30000E+01   1.20263E-01
  2.40000E+01   1.26836E-01
  2.50000E+01   1.32894E-01
  2.60000E+01   1.38474E-01
  2.70000E+01   1.43623E-01
  2.80000E+01   1.48377E-01
  2.90000E+01   1.52769E-01
  3.00000E+01   1.56827E-01
  3.50000E+01   1.72939E-01
  4.00000E+01   1.83756E-01
  4.50000E+01   1.90863E-01
  5.00000E+01   1.95312E-01
  6.00000E+01   1.98927E-01
  7.00000E+01   1.98246E-01
  8.00000E+01   1.95193E-01
  9.00000E+01   1.90828E-01
  1.00000E+02   1.85788E-01
  1.25000E+02   1.72302E-01
  1.50000E+02   1.59277E-01
  2.00000E+02   1.36979E-01
  2.50000E+02   1.19547E-01
  3.00000E+02   1.05912E-01
  3.50000E+02   9.50945E-02
  4.00000E+02   8.63926E-02
  4.50000E+02   7.93031E-02
  5.00000E+02   7.34691E-02
