# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=10) -> e + H2(GK1Sg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.02258 Hartrees
#
# Threshold: 9.92678E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.92678E+00   0.00000E+00
  1.00000E+01   3.89324E-03
  1.05000E+01   9.23411E-02
  1.15000E+01   1.88318E-01
  1.20000E+01   2.09522E-01
  1.25000E+01   2.24540E-01
  1.30000E+01   2.36446E-01
  1.35000E+01   2.46637E-01
  1.40000E+01   2.55684E-01
  1.45000E+01   2.63749E-01
  1.50000E+01   2.70857E-01
  1.55000E+01   2.77002E-01
  1.60000E+01   2.82186E-01
  1.65000E+01   2.86428E-01
  1.70000E+01   2.89784E-01
  1.75000E+01   2.92303E-01
  1.80000E+01   2.94054E-01
  1.85000E+01   2.95114E-01
  1.90000E+01   2.95559E-01
  1.95000E+01   2.95470E-01
  2.00000E+01   2.94912E-01
  2.10000E+01   2.92687E-01
  2.20000E+01   2.89349E-01
  2.30000E+01   2.85293E-01
  2.40000E+01   2.80813E-01
  2.50000E+01   2.76129E-01
  2.60000E+01   2.71397E-01
  2.70000E+01   2.66734E-01
  2.80000E+01   2.62208E-01
  2.90000E+01   2.57868E-01
  3.00000E+01   2.53744E-01
  3.50000E+01   2.36433E-01
  4.00000E+01   2.23778E-01
  4.50000E+01   2.14091E-01
  5.00000E+01   2.06145E-01
  6.00000E+01   1.92690E-01
  7.00000E+01   1.80631E-01
  8.00000E+01   1.69265E-01
  9.00000E+01   1.58522E-01
  1.00000E+02   1.48471E-01
  1.25000E+02   1.26695E-01
  1.50000E+02   1.09695E-01
  2.00000E+02   8.72247E-02
  2.50000E+02   7.43304E-02
  3.00000E+02   6.53998E-02
  3.50000E+02   5.71317E-02
  4.00000E+02   4.86727E-02
  4.50000E+02   4.35138E-02
  5.00000E+02   3.91731E-02
