# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=10) -> e + H2(a3Sg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.02258 Hartrees
#
# Threshold: 7.93056E+00 eV
#
# Energy (eV)   CS (a_0^2)
  7.93056E+00   0.00000E+00
  8.00000E+00   1.28831E-05
  8.50000E+00   1.86436E-05
  9.00000E+00   8.81472E-05
  9.50000E+00   1.22878E-02
  1.00000E+01   2.90656E-01
  1.05000E+01   3.14694E-01
  1.15000E+01   3.09020E-01
  1.20000E+01   2.86229E-01
  1.25000E+01   2.62685E-01
  1.30000E+01   2.38839E-01
  1.35000E+01   2.16490E-01
  1.40000E+01   1.97606E-01
  1.45000E+01   1.80751E-01
  1.50000E+01   1.65507E-01
  1.55000E+01   1.51798E-01
  1.60000E+01   1.39465E-01
  1.65000E+01   1.28376E-01
  1.70000E+01   1.18391E-01
  1.75000E+01   1.09384E-01
  1.80000E+01   1.01246E-01
  1.85000E+01   9.38820E-02
  1.90000E+01   8.72027E-02
  1.95000E+01   8.11289E-02
  2.00000E+01   7.56051E-02
  2.10000E+01   6.59515E-02
  2.20000E+01   5.78659E-02
  2.30000E+01   5.10419E-02
  2.40000E+01   4.52442E-02
  2.50000E+01   4.02887E-02
  2.60000E+01   3.60287E-02
  2.70000E+01   3.23499E-02
  2.80000E+01   2.91529E-02
  2.90000E+01   2.63579E-02
  3.00000E+01   2.39216E-02
  3.50000E+01   1.53408E-02
  4.00000E+01   1.04203E-02
  4.50000E+01   7.39773E-03
  5.00000E+01   5.44156E-03
  6.00000E+01   3.19318E-03
  7.00000E+01   2.03232E-03
  8.00000E+01   1.37298E-03
  9.00000E+01   9.70978E-04
  1.00000E+02   7.12018E-04
  1.25000E+02   3.68749E-04
  1.50000E+02   2.15236E-04
