# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=10) -> e + H2(e3Su,vf=4)
# Initial-state energy: -1.02258 Hartrees
# Final-state energy:   -0.64460 Hartrees
# Threshold: 1.02853E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.02853E+01   0.00000E+00
  1.05000E+01   1.62031E-02
  1.15000E+01   2.36509E-02
  1.20000E+01   2.36350E-02
  1.25000E+01   2.30730E-02
  1.30000E+01   2.24053E-02
  1.35000E+01   2.13186E-02
  1.40000E+01   2.00396E-02
  1.45000E+01   1.88407E-02
  1.50000E+01   1.77105E-02
  1.55000E+01   1.66577E-02
  1.60000E+01   1.56859E-02
  1.65000E+01   1.48056E-02
  1.70000E+01   1.38330E-02
  1.75000E+01   1.29187E-02
  1.80000E+01   1.20726E-02
  1.85000E+01   1.12912E-02
  1.90000E+01   1.05702E-02
  1.95000E+01   9.90329E-03
  2.00000E+01   9.28980E-03
  2.10000E+01   8.19730E-03
  2.20000E+01   7.26592E-03
  2.30000E+01   6.46539E-03
  2.40000E+01   5.77794E-03
  2.50000E+01   5.18346E-03
  2.60000E+01   4.66459E-03
  2.70000E+01   4.21211E-03
  2.80000E+01   3.81701E-03
  2.90000E+01   3.46834E-03
  3.00000E+01   3.16541E-03
  3.50000E+01   2.11289E-03
  4.00000E+01   1.47815E-03
  4.50000E+01   1.07419E-03
  5.00000E+01   8.04609E-04
  6.00000E+01   4.86744E-04
  7.00000E+01   3.16978E-04
  8.00000E+01   2.18174E-04
  9.00000E+01   1.56815E-04
  1.00000E+02   1.16379E-04
  1.25000E+02   6.20127E-05
  1.50000E+02   3.67856E-05
