# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=12) -> e + H2(D1Pu) (sum over all bound final vibrational levels)
# Initial-state energy: -1.00823 Hartrees
#
# Threshold: 9.74742E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.74742E+00   0.00000E+00
  1.00000E+01   7.00066E-08
  1.05000E+01   9.00838E-07
  1.15000E+01   8.47961E-04
  1.20000E+01   1.07313E-02
  1.25000E+01   2.30565E-02
  1.30000E+01   3.55943E-02
  1.35000E+01   4.77787E-02
  1.40000E+01   5.95746E-02
  1.45000E+01   7.09743E-02
  1.50000E+01   8.19909E-02
  1.55000E+01   9.26325E-02
  1.60000E+01   1.02911E-01
  1.65000E+01   1.12842E-01
  1.70000E+01   1.22435E-01
  1.75000E+01   1.31694E-01
  1.80000E+01   1.40663E-01
  1.85000E+01   1.49321E-01
  1.90000E+01   1.57687E-01
  1.95000E+01   1.65776E-01
  2.00000E+01   1.73598E-01
  2.10000E+01   1.88488E-01
  2.20000E+01   2.02419E-01
  2.30000E+01   2.15460E-01
  2.40000E+01   2.27673E-01
  2.50000E+01   2.39110E-01
  2.60000E+01   2.49824E-01
  2.70000E+01   2.59853E-01
  2.80000E+01   2.69248E-01
  2.90000E+01   2.78048E-01
  3.00000E+01   2.86294E-01
  3.50000E+01   3.20246E-01
  4.00000E+01   3.44395E-01
  4.50000E+01   3.61204E-01
  5.00000E+01   3.72462E-01
  6.00000E+01   3.83260E-01
  7.00000E+01   3.83927E-01
  8.00000E+01   3.78652E-01
  9.00000E+01   3.69958E-01
  1.00000E+02   3.59396E-01
  1.25000E+02   3.30318E-01
  1.50000E+02   3.02238E-01
  2.00000E+02   2.55843E-01
  2.50000E+02   2.21998E-01
  3.00000E+02   1.97195E-01
  3.50000E+02   1.78309E-01
  4.00000E+02   1.63041E-01
  4.50000E+02   1.49786E-01
  5.00000E+02   1.37426E-01
