# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=12) -> e + H2(GK1Sg,vf=0)
# Initial-state energy: -1.00823 Hartrees
# Final-state energy:   -0.65778 Hartrees
# Threshold: 9.53635E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.53635E+00   0.00000E+00
  1.00000E+01   4.88506E-04
  1.05000E+01   7.46997E-04
  1.15000E+01   9.85866E-04
  1.20000E+01   1.05601E-03
  1.25000E+01   1.12348E-03
  1.30000E+01   1.18437E-03
  1.35000E+01   1.24292E-03
  1.40000E+01   1.29846E-03
  1.45000E+01   1.34960E-03
  1.50000E+01   1.39515E-03
  1.55000E+01   1.43473E-03
  1.60000E+01   1.46612E-03
  1.65000E+01   1.49129E-03
  1.70000E+01   1.51050E-03
  1.75000E+01   1.52416E-03
  1.80000E+01   1.53284E-03
  1.85000E+01   1.53664E-03
  1.90000E+01   1.53675E-03
  1.95000E+01   1.53278E-03
  2.00000E+01   1.52581E-03
  2.10000E+01   1.50469E-03
  2.20000E+01   1.47549E-03
  2.30000E+01   1.44149E-03
  2.40000E+01   1.40465E-03
  2.50000E+01   1.36648E-03
  2.60000E+01   1.32805E-03
  2.70000E+01   1.29039E-03
  2.80000E+01   1.25403E-03
  2.90000E+01   1.21921E-03
  3.00000E+01   1.18611E-03
  3.50000E+01   1.04839E-03
  4.00000E+01   9.51778E-04
  4.50000E+01   8.82048E-04
  5.00000E+01   8.30134E-04
  6.00000E+01   7.53360E-04
  7.00000E+01   6.95918E-04
  8.00000E+01   6.47371E-04
  9.00000E+01   6.04725E-04
  1.00000E+02   5.66122E-04
  1.25000E+02   4.85096E-04
  1.50000E+02   4.22346E-04
  2.00000E+02   3.38584E-04
  2.50000E+02   2.89311E-04
  3.00000E+02   2.54690E-04
  3.50000E+02   2.21995E-04
  4.00000E+02   1.89936E-04
  4.50000E+02   1.74903E-04
  5.00000E+02   1.52477E-04
