# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=12) -> e + H2(J1Dg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.00823 Hartrees
#
# Threshold: 9.68562E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.68562E+00   0.00000E+00
  1.00000E+01   9.10546E-05
  1.05000E+01   1.08967E-04
  1.15000E+01   1.42029E-02
  1.20000E+01   2.72485E-02
  1.25000E+01   3.66889E-02
  1.30000E+01   4.11537E-02
  1.35000E+01   4.43258E-02
  1.40000E+01   4.66767E-02
  1.45000E+01   4.84496E-02
  1.50000E+01   4.97939E-02
  1.55000E+01   5.08071E-02
  1.60000E+01   5.15571E-02
  1.65000E+01   5.20846E-02
  1.70000E+01   5.24378E-02
  1.75000E+01   5.26477E-02
  1.80000E+01   5.27375E-02
  1.85000E+01   5.27283E-02
  1.90000E+01   5.26369E-02
  1.95000E+01   5.24767E-02
  2.00000E+01   5.22598E-02
  2.10000E+01   5.16925E-02
  2.20000E+01   5.09909E-02
  2.30000E+01   5.01973E-02
  2.40000E+01   4.93476E-02
  2.50000E+01   4.84619E-02
  2.60000E+01   4.75555E-02
  2.70000E+01   4.66394E-02
  2.80000E+01   4.57231E-02
  2.90000E+01   4.48134E-02
  3.00000E+01   4.39149E-02
  3.50000E+01   3.96903E-02
  4.00000E+01   3.59936E-02
  4.50000E+01   3.28085E-02
  5.00000E+01   3.00686E-02
  6.00000E+01   2.56486E-02
  7.00000E+01   2.22732E-02
  8.00000E+01   1.96329E-02
  9.00000E+01   1.75189E-02
  1.00000E+02   1.57937E-02
  1.25000E+02   1.26201E-02
  1.50000E+02   1.04720E-02
  2.00000E+02   7.77223E-03
  2.50000E+02   6.15963E-03
  3.00000E+02   5.09521E-03
  3.50000E+02   4.34353E-03
  4.00000E+02   3.78590E-03
  4.50000E+02   3.35640E-03
  5.00000E+02   3.01631E-03
